,jaw,height,position,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,0,1.450180722891564,6.302931173906448,0.6825908160912985,0.039165608753616896,3.9766476056887017,0,TCP,PROTON,I
1,1,1.450180722891564,5.904851310291304,0.6825908160912985,0.039165608753616896,3.9766476056887017,0,TCP,PROTON,I
2,0,3.7114141414141453,5.2413848709327295,2.25526008694034,0.11259115772920937,6.738248014614545,0,TCP,PROTON,I
3,1,3.7114141414141453,4.8433050073175865,2.25526008694034,0.11259115772920937,6.738248014614545,0,TCP,PROTON,I
4,0,9.382587500000003,4.2993830913978215,8.383850044225461,0.6131129970198785,4.992164776559472,1,TCP,PROTON,I
5,1,6.585857142857143,2.6060266851237115,6.5273967350952296,0.09353855547736037,1.3921245782982534,1,TCP,PROTON,I
6,0,4.6915,4.325739726068292,4.3312629168648416,0.1645294165424298,1.6608452367293127,1,TCP,PROTON,I
7,1,4.6915,2.764769427364749,4.3312629168648416,0.1645294165424298,1.6608452367293127,1,TCP,PROTON,I
8,1,6.3552580645161285,2.3811411336155737,5.660811854989006,0.13356979700984795,1.8134730257144087,1,TCP,PROTON,I
9,0,1.2591363636363648,7.170541133067659,1.2525970147797845,28.577522931202736,1.150402985220211,0,TCP,PROTON,I
10,1,1.2591363636363648,6.7724612694525135,1.2525970147797845,28.577522931202736,1.150402985220211,0,TCP,PROTON,I
11,0,1.403894117647059,7.895250628367023,1.4291521586869886,19.752603132794565,0.9738478266675568,0,TCP,PROTON,I
12,1,1.403894117647059,7.497170764751879,1.4291521586869886,19.752603132794565,0.9738478266675568,0,TCP,PROTON,I
13,0,4.224860759493674,5.292420750883388,4.6735318568012865,0.013310035327509616,4.74441492869228,0,TCP,PROTON,I
14,1,4.224860759493674,4.894340887268245,4.6735318568012865,0.013310035327509616,4.74441492869228,0,TCP,PROTON,I
15,0,4.53549275362319,5.210763342962335,2.9163560783885463,0.025887309609808225,6.125800845947065,0,TCP,PROTON,I
16,1,4.53549275362319,4.81268347934719,2.9163560783885463,0.025887309609808225,6.125800845947065,0,TCP,PROTON,I
17,1,3.11372448979592,2.3943696954689937,2.893732491554343,0.8239328800058874,2.3476195291482678,0,TCP,PROTON,I
18,0,3.6883777777777786,4.57708240128327,3.191269362023422,0.182775855204451,2.8862928539925052,0,TCP,PROTON,I
19,1,3.6883777777777786,3.0161121025797266,3.191269362023422,0.182775855204451,2.8862928539925052,0,TCP,PROTON,I
20,0,0.9635041322314052,6.997019141235418,0.8755742238383839,0.6662075195106623,1.267082328157065,0,TCP,PROTON,I
21,1,0.9635041322314052,6.598939277620272,0.8755742238383839,0.6662075195106623,1.267082328157065,0,TCP,PROTON,I
22,0,55.90150632911393,3.3362725335999954,39.833858786273886,0.12604125801732904,8.107685053192329,1,TCP,PROTON,I
23,0,5.9120176991150455,3.9553399941725367,5.8943113742975095,0.06400036435598261,1.0803261341097696,1,TCP,PROTON,I
24,1,5.295255555555551,4.404396439741915,3.2883984777741078,0.0343873553691925,6.476101203775853,1,TCP,PROTON,I
25,0,3.2149300000000007,4.458025344602492,3.4437664335143627,0.30534146786381955,1.3548489108881123,0,TCP,PROTON,I
26,1,3.2149300000000007,2.897055045898948,3.4437664335143627,0.30534146786381955,1.3548489108881123,0,TCP,PROTON,I
27,1,4.128108433734939,4.475846671672837,2.701592849896049,0.058793052604028624,6.593301370916157,0,TCP,PROTON,I
28,0,3.4773939393939437,5.853815430340644,3.26884207957268,0.1263690172768768,7.047253206164577,0,TCP,PROTON,I
29,1,3.4773939393939437,5.455735566725499,3.26884207957268,0.1263690172768768,7.047253206164577,0,TCP,PROTON,I
30,1,47.96906741573034,3.3926284885594535,33.09273940019189,0.2204972854193204,14.722098348092166,1,TCP,PROTON,I
31,0,0.9047439024390252,6.945983261284758,0.8692315565781871,17.373993445570648,1.302768428092706,0,TCP,PROTON,I
32,1,0.9047439024390252,6.5479033976696135,0.8692315565781871,17.373993445570648,1.302768428092706,0,TCP,PROTON,I
33,0,4.9488048780487786,5.1597274630116745,4.0812218191681495,0.07428483117576909,6.118745156889544,1,TCP,PROTON,I
34,0,27.81813580246914,3.4489844435189134,14.107953716297825,0.061715584954338834,3.847530734171644,1,TCP,PROTON,I
35,1,27.81813580246914,3.640594690381076,14.107953716297825,0.061715584954338834,3.847530734171644,1,TCP,PROTON,I
36,0,1.3606206896551722,6.3233455258867135,1.7316427728107624e-14,-1.0000000056639635,-121.73033930766606,0,TCP,PROTON,I
37,1,1.3606206896551722,5.925265662271568,1.7316427728107624e-14,-1.0000000056639635,-121.73033930766606,0,TCP,PROTON,I
38,1,5.8333714285714295,3.3593403954984087,5.820387063488305,0.13297864565931033,4.5739977209353,1,TCP,PROTON,I
39,0,5.47525,4.356644575411998,7.42051716385083,0.6387525384626803,5.090351673107318,1,TCP,PROTON,I
40,1,5.47525,3.473863363526764,7.42051716385083,0.6387525384626803,5.090351673107318,1,TCP,PROTON,I
41,0,2.8322386363636376,5.363870982814314,3.913253718636941,0.09282012377900124,6.632955168633965,0,TCP,PROTON,I
42,1,2.8322386363636376,4.965791119199169,3.913253718636941,0.09282012377900124,6.632955168633965,0,TCP,PROTON,I
