Timestamp,position,BLMTI.05R5.B1E10_TCL.5R5.B1
1461056739990,-9.415,0.0
1461056740000,-9.415,1.4480000000000002e-06
1461056740010,-9.415,0.0
1461056740020,-9.415,2.1719999999999997e-06
1461056740030,-9.415,0.0
1461056740040,-9.415,7.240000000000001e-07
1461056740050,-9.415,0.0
1461056740060,-9.415,3.6200000000000004e-07
1461056740070,-9.415,0.0
1461056740080,-9.415,7.240000000000001e-07
1461056740090,-9.415,0.0
1461056740100,-9.415,3.6200000000000004e-07
1461056740110,-9.415,0.0
1461056740120,-9.415,7.240000000000001e-07
1461056740130,-9.415,0.0
1461056740140,-9.415,3.6200000000000004e-07
1461056740150,-9.415,0.0
1461056740160,-9.415,1.81e-06
1461056740170,-9.415,0.0
1461056740180,-9.415,7.240000000000001e-07
1461056740190,-9.415,0.0
1461056740200,-9.415,1.81e-06
1461056740210,-9.415,0.0
1461056740220,-9.415,7.240000000000001e-07
1461056740230,-9.415,0.0
1461056740240,-9.415,1.0859999999999999e-06
1461056740250,-9.415,0.0
1461056740260,-9.415,3.6200000000000004e-07
1461056740270,-9.415,0.0
1461056740280,-9.415,1.81e-06
1461056740290,-9.415,0.0
1461056740300,-9.415,1.4480000000000002e-06
1461056740310,-9.415,0.0
1461056740320,-9.415,3.6200000000000004e-07
1461056740330,-9.415,0.0
1461056740340,-9.415,3.6200000000000004e-07
1461056740350,-9.415,0.0
1461056740360,-9.415,3.6200000000000004e-07
1461056740370,-9.415,0.0
1461056740380,-9.415,1.0859999999999999e-06
1461056740390,-9.415,0.0
1461056740400,-9.415,3.6200000000000004e-07
1461056740410,-9.415,0.0
1461056740420,-9.415,1.4480000000000002e-06
1461056740430,-9.415,0.0
1461056740440,-9.415,1.0859999999999999e-06
1461056740450,-9.415,0.0
1461056740460,-9.415,1.0859999999999999e-06
1461056740470,-9.415,0.0
1461056740480,-9.415,3.6200000000000004e-07
1461056740490,-9.415,0.0
1461056740500,-9.415,7.240000000000001e-07
1461056740510,-9.415,0.0
