Timestamp,position,BLMTI.05L1.B2E10_TCL.5L1.B2
1461056833140,-9.925,0.0
1461056833150,-9.925,7.240000000000001e-07
1461056833160,-9.925,0.0
1461056833170,-9.925,3.6200000000000004e-07
1461056833180,-9.925,0.0
1461056833190,-9.925,7.240000000000001e-07
1461056833200,-9.925,0.0
1461056833210,-9.925,7.240000000000001e-07
1461056833220,-9.925,0.0
1461056833230,-9.925,7.240000000000001e-07
1461056833240,-9.925,0.0
1461056833250,-9.925,1.4480000000000002e-06
1461056833260,-9.925,0.0
1461056833270,-9.925,3.6200000000000004e-07
1461056833280,-9.925,0.0
1461056833290,-9.925,3.6200000000000004e-07
1461056833300,-9.925,0.0
1461056833310,-9.925,7.240000000000001e-07
1461056833320,-9.925,0.0
1461056833330,-9.925,3.6200000000000004e-07
1461056833340,-9.925,0.0
1461056833350,-9.925,1.0859999999999999e-06
1461056833360,-9.925,0.0
1461056833370,-9.925,1.81e-06
1461056833380,-9.925,0.0
1461056833390,-9.925,0.0
1461056833400,-9.925,3.6200000000000004e-07
1461056833410,-9.925,3.6200000000000004e-07
1461056833420,-9.925,0.0
1461056833430,-9.925,7.240000000000001e-07
1461056833440,-9.925,0.0
1461056833450,-9.925,1.0859999999999999e-06
1461056833460,-9.925,7.240000000000001e-07
1461056833470,-9.925,0.0
1461056833480,-9.925,0.0
1461056833490,-9.925,7.240000000000001e-07
1461056833500,-9.925,7.240000000000001e-07
1461056833510,-9.925,7.240000000000001e-07
1461056833520,-9.925,0.0
1461056833530,-9.925,0.0
1461056833540,-9.925,7.240000000000001e-07
1461056833550,-9.925,3.6200000000000004e-07
1461056833560,-9.925,7.240000000000001e-07
1461056833570,-9.925,3.6200000000000004e-07
1461056833580,-9.925,3.6200000000000004e-07
1461056833590,-9.925,0.0
1461056833600,-9.925,7.240000000000001e-07
1461056833610,-9.925,3.6200000000000004e-07
1461056833620,-9.925,7.240000000000001e-07
1461056833630,-9.925,0.0
1461056833640,-9.925,7.240000000000001e-07
1461056833650,-9.925,0.0
1461056833660,-9.925,3.6200000000000004e-07
1461056833670,-9.925,0.0
1461056833680,-9.925,7.240000000000001e-07
1461056833690,-9.925,3.6200000000000004e-07
1461056833700,-9.925,0.0
1461056833710,-9.925,3.6200000000000004e-07
1461056833720,-9.925,7.240000000000001e-07
1461056833730,-9.925,3.6200000000000004e-07
1461056833740,-9.925,3.6200000000000004e-07
1461056833750,-9.925,0.0
1461056833760,-9.925,7.240000000000001e-07
1461056833770,-9.925,0.0
1461056833780,-9.925,7.240000000000001e-07
1461056833790,-9.925,7.240000000000001e-07
1461056833800,-9.925,3.6200000000000004e-07
1461056833810,-9.925,7.240000000000001e-07
1461056833820,-9.925,0.0
1461056833830,-9.925,3.6200000000000004e-07
1461056833840,-9.925,0.0
1461056833850,-9.925,3.6200000000000004e-07
1461056833860,-9.925,3.6200000000000004e-07
1461056833870,-9.925,1.0859999999999999e-06
1461056833880,-9.925,0.0
1461056833890,-9.925,7.240000000000001e-07
1461056833900,-9.925,3.6200000000000004e-07
1461056833910,-9.925,0.0
1461056833920,-9.925,7.240000000000001e-07
1461056833930,-9.925,3.6200000000000004e-07
1461056833940,-9.925,0.0
1461056833950,-9.925,7.240000000000001e-07
1461056833960,-9.925,0.0
1461056833970,-9.925,7.240000000000001e-07
1461056833980,-9.925,0.0
1461056833990,-9.925,3.6200000000000004e-07
1461056834000,-9.925,3.6200000000000004e-07
1461056834010,-9.925,7.240000000000001e-07
1461056834020,-9.925,0.0
1461056834030,-9.925,3.6200000000000004e-07
1461056834040,-9.925,0.0
1461056834050,-9.925,7.240000000000001e-07
1461056834060,-9.925,3.6200000000000004e-07
1461056834070,-9.925,3.6200000000000004e-07
1461056834080,-9.925,3.6200000000000004e-07
1461056834090,-9.925,1.0859999999999999e-06
1461056834100,-9.925,0.0
1461056834110,-9.925,0.0
1461056834120,-9.925,0.0
1461056834130,-9.925,1.4480000000000002e-06
1461056834140,-9.925,0.0
1461056834150,-9.925,7.240000000000001e-07
1461056834160,-9.925,0.0
1461056834170,-9.925,1.0859999999999999e-06
1461056834180,-9.925,0.0
1461056834190,-9.925,7.240000000000001e-07
1461056834200,-9.925,0.0
1461056834210,-9.925,3.6200000000000004e-07
1461056834220,-9.925,0.0
1461056834230,-9.925,7.240000000000001e-07
1461056834240,-9.925,0.0
1461056834250,-9.925,7.240000000000001e-07
1461056834260,-9.925,0.0
1461056834270,-9.925,3.6200000000000004e-07
1461056834280,-9.925,3.6200000000000004e-07
1461056834290,-9.925,3.6200000000000004e-07
