,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
137,1522975713_TCLA.A6R7.B1_Align,1,0.8934500000000001,1.1339268253467705,2.715,-3.1771076462412404,0.0371598861535325,4.193031851189206,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522975713_TCLA.A6R7.B1_Align,TCLA,PROTON,I
138,1522975713_TCLA.A6R7.B1_Align,0,0.8934500000000001,1.515052230532768,2.715,-3.1771076462412404,0.0371598861535325,4.193031851189206,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522975713_TCLA.A6R7.B1_Align,TCLA,PROTON,I
139,1522971965_TCSG.B5L3.B2_Align,1,0.6335,6.132031951022931,2.1719999999999997,0.13341401340652045,57.66924907945716,2.0385859872773344,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522971965_TCSG.B5L3.B2_Align,TCSG,PROTON,I
140,1522971965_TCSG.B5L3.B2_Align,0,0.6335,4.241249821853201,2.1719999999999997,0.13341401340652045,57.66924907945716,2.0385859872773344,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522971965_TCSG.B5L3.B2_Align,TCSG,PROTON,I
141,1522976202_TCSG.A6L7.B1_Align,1,419.04620689655167,9.962204178740288,427.34099999999995,445.3290027024044,0.222701515619608,14.34309474646027,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522976202_TCSG.A6L7.B1_Align,TCSG,PROTON,I
142,1522976202_TCSG.A6L7.B1_Align,0,419.04620689655167,10.31444198982565,427.34099999999995,445.3290027024044,0.222701515619608,14.34309474646027,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522976202_TCSG.A6L7.B1_Align,TCSG,PROTON,I
143,1522974826_TCTPH.4L1.B1_Align,1,4.724363636363637,4.275337589997004,7.24,2.2800327830914453,200.00979963158105,4.959967216908522,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522974826_TCTPH.4L1.B1_Align,TCTPH,PROTON,I
144,1522973039_TCP.D6R7.B2_Align,0,2.5525161290322576,2.4239488439299843,4.162999999999999,-5.2021033581624305,0.10614809360193024,5.4570859808382,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973039_TCP.D6R7.B2_Align,TCP,PROTON,I
145,1522975094_TCSG.B4L7.B1_Align,1,62.81323809523809,3.1424137977253896,68.056,55.41427225623102,0.4087368020173323,8.02034489341261,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522975094_TCSG.B4L7.B1_Align,TCSG,PROTON,I
146,1522975094_TCSG.B4L7.B1_Align,0,62.81323809523809,4.6570670836399755,68.056,55.41427225623102,0.4087368020173323,8.02034489341261,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522975094_TCSG.B4L7.B1_Align,TCSG,PROTON,I
147,1522973744_TCSG.A5R7.B2_Align,0,28.35666666666667,3.865315220167932,61.178000000000004,44.38172894736724,0.46985829457315714,20.40998604983987,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973744_TCSG.A5R7.B2_Align,TCSG,PROTON,I
148,1522973794_TCSG.B5R7.B2_Align,1,95.2306818181818,1.6851467490227343,138.10299999999998,282.3776328036492,-9.722321489621795e-06,-230.93525199370384,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973794_TCSG.B5R7.B2_Align,TCSG,PROTON,I
149,1522974614_TCP.C6L7.B1_Align,1,5.937967741935483,2.7430493605326585,9.049999999999999,-6.286650647816318,45.01164737973432,15.336650630413168,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522974614_TCP.C6L7.B1_Align,TCP,PROTON,I
150,1522973865_TCSG.A6R7.B2_Align,1,12.586461538461542,2.171548754267,46.879,2.1540198229949525,21.1079259187857,44.72498011993119,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973865_TCSG.A6R7.B2_Align,TCSG,PROTON,I
151,1522972827_TCLA.A5L3.B2_Align,0,1.7522340425531913,3.7259199158214344,3.62,1.0267186425918275,2.209728085304116,2.604005212653911,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522972827_TCLA.A5L3.B2_Align,TCLA,PROTON,I
152,1522974384_TCTPH.4L5.B1_Align,0,0.926482142857143,0.6622445373943467,1.4480000000000002,-3.1412212570624054,0.13253650934056746,2.578404233164169,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522974384_TCTPH.4L5.B1_Align,TCTPH,PROTON,I
153,1522973369_TCSPM.D4R7.B2_Align,1,1.0205319148936187,0.0,14.842,-27.613638141393487,106.64414044463616,42.45563814139361,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973369_TCSPM.D4R7.B2_Align,TCSPM,PROTON,I
