,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
1764,1540620736_TCP.D6R7.B2_Align,1,0.34778378378378383,2.3078593396784988,0.905,0.1767712523060557,17.102862130421414,0.7282285766998718,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540620736_TCP.D6R7.B2_Align,TCP,PROTON,I
1765,1540635495_TCSG.D4L7.B1_Align,1,70.00955172413794,1.1677107797216817,125.07100000000001,20.816520803987437,185.1449466953795,104.25447916259952,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540635495_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1766,1540631263_TCSP.A4L6.B2_Align,0,11.895320000000009,3.3060218056484874,43.078,9261.359484626018,-2.830881813793162e-06,-9232.495759984376,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540631263_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1767,1540621362_TCP.D6R7.B2_Align,1,0.9432622950819676,1.7041939188461195,2.353,-2.361671905171846,0.07762607563803457,2.94991538383126,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540621362_TCP.D6R7.B2_Align,TCP,PROTON,I
1768,1540622539_TCTPV.4R5.B2_Align,0,4.4474285714285715,3.068510740495827,10.136000000000001,1.1584809996636127,1.3398528695177714,8.998635233196465,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540622539_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1769,1540618910_TCTPH.4R2.B2_Align,1,471.90093750000005,1.4021723292445782,562.186,422.86220184528145,38.01299025231897,139.32379815471847,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540618910_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1770,1540632494_TCSG.D4L7.B1_Align,1,6.091043478260869,2.5566425059565243,8.507,6.4593751153634384,1.000907802956998,2.223972999132932,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632494_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1771,1540620906_TCTPV.4R5.B2_Align,0,3.642285714285715,3.5176764109965917,5.792000000000001,2.6241818674664428,1.2089796671443747,3.3401607839232863,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540620906_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1772,1540633445_TCSG.D4L7.B1_Align,0,13.898489361702126,1.1901128872925144,29.322,4.55841533026302,51.396217524212396,24.76358462139727,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633445_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1773,1540636517_TCTPV.4R5.B2_Align,1,9.905636363636365,2.586248653211044,15.023,7.477506022993455,1.10368510853738,7.975820803311097,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540636517_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1774,1540635505_TCSG.D4L7.B1_Align,0,51.697513513513485,0.6020571166430733,154.57399999999998,35466.236337901995,-1.930965853337846e-06,-35348.67972965456,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540635505_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1775,1540624724_TCSP.A4L6.B2_Align,1,16.778699999999986,2.016217820104905,79.097,-22.76795497612606,188.82447629750578,101.86495497406463,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624724_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1776,1540632405_TCP.D6L7.B1_Align,1,3.19208,3.2272882114931907,5.249,2.139314960589647,67.92187121198644,3.10968503937442,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632405_TCP.D6L7.B1_Align,TCP,PROTON,I
1777,1540626141_TCP.D6R7.B2_Align,1,3.413142857142857,0.998369735100742,13.394,-7.368739381375962,39.465863088041324,20.762739381375958,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540626141_TCP.D6R7.B2_Align,TCP,PROTON,I
1778,1540619659_TCTPH.4R2.B2_Align,0,1.5710799999999998,3.3007659206333417,5.249,1.1373070866141735,39.076629432048385,4.111692913385827,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540619659_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1779,1540634765_TCSG.D4L7.B1_Align,1,10.260365853658536,3.122296160160258,14.117999999999999,10.834822924745293,1.6977272552374383,3.3793699420618495,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540634765_TCSG.D4L7.B1_Align,TCSG,PROTON,I
