Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459608346650,-3.6,1.4480000000000002e-06
1459608346660,-3.6,1.81e-06
1459608346670,-3.6,3.6200000000000004e-07
1459608346680,-3.6,2.1719999999999997e-06
1459608346690,-3.6,0.0
1459608346700,-3.6,1.81e-06
1459608346710,-3.6,7.240000000000001e-07
1459608346720,-3.6,4.343999999999999e-06
1459608346730,-3.6,3.6200000000000004e-07
1459608346740,-3.6,1.4480000000000002e-06
1459608346750,-3.6,1.0859999999999999e-06
1459608346760,-3.6,3.62e-06
1459608346770,-3.6,0.0
1459608346780,-3.6,1.0859999999999999e-06
1459608346790,-3.6,1.0859999999999999e-06
1459608346800,-3.6,3.62e-06
1459608346810,-3.6,1.4480000000000002e-06
1459608346820,-3.6,5.792000000000001e-06
1459608346830,-3.6,5.0680000000000004e-06
1459608346840,-3.6,6.516e-06
1459608346850,-3.6,3.982e-06
1459608346860,-3.6,3.982e-06
1459608346870,-3.6,2.8960000000000003e-06
1459608346880,-3.6,3.982e-06
1459608346890,-3.6,1.0859999999999999e-06
1459608346900,-3.6,3.258e-06
1459608346910,-3.6,2.1719999999999997e-06
1459608346920,-3.6,5.0680000000000004e-06
1459608346930,-3.6,1.4480000000000002e-06
1459608346940,-3.6,5.792000000000001e-06
1459608346950,-3.6,3.6200000000000004e-07
1459608346960,-3.6,3.62e-06
1459608346970,-3.6,0.0
1459608346980,-3.6,2.1719999999999997e-06
1459608346990,-3.6,4.706e-06
1459608347000,-3.6,4.706e-06
1459608347010,-3.6,1.81e-06
1459608347020,-3.6,2.5340000000000002e-06
1459608347030,-3.6,0.0
1459608347040,-3.6,1.0859999999999999e-06
1459608347050,-3.6,7.240000000000001e-07
1459608347060,-3.6,7.240000000000001e-07
1459608347070,-3.6,4.343999999999999e-06
1459608347080,-3.6,4.706e-06
1459608347090,-3.6,0.0
1459608347100,-3.6,0.0
1459608347110,-3.6,3.62e-06
1459608347120,-3.6,3.62e-06
1459608347130,-3.6,1.4480000000000002e-06
1459608347140,-3.6,1.4480000000000002e-06
1459608347150,-3.6,3.982e-06
1459608347160,-3.6,3.982e-06
1459608347170,-3.6,1.4480000000000002e-06
1459608347180,-3.6,1.4480000000000002e-06
1459608347190,-3.6,2.5340000000000002e-06
1459608347200,-3.6,2.5340000000000002e-06
1459608347210,-3.6,1.81e-06
1459608347220,-3.6,1.81e-06
1459608347230,-3.6,1.4480000000000002e-06
1459608347240,-3.6,1.4480000000000002e-06
1459608347250,-3.6,1.4480000000000002e-06
1459608347260,-3.6,1.4480000000000002e-06
1459608347270,-3.6,1.4480000000000002e-06
1459608347280,-3.6,3.62e-06
1459608347290,-3.6,1.4480000000000002e-06
1459608347300,-3.6,1.81e-06
1459608347310,-3.6,2.8960000000000003e-06
1459608347320,-3.6,2.8960000000000003e-06
1459608347330,-3.6,2.1719999999999997e-06
1459608347340,-3.6,2.1719999999999997e-06
1459608347350,-3.6,3.258e-06
1459608347360,-3.6,3.62e-06
1459608347370,-3.6,2.5340000000000002e-06
1459608347380,-3.6,3.258e-06
1459608347390,-3.6,5.0680000000000004e-06
1459608347400,-3.6,4.343999999999999e-06
1459608347410,-3.6,9.774e-06
1459608347420,-3.6,9.774e-06
1459608347430,-3.6,1.086e-05
1459608347440,-3.6,1.4118e-05
1459608347450,-3.6,1.1945999999999999e-05
1459608347460,-3.6,7.602e-06
1459608347470,-3.6,5.43e-06
1459608347480,-3.6,2.8960000000000003e-06
1459608347490,-3.6,5.0680000000000004e-06
1459608347500,-3.6,2.8960000000000003e-06
1459608347510,-3.6,2.8960000000000003e-06
1459608347520,-3.6,3.62e-06
1459608347530,-3.6,6.154e-06
1459608347540,-3.6,2.8960000000000003e-06
1459608347550,-3.6,4.706e-06
1459608347560,-3.6,2.1719999999999997e-06
1459608347570,-3.6,2.5340000000000002e-06
1459608347580,-3.6,1.4480000000000002e-06
1459608347590,-3.6,1.81e-06
1459608347600,-3.6,3.982e-06
1459608347610,-3.6,1.0859999999999999e-06
1459608347620,-3.6,4.343999999999999e-06
1459608347630,-3.6,2.1719999999999997e-06
1459608347640,-3.6,3.258e-06
1459608347650,-3.6,0.0
1459608347660,-3.6,1.0859999999999999e-06
1459608347670,-3.6,0.0
1459608347680,-3.6,1.0859999999999999e-06
1459608347690,-3.6,0.0
1459608347700,-3.6,1.0859999999999999e-06
1459608347710,-3.6,1.81e-06
1459608347720,-3.6,3.62e-06
1459608347730,-3.6,0.0
1459608347740,-3.6,3.6200000000000004e-07
1459608347750,-3.6,0.0
1459608347760,-3.6,1.0859999999999999e-06
1459608347770,-3.6,1.0859999999999999e-06
1459608347780,-3.6,1.0859999999999999e-06
1459608347790,-3.6,2.5340000000000002e-06
1459608347800,-3.6,3.258e-06
1459608347810,-3.6,5.43e-06
1459608347820,-3.6,1.0498e-05
1459608347830,-3.6,8.687999999999999e-06
1459608347840,-3.6,9.774e-06
1459608347850,-3.6,5.43e-06
1459608347860,-3.6,6.516e-06
