Timestamp,position,BLMTI.04L2.B1E10_TCTPH.4L2.B1
1459602068850,-1.655,3.6200000000000004e-07
1459602068860,-1.655,3.6200000000000004e-07
1459602068870,-1.655,7.240000000000001e-07
1459602068880,-1.655,7.240000000000001e-07
1459602068890,-1.655,0.0
1459602068900,-1.655,3.6200000000000004e-07
1459602068910,-1.655,0.0
1459602068920,-1.655,0.0
1459602068930,-1.655,0.0
1459602068940,-1.655,1.4480000000000002e-06
1459602068950,-1.655,3.6200000000000004e-07
1459602068960,-1.655,0.0
1459602068970,-1.655,0.0
1459602068980,-1.655,1.0859999999999999e-06
1459602068990,-1.655,3.6200000000000004e-07
1459602069000,-1.655,3.6200000000000004e-07
1459602069010,-1.655,7.240000000000001e-07
1459602069020,-1.655,0.0
1459602069030,-1.655,7.240000000000001e-07
1459602069040,-1.655,0.0
1459602069050,-1.655,3.6200000000000004e-07
1459602069060,-1.655,0.0
1459602069070,-1.655,7.240000000000001e-07
1459602069080,-1.655,3.6200000000000004e-07
1459602069090,-1.655,0.0
1459602069100,-1.655,3.6200000000000004e-07
1459602069110,-1.655,0.0
1459602069120,-1.655,7.240000000000001e-07
1459602069130,-1.655,0.0
1459602069140,-1.655,1.0859999999999999e-06
1459602069150,-1.655,0.0
1459602069160,-1.655,3.6200000000000004e-07
1459602069170,-1.655,7.240000000000001e-07
1459602069180,-1.655,0.0
1459602069190,-1.655,1.4480000000000002e-06
1459602069200,-1.655,0.0
1459602069210,-1.655,0.0
1459602069220,-1.655,0.0
1459602069230,-1.655,3.6200000000000004e-07
1459602069240,-1.655,0.0
1459602069250,-1.655,3.6200000000000004e-07
1459602069260,-1.655,7.240000000000001e-07
1459602069270,-1.655,0.0
1459602069280,-1.655,7.240000000000001e-07
1459602069290,-1.655,7.240000000000001e-07
1459602069300,-1.655,0.0
1459602069310,-1.655,7.240000000000001e-07
1459602069320,-1.655,7.240000000000001e-07
1459602069330,-1.655,0.0
1459602069340,-1.655,3.6200000000000004e-07
1459602069350,-1.655,0.0
1459602069360,-1.655,1.0859999999999999e-06
1459602069370,-1.655,0.0
1459602069380,-1.655,0.0
1459602069390,-1.655,3.6200000000000004e-07
1459602069400,-1.655,0.0
1459602069410,-1.655,3.6200000000000004e-07
1459602069420,-1.655,7.240000000000001e-07
1459602069430,-1.655,7.240000000000001e-07
1459602069440,-1.655,0.0
1459602069450,-1.655,7.240000000000001e-07
1459602069460,-1.655,0.0
1459602069470,-1.655,3.6200000000000004e-07
1459602069480,-1.655,0.0
1459602069490,-1.655,0.0
1459602069500,-1.655,3.6200000000000004e-07
1459602069510,-1.655,3.6200000000000004e-07
1459602069520,-1.655,3.6200000000000004e-07
1459602069530,-1.655,0.0
1459602069540,-1.655,7.240000000000001e-07
1459602069550,-1.655,0.0
1459602069560,-1.655,1.0859999999999999e-06
1459602069570,-1.655,0.0
1459602069580,-1.655,1.0859999999999999e-06
1459602069590,-1.655,0.0
1459602069600,-1.655,0.0
1459602069610,-1.655,3.6200000000000004e-07
1459602069620,-1.655,1.0859999999999999e-06
1459602069630,-1.655,3.6200000000000004e-07
1459602069640,-1.655,0.0
1459602069650,-1.655,3.6200000000000004e-07
1459602069660,-1.655,7.240000000000001e-07
1459602069670,-1.655,0.0
1459602069680,-1.655,3.6200000000000004e-07
1459602069690,-1.655,7.240000000000001e-07
1459602069700,-1.655,0.0
1459602069710,-1.655,3.6200000000000004e-07
1459602069720,-1.655,0.0
1459602069730,-1.655,3.6200000000000004e-07
1459602069740,-1.655,3.6200000000000004e-07
1459602069750,-1.655,0.0
1459602069760,-1.655,7.240000000000001e-07
1459602069770,-1.655,0.0
1459602069780,-1.655,3.6200000000000004e-07
1459602069790,-1.655,0.0
1459602069800,-1.655,7.240000000000001e-07
1459602069810,-1.655,0.0
1459602069820,-1.655,7.240000000000001e-07
1459602069830,-1.655,3.6200000000000004e-07
1459602069840,-1.655,0.0
1459602069850,-1.655,0.0
1459602069860,-1.655,3.6200000000000004e-07
1459602069870,-1.655,3.6200000000000004e-07
1459602069880,-1.655,7.240000000000001e-07
1459602069890,-1.655,0.0
1459602069900,-1.655,3.6200000000000004e-07
1459602069910,-1.655,7.240000000000001e-07
1459602069920,-1.655,1.0859999999999999e-06
1459602069930,-1.655,0.0
1459602069940,-1.655,0.0
1459602069950,-1.655,0.0
1459602069960,-1.655,7.240000000000001e-07
1459602069970,-1.655,0.0
1459602069980,-1.655,1.0859999999999999e-06
1459602069990,-1.655,0.0
1459602070000,-1.655,3.6200000000000004e-07
1459602070010,-1.655,0.0
1459602070020,-1.655,1.0859999999999999e-06
1459602070030,-1.655,0.0
1459602070040,-1.655,7.240000000000001e-07
1459602070050,-1.655,0.0
1459602070060,-1.655,3.6200000000000004e-07
1459602070070,-1.655,3.6200000000000004e-07
1459602070080,-1.655,3.6200000000000004e-07
1459602070090,-1.655,3.6200000000000004e-07
1459602070100,-1.655,3.6200000000000004e-07
1459602070110,-1.655,0.0
1459602070120,-1.655,3.6200000000000004e-07
1459602070130,-1.655,0.0
1459602070140,-1.655,3.6200000000000004e-07
1459602070150,-1.655,3.6200000000000004e-07
1459602070160,-1.655,7.240000000000001e-07
1459602070170,-1.655,7.240000000000001e-07
1459602070180,-1.655,0.0
1459602070190,-1.655,3.6200000000000004e-07
1459602070200,-1.655,7.240000000000001e-07
1459602070210,-1.655,0.0
1459602070220,-1.655,7.240000000000001e-07
1459602070230,-1.655,0.0
1459602070240,-1.655,7.240000000000001e-07
1459602070250,-1.655,0.0
1459602070260,-1.655,3.6200000000000004e-07
1459602070270,-1.655,1.0859999999999999e-06
1459602070280,-1.655,3.6200000000000004e-07
1459602070290,-1.655,3.6200000000000004e-07
1459602070300,-1.655,7.240000000000001e-07
1459602070310,-1.655,0.0
1459602070320,-1.655,0.0
1459602070330,-1.655,3.6200000000000004e-07
1459602070340,-1.655,0.0
1459602070350,-1.655,0.0
1459602070360,-1.655,7.240000000000001e-07
1459602070370,-1.655,3.6200000000000004e-07
1459602070380,-1.655,0.0
1459602070390,-1.655,0.0
1459602070400,-1.655,7.240000000000001e-07
1459602070410,-1.655,7.240000000000001e-07
1459602070420,-1.655,0.0
1459602070430,-1.655,0.0
1459602070440,-1.655,3.6200000000000004e-07
1459602070450,-1.655,3.6200000000000004e-07
1459602070460,-1.655,7.240000000000001e-07
