Timestamp,position,BLMTI.04L6.B2I11_TCSP.A4L6.B2
1459603579540,-8.045,7.240000000000001e-07
1459603579550,-8.045,3.6200000000000004e-07
1459603579560,-8.045,7.240000000000001e-07
1459603579570,-8.045,7.240000000000001e-07
1459603579580,-8.045,3.6200000000000004e-07
1459603579590,-8.045,0.0
1459603579600,-8.045,7.240000000000001e-07
1459603579610,-8.045,3.6200000000000004e-07
1459603579620,-8.045,3.6200000000000004e-07
1459603579630,-8.045,3.6200000000000004e-07
1459603579640,-8.045,3.6200000000000004e-07
1459603579650,-8.045,3.6200000000000004e-07
1459603579660,-8.045,7.240000000000001e-07
1459603579670,-8.045,1.0859999999999999e-06
1459603579680,-8.045,7.240000000000001e-07
1459603579690,-8.045,1.81e-06
1459603579700,-8.045,2.5340000000000002e-06
1459603579710,-8.045,4.706e-06
1459603579720,-8.045,4.706e-06
1459603579730,-8.045,6.516e-06
1459603579740,-8.045,3.982e-06
1459603579750,-8.045,5.43e-06
1459603579760,-8.045,3.62e-06
1459603579770,-8.045,2.1719999999999997e-06
1459603579780,-8.045,2.1719999999999997e-06
1459603579790,-8.045,1.0859999999999999e-06
1459603579800,-8.045,1.0859999999999999e-06
1459603579810,-8.045,7.240000000000001e-07
1459603579820,-8.045,7.240000000000001e-07
1459603579830,-8.045,7.240000000000001e-07
1459603579840,-8.045,1.81e-06
1459603579850,-8.045,1.0859999999999999e-06
1459603579860,-8.045,2.1719999999999997e-06
1459603579870,-8.045,1.0859999999999999e-06
1459603579880,-8.045,2.8960000000000003e-06
1459603579890,-8.045,6.877999999999999e-06
1459603579900,-8.045,1.086e-05
1459603579910,-8.045,1.991e-05
1459603579920,-8.045,2.534e-05
1459603579930,-8.045,2.2082e-05
1459603579940,-8.045,1.629e-05
1459603579950,-8.045,1.2308e-05
1459603579960,-8.045,8.326e-06
1459603579970,-8.045,7.602e-06
1459603579980,-8.045,7.24e-06
1459603579990,-8.045,6.154e-06
1459603580000,-8.045,5.0680000000000004e-06
1459603580010,-8.045,3.62e-06
1459603580020,-8.045,2.1719999999999997e-06
1459603580030,-8.045,1.4480000000000002e-06
1459603580040,-8.045,1.4480000000000002e-06
1459603580050,-8.045,3.6200000000000004e-07
1459603580060,-8.045,3.6200000000000004e-07
1459603580070,-8.045,3.6200000000000004e-07
1459603580080,-8.045,7.240000000000001e-07
1459603580090,-8.045,7.240000000000001e-07
1459603580100,-8.045,1.0859999999999999e-06
1459603580110,-8.045,3.6200000000000004e-07
1459603580120,-8.045,7.240000000000001e-07
1459603580130,-8.045,3.6200000000000004e-07
1459603580140,-8.045,3.6200000000000004e-07
1459603580150,-8.045,3.6200000000000004e-07
1459603580160,-8.045,0.0
1459603580170,-8.045,7.240000000000001e-07
1459603580180,-8.045,3.6200000000000004e-07
1459603580190,-8.045,0.0
1459603580200,-8.045,3.6200000000000004e-07
1459603580210,-8.045,7.240000000000001e-07
1459603580220,-8.045,0.0
1459603580230,-8.045,3.6200000000000004e-07
1459603580240,-8.045,3.6200000000000004e-07
1459603580250,-8.045,0.0
1459603580260,-8.045,0.0
1459603580270,-8.045,1.0859999999999999e-06
1459603580280,-8.045,3.6200000000000004e-07
1459603580290,-8.045,3.6200000000000004e-07
1459603580300,-8.045,0.0
1459603580310,-8.045,3.6200000000000004e-07
1459603580320,-8.045,0.0
1459603580330,-8.045,7.240000000000001e-07
1459603580340,-8.045,7.240000000000001e-07
1459603580350,-8.045,1.0859999999999999e-06
1459603580360,-8.045,1.0859999999999999e-06
1459603580370,-8.045,3.62e-06
1459603580380,-8.045,2.5340000000000002e-06
1459603580390,-8.045,2.1719999999999997e-06
1459603580400,-8.045,1.4480000000000002e-06
1459603580410,-8.045,1.0859999999999999e-06
1459603580420,-8.045,3.6200000000000004e-07
1459603580430,-8.045,3.6200000000000004e-07
1459603580440,-8.045,0.0
1459603580450,-8.045,7.240000000000001e-07
1459603580460,-8.045,0.0
1459603580470,-8.045,0.0
1459603580480,-8.045,7.240000000000001e-07
1459603580490,-8.045,7.240000000000001e-07
1459603580500,-8.045,3.6200000000000004e-07
1459603580510,-8.045,3.6200000000000004e-07
1459603580520,-8.045,7.240000000000001e-07
1459603580530,-8.045,3.258e-06
1459603580540,-8.045,1.81e-06
1459603580550,-8.045,4.706e-06
1459603580560,-8.045,1.81e-06
1459603580570,-8.045,1.81e-06
1459603580580,-8.045,2.8960000000000003e-06
1459603580590,-8.045,4.343999999999999e-06
1459603580600,-8.045,7.24e-06
1459603580610,-8.045,1.8824e-05
1459603580620,-8.045,2.1358e-05
1459603580630,-8.045,2.0634e-05
1459603580640,-8.045,1.3755999999999998e-05
1459603580650,-8.045,9.05e-06
1459603580660,-8.045,5.0680000000000004e-06
1459603580670,-8.045,3.62e-06
1459603580680,-8.045,2.8960000000000003e-06
1459603580690,-8.045,2.8960000000000003e-06
1459603580700,-8.045,2.8960000000000003e-06
1459603580710,-8.045,2.8960000000000003e-06
1459603580720,-8.045,1.4480000000000002e-06
1459603580730,-8.045,1.0859999999999999e-06
