Timestamp,position,BLMTI.04L1.B1I10_TCTPH.4L1.B1
1459602535900,-6.175,0.0
1459602535910,-6.175,2.1719999999999997e-06
1459602535920,-6.175,2.8960000000000003e-06
1459602535930,-6.175,1.81e-06
1459602535940,-6.175,0.0
1459602535950,-6.175,3.6200000000000004e-07
1459602535960,-6.175,0.0
1459602535970,-6.175,0.0
1459602535980,-6.175,0.0
1459602535990,-6.175,7.240000000000001e-07
1459602536000,-6.175,0.0
1459602536010,-6.175,0.0
1459602536020,-6.175,3.6200000000000004e-07
1459602536030,-6.175,7.240000000000001e-07
1459602536040,-6.175,0.0
1459602536050,-6.175,3.6200000000000004e-07
1459602536060,-6.175,0.0
1459602536070,-6.175,1.0859999999999999e-06
1459602536080,-6.175,0.0
1459602536090,-6.175,7.240000000000001e-07
1459602536100,-6.175,0.0
1459602536110,-6.175,3.6200000000000004e-07
1459602536120,-6.175,0.0
1459602536130,-6.175,3.6200000000000004e-07
1459602536140,-6.175,0.0
1459602536150,-6.175,0.0
1459602536160,-6.175,0.0
1459602536170,-6.175,3.6200000000000004e-07
1459602536180,-6.175,1.0859999999999999e-06
1459602536190,-6.175,1.0859999999999999e-06
1459602536200,-6.175,7.240000000000001e-07
1459602536210,-6.175,1.0859999999999999e-06
1459602536220,-6.175,0.0
1459602536230,-6.175,0.0
1459602536240,-6.175,0.0
1459602536250,-6.175,0.0
1459602536260,-6.175,0.0
1459602536270,-6.175,0.0
1459602536280,-6.175,0.0
1459602536290,-6.175,0.0
1459602536300,-6.175,0.0
1459602536310,-6.175,0.0
1459602536320,-6.175,0.0
1459602536330,-6.175,0.0
1459602536340,-6.175,3.6200000000000004e-07
1459602536350,-6.175,7.240000000000001e-07
1459602536360,-6.175,0.0
1459602536370,-6.175,0.0
1459602536380,-6.175,7.240000000000001e-07
1459602536390,-6.175,1.0859999999999999e-06
1459602536400,-6.175,0.0
1459602536410,-6.175,0.0
1459602536420,-6.175,3.6200000000000004e-07
1459602536430,-6.175,1.0859999999999999e-06
1459602536440,-6.175,3.6200000000000004e-07
1459602536450,-6.175,1.81e-06
1459602536460,-6.175,0.0
1459602536470,-6.175,2.5340000000000002e-06
1459602536480,-6.175,2.5340000000000002e-06
1459602536490,-6.175,0.0
1459602536500,-6.175,7.240000000000001e-07
1459602536510,-6.175,7.240000000000001e-07
1459602536520,-6.175,0.0
1459602536530,-6.175,0.0
1459602536540,-6.175,3.6200000000000004e-07
1459602536550,-6.175,0.0
1459602536560,-6.175,1.0859999999999999e-06
1459602536570,-6.175,1.0859999999999999e-06
1459602536580,-6.175,3.6200000000000004e-07
1459602536590,-6.175,0.0
1459602536600,-6.175,0.0
1459602536610,-6.175,0.0
1459602536620,-6.175,0.0
1459602536630,-6.175,3.6200000000000004e-07
1459602536640,-6.175,0.0
1459602536650,-6.175,0.0
1459602536660,-6.175,0.0
1459602536670,-6.175,0.0
1459602536680,-6.175,0.0
1459602536690,-6.175,0.0
1459602536700,-6.175,1.4480000000000002e-06
1459602536710,-6.175,1.81e-06
