,jaw,height,position,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,0,4.962923076923077,4.174044368709288,5.194020894506613,0.1458980212900346,1.6820991706571011,1,TCP,ION, 
1,0,151.80067777777774,5.638697699868598,99.42627820687404,0.17089293156543267,32.765389971187126,1,TCP,ION, 
2,0,46.816207920792074,4.487884323160166,41.37047194384543,1.88437788815366,6.719954109373507,1,TCP,ION, 
3,0,121.43493902439026,6.291408687634739,89.24271340717888,0.4106449331338923,11.210624676067429,1,TCP,ION, 
4,1,121.43493902439026,2.5383205079794333,89.24271340717888,0.4106449331338923,11.210624676067429,1,TCP,ION, 
5,0,5.128626262626262,7.417729646132061,3.8889964294702883,0.1889975701835761,1.0234598673186361,0,TCP,ION, 
6,1,5.128626262626262,1.5589804680006365,3.8889964294702883,0.1889975701835761,1.0234598673186361,0,TCP,ION, 
7,0,121.01210891089107,5.7837445860388526,96.55585574473731,0.21372611265845148,14.928479456684336,1,TCP,ION, 
8,0,19.26250515463918,1.9276894978339456,15.264776277979456,0.07048182103382901,4.578373088242669,1,TCP,ION, 
9,0,73.17350961538463,4.788508153419699,58.86232606505128,0.6493243638742999,9.809801176557878,1,TCP,ION, 
10,1,10.35088095238095,2.06691812792611,8.689946234169097,209.4766685348568,5.971053765830903,0,TCP,ION, 
11,1,86.82112048192771,4.990573922170104,34.42657760342909,0.04115931639794965,7.587984236722837,1,TCP,ION, 
12,1,256.2376633663366,0.6656670527175367,230.08605415608048,0.6315418721447807,20.96097847396213,1,TCP,ION, 
13,0,9.64215,5.983184054522949,8.810639088914266,20.278175175925238,4.764360875459151,1,TCP,ION, 
14,0,174.25391262135926,4.316099277297576,147.498823910147,4.768572236542249,28.791330990017805,1,TCP,ION, 
15,0,330.399375,4.273153015831928,265.9004461575116,0.5536397188952823,32.72694143964505,1,TCP,ION, 
16,0,7.747967741935482,1.6920830036542414,3.9400359480346574,0.05234465595642853,5.798702029428845,1,TCP,ION, 
17,1,26.154987951807232,1.8312169378994485,24.00565050838711,3.7691669831900474,3.6843834950165375,1,TCP,ION, 
18,1,236.95575652173912,2.320750178724053,233.01998385332033,167.3993614966571,25.81001613080229,1,TCP,ION, 
19,0,5.228375,6.617764181517807,3.982353763414287,0.2811483554191939,1.0529290221277043,0,TCP,ION, 
20,1,5.228375,3.2272932172881363,3.982353763414287,0.2811483554191939,1.0529290221277043,1,TCP,ION, 
21,1,9.510232558139533,3.4951335376541626,8.786482999975652,0.11327224533709628,1.8672030469515548,1,TCP,ION, 
22,0,17.396884615384614,4.151967041344766,13.97518130065423,1.7167025599695733,6.7823136493404235,1,TCP,ION, 
23,1,157.98501030927838,3.589910367625605,97.11545275167929,0.0211348105237684,-4.213919277551828,1,TCP,ION, 
24,1,67.74839772727272,0.7730327063816554,68.14639326131383,45.28211445612112,4.072606741287315,1,TCP,ION, 
25,1,30.794404494382015,3.9162658555915697,14.675332479685304,0.04636391183527813,6.23997921412578,1,TCP,ION, 
26,0,23.494632183908053,5.0891319836792315,21.11834359873043,0.1148773283190868,6.1325104236680685,1,TCP,ION, 
27,0,29.49144680851064,5.928791472209105,18.96722152075106,0.1587609100051515,7.378254965239388,1,TCP,ION, 
28,1,14.768021052631578,2.647105672607123,10.633051440506886,0.2134852226307883,4.017776943929272,1,TCP,ION, 
29,0,45.59991139240506,1.9919458144284108,40.373736719384866,0.21486609045025493,3.9716658749981852,1,TCP,ION, 
30,1,220.89844210526317,1.0307102751755406,209.50722285598275,0.47514492681034004,12.625284447342365,1,TCP,ION, 
31,0,391.3765180722892,6.1282309406932045,325.05077638088875,0.12024821453945025,28.841183586714372,1,TCP,ION, 
32,1,16.736329545454545,2.230095874867645,16.439514523006803,0.4201294363287757,5.1328191830606285,1,TCP,ION, 
33,0,2.8387108433734936,4.727230971791243,2.7559229276169668,0.30574828543472193,0.5402129554707442,0,TCP,ION, 
34,1,2.8387108433734936,4.4506376702502655,2.7559229276169668,0.30574828543472193,0.5402129554707442,0,TCP,ION, 
35,0,5.353878504672896,4.079443599574551,6.146289720216048,0.5134297767722044,5.808408264992733,1,TCP,ION, 
36,0,9.89946590909091,4.315144785327748,7.253302835526007,0.3710919412867711,3.9955524545328234,1,TCP,ION, 
37,1,179.35132608695648,0.9877640137098932,159.39989268750912,0.31629021501467197,3.868877657563148,1,TCP,ION, 
38,1,6.541281249999997,3.117960853734649,4.013012082652292,0.060829828797826974,3.4068500866918443,1,TCP,ION, 
39,0,8.5954,4.626651589412705,7.928345682085387,1.0749557682127575,1.1051368598317608,1,TCP,ION, 
40,1,17.15291150442478,2.2663575964102085,17.723859375000032,147.13666071660953,4.177140624999995,0,TCP,ION, 
41,1,81.00962886597938,3.734957251166034,35.44982367522006,0.1246095943081055,23.247006049950127,1,TCP,ION, 
42,1,203.4690348837209,0.5153551375877703,141.46178884191892,0.2997918848049064,31.460018178840567,1,TCP,ION, 
43,1,50.53403225806451,2.1575724317825182,44.63589283340849,617.5411428429694,15.818107161000436,0,TCP,ION, 
44,0,7.1196153846153845,7.317150261099763,5.889161371378723,0.10465466102761012,1.4195042971060434,0,TCP,ION, 
45,0,2.9563333333333333,5.5185945983357065,2.7775919538073714,23.24274679145428,7.539408046192647,0,TCP,ION, 
46,1,2.9563333333333333,1.6749041971602536,2.7775919538073714,23.24274679145428,7.539408046192647,0,TCP,ION, 
47,0,38.4583164556962,6.472717295347555,35.90714440220723,1.0589798497400276,1.9402128615867948,1,TCP,ION, 
48,1,16.574962499999998,3.042526316950746,12.684781136109502,0.12758666234571311,2.731686422558663,1,TCP,ION, 
49,0,18.0814358974359,1.777758092446861,8.842373742943556,0.0774545372347126,4.126459692130712,1,TCP,ION, 
50,0,275.9194268292683,3.6289590938472163,270.9761746299867,0.2468179832210741,14.718192796158496,1,TCP,ION, 
51,0,75.91389655172414,4.188228762229873,68.97057902207096,0.1037584286738936,13.7062451934729,1,TCP,ION, 
52,0,6.21801219512195,5.729351899846926,7.765852631463817,34.31590833107667,4.180147368395428,0,TCP,ION, 
53,0,9.17405617977528,4.387668227097962,6.587255785529545,0.038439677998219436,4.89604488516007,1,TCP,ION, 
54,0,2.091147058823529,6.09196921915064,1.6345558842601418,0.3272436606318793,1.3058198246431871,0,TCP,ION, 
55,1,2.091147058823529,2.3570119002666168,1.6345558842601418,0.3272436606318793,1.3058198246431871,0,TCP,ION, 
56,0,43.44822727272727,1.5207328260690016,27.37619159057569,0.11828497437636287,6.031780870042062,1,TCP,ION, 
57,1,54.40725925925927,1.3098609747022496,54.056415762215,1.0821560724161197,6.61746450042197,1,TCP,ION, 
58,0,8.196917525773195,4.777520662980511,7.5989952596195485,0.6707376628133307,0.7590814640985143,1,TCP,ION, 
59,1,35.301033333333336,3.626172088510713,30.000229885057895,516.1433388546294,13.620770114942575,0,TCP,ION, 
60,0,9.4495243902439,1.4993140538708467,8.265674893414005,0.4725834721244361,3.5026192447439617,1,TCP,ION, 
61,0,118.68540425531914,5.7112211429537245,100.38303615663143,81.75039526978702,28.66996385991057,1,TCP,ION, 
62,0,2.1154431818181822,6.563371599203963,1.212628972485835,0.5665527847641174,1.5878708281299283,0,TCP,ION, 
63,0,21.843555555555557,7.241715722325537,18.623698432748114,0.13780110989135505,2.6524676449682234,1,TCP,ION, 
64,1,5.761121212121212,2.6653536330312324,6.124689010220215,0.1973600264264021,0.8038597255539175,1,TCP,ION, 
65,1,37.917765432098776,0.5797745297862417,53.98066964284995,1.0515548015667653,10.825671712812897,1,TCP,ION, 
66,1,46.00724489795918,4.9477363777737935,39.443107711697934,3.895721524809536,13.042317881194133,1,TCP,ION, 
67,0,106.41917073170731,6.0375766368367945,60.13326750942984,0.05710703354737243,17.456254930167283,1,TCP,ION, 
68,1,10.437666666666663,3.771218972051141,8.982125000000325,245.08585699870704,6.583874999976334,0,TCP,ION, 
69,1,38.14009375,2.211965014096364,37.28153082189633,313.93344510676707,7.60646919670622,0,TCP,ION, 
70,1,40.89839534883721,2.112167029949278,27.56019456422536,0.16696943006786327,2.9635470019406043,1,TCP,ION, 
71,0,3.9410312499999987,4.199189214303924,1.4966980782033057,0.14061579619420514,2.555004239122144,0,TCP,ION, 
72,0,30.0609587628866,4.9173469378166415,27.878540226629763,2.009125083717503,2.5548487966310103,1,TCP,ION, 
