Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1469749034470,-1.025,0.00013683600000000002
1469749034480,-1.025,0.00014842
1469749034490,-1.025,0.000141542
1469749034500,-1.025,0.000135026
1469749034510,-1.025,0.000128148
1469749034520,-1.025,0.00012308
1469749034530,-1.025,0.00011801200000000001
1469749034540,-1.025,0.00011765
1469749034550,-1.025,0.00011403
1469749034560,-1.025,0.00010859999999999998
1469749034570,-1.025,0.000115116
1469749034580,-1.025,0.000115116
1469749034590,-1.025,0.00011584
1469749034600,-1.025,0.000124528
1469749034610,-1.025,0.00013756
1469749034620,-1.025,0.000142628
1469749034630,-1.025,0.000150592
1469749034640,-1.025,0.00014661
1469749034650,-1.025,0.00013900799999999998
1469749034660,-1.025,0.000134664
1469749034670,-1.025,0.000125614
1469749034680,-1.025,0.000113306
1469749034690,-1.025,0.000112944
1469749034700,-1.025,0.00010859999999999998
1469749034710,-1.025,0.00010715200000000001
1469749034720,-1.025,0.00011620200000000001
1469749034730,-1.025,0.00012127
1469749034740,-1.025,0.00012489
1469749034750,-1.025,0.000127062
1469749034760,-1.025,0.00012633799999999998
1469749034770,-1.025,0.000123442
1469749034780,-1.025,0.000121994
1469749034790,-1.025,0.000115478
1469749034800,-1.025,0.00010498
1469749034810,-1.025,9.8102e-05
1469749034820,-1.025,9.774e-05
1469749034830,-1.025,0.000104618
1469749034840,-1.025,0.00010642799999999999
1469749034850,-1.025,0.00011620200000000001
1469749034860,-1.025,0.00011909799999999999
1469749034870,-1.025,0.000113306
1469749034880,-1.025,0.000115478
1469749034890,-1.025,0.000112582
1469749034900,-1.025,0.00011004799999999999
1469749034910,-1.025,0.000107514
1469749034920,-1.025,0.00010534200000000001
1469749034930,-1.025,0.000104256
1469749034940,-1.025,9.737799999999999e-05
1469749034950,-1.025,0.000102446
1469749034960,-1.025,0.000108962
1469749034970,-1.025,0.00011041
1469749034980,-1.025,0.000100636
1469749034990,-1.025,0.00010642799999999999
1469749035000,-1.025,0.00010389399999999999
1469749035010,-1.025,9.737799999999999e-05
1469749035020,-1.025,0.000100274
1469749035030,-1.025,9.8102e-05
1469749035040,-1.025,9.701600000000001e-05
1469749035050,-1.025,8.7242e-05
1469749035060,-1.025,9.701600000000001e-05
1469749035070,-1.025,0.00010534200000000001
1469749035080,-1.025,0.000113306
1469749035090,-1.025,0.000112582
1469749035100,-1.025,0.000127424
1469749035110,-1.025,0.000142266
1469749035120,-1.025,0.00013285399999999999
1469749035130,-1.025,0.000121994
1469749035140,-1.025,0.00011475399999999999
1469749035150,-1.025,0.00010715200000000001
1469749035160,-1.025,0.000111496
1469749035170,-1.025,0.000102446
1469749035180,-1.025,9.4844e-05
1469749035190,-1.025,9.774e-05
1469749035200,-1.025,9.918799999999999e-05
1469749035210,-1.025,0.000100636
1469749035220,-1.025,9.593e-05
1469749035230,-1.025,0.000106066
1469749035240,-1.025,0.000118374
1469749035250,-1.025,0.000112582
1469749035260,-1.025,0.000108962
1469749035270,-1.025,0.000100636
1469749035280,-1.025,9.8826e-05
1469749035290,-1.025,9.4844e-05
1469749035300,-1.025,9.412e-05
1469749035310,-1.025,8.7242e-05
1469749035320,-1.025,9.231e-05
1469749035330,-1.025,9.737799999999999e-05
1469749035340,-1.025,0.000111496
1469749035350,-1.025,0.000121632
1469749035360,-1.025,0.000111858
1469749035370,-1.025,0.00010679
