Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1469749352380,-0.145,0.0005440859999999999
1469749352390,-0.145,0.000490148
1469749352400,-0.145,0.000515126
1469749352410,-0.145,0.00051947
1469749352420,-0.145,0.000549154
1469749352430,-0.145,0.000526348
1469749352440,-0.145,0.000512954
1469749352450,-0.145,0.000464446
1469749352460,-0.145,0.00042571199999999997
1469749352470,-0.145,0.00038951199999999995
1469749352480,-0.145,0.000354036
1469749352490,-0.145,0.000341366
1469749352500,-0.145,0.00037684199999999995
1469749352510,-0.145,0.0004926819999999999
1469749352520,-0.145,0.000553498
1469749352530,-0.145,0.000689972
1469749352540,-0.145,0.000645084
1469749352550,-0.145,0.000554946
1469749352560,-0.145,0.000474582
1469749352570,-0.145,0.00044489800000000005
1469749352580,-0.145,0.000430056
1469749352590,-0.145,0.00046553199999999995
1469749352600,-0.145,0.00054119
1469749352610,-0.145,0.0005792000000000001
1469749352620,-0.145,0.000574132
1469749352630,-0.145,0.00045648199999999997
1469749352640,-0.145,0.00041268
1469749352650,-0.145,0.00036489599999999997
1469749352660,-0.145,0.000341004
1469749352670,-0.145,0.00033304
1469749352680,-0.145,0.0003801
1469749352690,-0.145,0.000501732
1469749352700,-0.145,0.000629156
1469749352710,-0.145,0.0005922319999999999
1469749352720,-0.145,0.000514764
1469749352730,-0.145,0.00049232
1469749352740,-0.145,0.000454672
1469749352750,-0.145,0.000461188
1469749352760,-0.145,0.000451414
1469749352770,-0.145,0.00047747800000000004
1469749352780,-0.145,0.000499922
1469749352790,-0.145,0.00060635
1469749352800,-0.145,0.000578838
1469749352810,-0.145,0.000501008
1469749352820,-0.145,0.00041268
1469749352830,-0.145,0.00038191
1469749352840,-0.145,0.00036019
1469749352850,-0.145,0.000380462
1469749352860,-0.145,0.00042028199999999996
1469749352870,-0.145,0.00047023800000000005
1469749352880,-0.145,0.0005068000000000001
1469749352890,-0.145,0.00046336
1469749352900,-0.145,0.00041557599999999997
1469749352910,-0.145,0.00037105
1469749352920,-0.145,0.00035657
1469749352930,-0.145,0.00033159199999999997
1469749352940,-0.145,0.000330144
1469749352950,-0.145,0.000367792
1469749352960,-0.145,0.00040218199999999995
1469749352970,-0.145,0.000401096
1469749352980,-0.145,0.000365982
1469749352990,-0.145,0.00034969199999999997
1469749353000,-0.145,0.00033159199999999997
1469749353010,-0.145,0.00039675199999999994
1469749353020,-0.145,0.00044526
1469749353030,-0.145,0.000549516
1469749353040,-0.145,0.00053033
1469749353050,-0.145,0.000517298
1469749353060,-0.145,0.000403992
1469749353070,-0.145,0.00033702199999999997
1469749353080,-0.145,0.000306976
1469749353090,-0.145,0.00028417
1469749353100,-0.145,0.00027367200000000003
1469749353110,-0.145,0.000310596
1469749353120,-0.145,0.000360914
1469749353130,-0.145,0.00036525800000000003
1469749353140,-0.145,0.000391684
1469749353150,-0.145,0.000335574
1469749353160,-0.145,0.00031494
1469749353170,-0.145,0.00027331
1469749353180,-0.145,0.000264622
1469749353190,-0.145,0.00028236
1469749353200,-0.145,0.000360552
1469749353210,-0.145,0.00041304199999999997
1469749353220,-0.145,0.00044670800000000003
1469749353230,-0.145,0.00047096199999999995
1469749353240,-0.145,0.00038915
1469749353250,-0.145,0.00035150199999999996
1469749353260,-0.145,0.00030046
1469749353270,-0.145,0.000301546
1469749353280,-0.145,0.000298288
1469749353290,-0.145,0.000393856
1469749353300,-0.145,0.00041485199999999995
1469749353310,-0.145,0.000402544
1469749353320,-0.145,0.00033810800000000005
1469749353330,-0.145,0.00030227
1469749353340,-0.145,0.000280188
1469749353350,-0.145,0.000270414
1469749353360,-0.145,0.000272224
1469749353370,-0.145,0.000285256
1469749353380,-0.145,0.00037539400000000003
1469749353390,-0.145,0.000404354
1469749353400,-0.145,0.000451414
1469749353410,-0.145,0.0003801
1469749353420,-0.145,0.00038480599999999996
1469749353430,-0.145,0.000332316
1469749353440,-0.145,0.00030335599999999996
1469749353450,-0.145,0.000315302
1469749353460,-0.145,0.000366706
1469749353470,-0.145,0.00045829199999999996
1469749353480,-0.145,0.00044960400000000004
1469749353490,-0.145,0.00045829199999999996
1469749353500,-0.145,0.00036381
1469749353510,-0.145,0.00036019
1469749353520,-0.145,0.000326886
1469749353530,-0.145,0.000341366
1469749353540,-0.145,0.000317836
1469749353550,-0.145,0.0003258
1469749353560,-0.145,0.000293582
1469749353570,-0.145,0.000279464
1469749353580,-0.145,0.000272948
1469749353590,-0.145,0.000256658
1469749353600,-0.145,0.00025303799999999997
1469749353610,-0.145,0.000254848
1469749353620,-0.145,0.000318198
1469749353630,-0.145,0.000335212
1469749353640,-0.145,0.000373222
1469749353650,-0.145,0.000304442
1469749353660,-0.145,0.000282722
1469749353670,-0.145,0.000254124
1469749353680,-0.145,0.000243988
1469749353690,-0.145,0.00023312799999999998
1469749353700,-0.145,0.000234938
1469749353710,-0.145,0.000270414
1469749353720,-0.145,0.000325438
1469749353730,-0.145,0.00038734
1469749353740,-0.145,0.000304442
1469749353750,-0.145,0.00026607
1469749353760,-0.145,0.000223716
1469749353770,-0.145,0.00020815
1469749353780,-0.145,0.000201272
1469749353790,-0.145,0.000209598
1469749353800,-0.145,0.000209598
1469749353810,-0.145,0.000245798
1469749353820,-0.145,0.000254124
1469749353830,-0.145,0.00023349
1469749353840,-0.145,0.000223716
1469749353850,-0.145,0.00019801400000000002
1469749353860,-0.145,0.00021973400000000002
1469749353870,-0.145,0.00021719999999999997
1469749353880,-0.145,0.000262088
1469749353890,-0.145,0.00029901200000000003
1469749353900,-0.145,0.00045069
1469749353910,-0.145,0.000417024
1469749353920,-0.145,0.000341728
1469749353930,-0.145,0.000276206
1469749353940,-0.145,0.000222992
1469749353950,-0.145,0.00022335400000000002
1469749353960,-0.145,0.000236386
1469749353970,-0.145,0.000293582
1469749353980,-0.145,0.000326524
1469749353990,-0.145,0.00041630000000000004
1469749354000,-0.145,0.000312768
1469749354010,-0.145,0.000261726
1469749354020,-0.145,0.00021973400000000002
1469749354030,-0.145,0.00020778799999999998
1469749354040,-0.145,0.000196566
1469749354050,-0.145,0.00020706400000000002
1469749354060,-0.145,0.00023240400000000002
1469749354070,-0.145,0.000301908
1469749354080,-0.145,0.000335212
1469749354090,-0.145,0.000315664
1469749354100,-0.145,0.000312768
1469749354110,-0.145,0.000249418
1469749354120,-0.145,0.00025303799999999997
1469749354130,-0.145,0.000252314
1469749354140,-0.145,0.000309872
1469749354150,-0.145,0.000319646
