Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1469749042720,0.885,0.000107514
1469749042730,0.885,0.000167606
1469749042740,0.885,0.000154936
1469749042750,0.885,0.00011909799999999999
1469749042760,0.885,7.3848e-05
1469749042770,0.885,7.276199999999999e-05
1469749042780,0.885,6.3712e-05
1469749042790,0.885,6.0092e-05
1469749042800,0.885,6.3712e-05
1469749042810,0.885,7.8192e-05
1469749042820,0.885,0.00012670000000000002
1469749042830,0.885,0.00011873600000000001
1469749042840,0.885,9.556799999999999e-05
1469749042850,0.885,7.348600000000001e-05
1469749042860,0.885,7.4934e-05
1469749042870,0.885,7.8554e-05
1469749042880,0.885,8.326e-05
1469749042890,0.885,6.950399999999999e-05
1469749042900,0.885,7.3848e-05
1469749042910,0.885,7.2038e-05
1469749042920,0.885,6.3712e-05
1469749042930,0.885,6.3712e-05
1469749042940,0.885,5.792e-05
1469749042950,0.885,6.516e-05
1469749042960,0.885,6.6246e-05
1469749042970,0.885,0.000100636
1469749042980,0.885,0.00010534200000000001
1469749042990,0.885,0.00013285399999999999
1469749043000,0.885,0.000128872
1469749043010,0.885,0.000110772
1469749043020,0.885,8.3622e-05
1469749043030,0.885,5.5023999999999994e-05
1469749043040,0.885,6.0092e-05
1469749043050,0.885,7.0952e-05
1469749043060,0.885,9.6292e-05
1469749043070,0.885,9.9912e-05
1469749043080,0.885,0.00012090799999999999
1469749043090,0.885,0.00010534200000000001
1469749043100,0.885,8.2174e-05
1469749043110,0.885,6.0816e-05
1469749043120,0.885,5.068e-05
1469749043130,0.885,6.0453999999999994e-05
1469749043140,0.885,8.0726e-05
1469749043150,0.885,0.00011004799999999999
1469749043160,0.885,0.00011004799999999999
1469749043170,0.885,0.00013213
1469749043180,0.885,0.000109324
1469749043190,0.885,0.000100636
1469749043200,0.885,6.2264e-05
1469749043210,0.885,6.5884e-05
1469749043220,0.885,6.335e-05
1469749043230,0.885,8.3984e-05
1469749043240,0.885,0.00010859999999999998
1469749043250,0.885,0.000127062
1469749043260,0.885,0.000120184
1469749043270,0.885,8.688e-05
1469749043280,0.885,6.4798e-05
1469749043290,0.885,5.3576000000000003e-05
1469749043300,0.885,5.5386e-05
1469749043310,0.885,5.7196000000000006e-05
1469749043320,0.885,8.6156e-05
1469749043330,0.885,0.000136112
1469749043340,0.885,0.000183172
1469749043350,0.885,0.000157832
1469749043360,0.885,0.000102808
1469749043370,0.885,8.470799999999999e-05
1469749043380,0.885,6.4074e-05
1469749043390,0.885,6.516e-05
1469749043400,0.885,5.7196000000000006e-05
1469749043410,0.885,7.7468e-05
1469749043420,0.885,0.000123442
1469749043430,0.885,0.00019041200000000002
1469749043440,0.885,0.00014697200000000002
1469749043450,0.885,0.000118374
1469749043460,0.885,8.7242e-05
1469749043470,0.885,7.2038e-05
1469749043480,0.885,7.167600000000001e-05
1469749043490,0.885,7.0952e-05
1469749043500,0.885,8.1812e-05
1469749043510,0.885,0.000106066
1469749043520,0.885,0.00013900799999999998
1469749043530,0.885,0.000113668
1469749043540,0.885,7.783e-05
1469749043550,0.885,6.154e-05
1469749043560,0.885,6.4074e-05
1469749043570,0.885,6.697e-05
1469749043580,0.885,7.348600000000001e-05
1469749043590,0.885,8.7966e-05
1469749043600,0.885,0.000106066
1469749043610,0.885,0.000142266
1469749043620,0.885,9.774e-05
1469749043630,0.885,7.059e-05
1469749043640,0.885,5.1766000000000005e-05
1469749043650,0.885,6.0453999999999994e-05
1469749043660,0.885,6.950399999999999e-05
1469749043670,0.885,9.1948e-05
1469749043680,0.885,0.000108962
1469749043690,0.885,0.00013068200000000002
1469749043700,0.885,0.000140818
1469749043710,0.885,0.000104618
1469749043720,0.885,7.964e-05
1469749043730,0.885,6.516e-05
1469749043740,0.885,6.950399999999999e-05
1469749043750,0.885,8.0002e-05
1469749043760,0.885,8.2174e-05
1469749043770,0.885,8.9414e-05
1469749043780,0.885,0.00010317
1469749043790,0.885,0.000100998
1469749043800,0.885,7.6382e-05
1469749043810,0.885,5.3938000000000004e-05
1469749043820,0.885,5.0318e-05
1469749043830,0.885,6.0816e-05
1469749043840,0.885,8.145e-05
1469749043850,0.885,0.00011439200000000001
1469749043860,0.885,0.000133578
1469749043870,0.885,0.00014661
1469749043880,0.885,0.000112944
1469749043890,0.885,0.00010534200000000001
1469749043900,0.885,9.05e-05
1469749043910,0.885,8.145e-05
1469749043920,0.885,7.421e-05
1469749043930,0.885,7.276199999999999e-05
1469749043940,0.885,9.086200000000001e-05
1469749043950,0.885,0.00011041
1469749043960,0.885,0.000107514
1469749043970,0.885,9.1948e-05
1469749043980,0.885,9.3396e-05
1469749043990,0.885,8.0002e-05
1469749044000,0.885,6.516e-05
1469749044010,0.885,6.7332e-05
1469749044020,0.885,7.8554e-05
1469749044030,0.885,0.000125614
1469749044040,0.885,0.00013575
1469749044050,0.885,0.000121632
1469749044060,0.885,8.9414e-05
1469749044070,0.885,7.8916e-05
1469749044080,0.885,7.0228e-05
1469749044090,0.885,6.1178e-05
1469749044100,0.885,7.8192e-05
1469749044110,0.885,9.448200000000001e-05
1469749044120,0.885,0.00010498
1469749044130,0.885,9.701600000000001e-05
1469749044140,0.885,7.964e-05
1469749044150,0.885,6.9866e-05
1469749044160,0.885,6.769399999999999e-05
1469749044170,0.885,7.2038e-05
1469749044180,0.885,8.108800000000001e-05
1469749044190,0.885,9.267200000000001e-05
1469749044200,0.885,9.737799999999999e-05
1469749044210,0.885,9.8826e-05
1469749044220,0.885,8.9776e-05
1469749044230,0.885,9.0138e-05
1469749044240,0.885,6.6608e-05
1469749044250,0.885,5.7196000000000006e-05
1469749044260,0.885,5.7196000000000006e-05
1469749044270,0.885,6.6246e-05
1469749044280,0.885,5.8643999999999996e-05
1469749044290,0.885,7.7106e-05
1469749044300,0.885,8.8328e-05
1469749044310,0.885,0.000100998
1469749044320,0.885,8.3984e-05
1469749044330,0.885,7.1314e-05
1469749044340,0.885,6.6246e-05
1469749044350,0.885,7.348600000000001e-05
1469749044360,0.885,9.0138e-05
1469749044370,0.885,9.1586e-05
1469749044380,0.885,0.00010353200000000001
1469749044390,0.885,0.00010715200000000001
1469749044400,0.885,0.000119822
1469749044410,0.885,0.000104618
1469749044420,0.885,8.869e-05
1469749044430,0.885,8.6156e-05
1469749044440,0.885,9.0138e-05
