Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1469747607940,-1.595,2.5340000000000002e-06
1469747607950,-1.595,3.6200000000000004e-07
1469747607960,-1.595,2.8960000000000003e-06
1469747607970,-1.595,2.8960000000000003e-06
1469747607980,-1.595,1.0859999999999999e-06
1469747607990,-1.595,2.1719999999999997e-06
1469747608000,-1.595,7.240000000000001e-07
1469747608010,-1.595,2.5340000000000002e-06
1469747608020,-1.595,7.240000000000001e-07
1469747608030,-1.595,2.8960000000000003e-06
1469747608040,-1.595,3.6200000000000004e-07
1469747608050,-1.595,2.8960000000000003e-06
1469747608060,-1.595,0.0
1469747608070,-1.595,3.258e-06
1469747608080,-1.595,7.240000000000001e-07
1469747608090,-1.595,2.8960000000000003e-06
1469747608100,-1.595,3.258e-06
1469747608110,-1.595,7.240000000000001e-07
1469747608120,-1.595,2.8960000000000003e-06
1469747608130,-1.595,3.6200000000000004e-07
1469747608140,-1.595,1.4118e-05
1469747608150,-1.595,0.0
1469747608160,-1.595,1.81e-06
1469747608170,-1.595,2.1719999999999997e-06
1469747608180,-1.595,7.240000000000001e-07
1469747608190,-1.595,2.5340000000000002e-06
1469747608200,-1.595,7.240000000000001e-07
1469747608210,-1.595,2.5340000000000002e-06
1469747608220,-1.595,2.1719999999999997e-06
1469747608230,-1.595,7.240000000000001e-07
1469747608240,-1.595,2.8960000000000003e-06
1469747608250,-1.595,0.0
1469747608260,-1.595,3.62e-06
1469747608270,-1.595,1.81e-06
1469747608280,-1.595,2.8960000000000003e-06
1469747608290,-1.595,2.1719999999999997e-06
1469747608300,-1.595,1.4480000000000002e-06
1469747608310,-1.595,2.5340000000000002e-06
1469747608320,-1.595,7.240000000000001e-07
1469747608330,-1.595,2.8960000000000003e-06
1469747608340,-1.595,1.0859999999999999e-06
1469747608350,-1.595,2.5340000000000002e-06
1469747608360,-1.595,1.0859999999999999e-06
1469747608370,-1.595,2.1719999999999997e-06
1469747608380,-1.595,2.5340000000000002e-06
1469747608390,-1.595,1.0859999999999999e-06
1469747608400,-1.595,3.62e-06
1469747608410,-1.595,0.0
1469747608420,-1.595,2.5340000000000002e-06
1469747608430,-1.595,2.1719999999999997e-06
1469747608440,-1.595,7.240000000000001e-07
1469747608450,-1.595,3.258e-06
1469747608460,-1.595,7.240000000000001e-07
1469747608470,-1.595,3.258e-06
1469747608480,-1.595,2.5340000000000002e-06
1469747608490,-1.595,1.0859999999999999e-06
1469747608500,-1.595,2.8960000000000003e-06
1469747608510,-1.595,3.6200000000000004e-07
1469747608520,-1.595,1.81e-06
1469747608530,-1.595,2.8960000000000003e-06
1469747608540,-1.595,2.8960000000000003e-06
1469747608550,-1.595,2.5340000000000002e-06
