Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1469746992400,0.115,0.000226974
1469746992410,0.115,0.00011222
1469746992420,0.115,0.00015023
1469746992430,0.115,0.00010353200000000001
1469746992440,0.115,8.651799999999999e-05
1469746992450,0.115,4.9956e-05
1469746992460,0.115,4.7422e-05
1469746992470,0.115,2.715e-05
1469746992480,0.115,2.3891999999999998e-05
1469746992490,0.115,2.0996e-05
1469746992500,0.115,2.2444e-05
1469746992510,0.115,1.3032e-05
1469746992520,0.115,1.2308e-05
1469746992530,0.115,7.602e-06
1469746992540,0.115,6.154e-06
1469746992550,0.115,5.43e-06
1469746992560,0.115,7.964e-06
1469746992570,0.115,1.3394000000000001e-05
1469746992580,0.115,1.086e-05
1469746992590,0.115,2.2805999999999998e-05
1469746992600,0.115,2.9684000000000002e-05
1469746992610,0.115,5.792e-05
1469746992620,0.115,5.7196000000000006e-05
1469746992630,0.115,2.9684000000000002e-05
1469746992640,0.115,3.8734e-05
1469746992650,0.115,4.9956e-05
1469746992660,0.115,6.5522e-05
1469746992670,0.115,3.077e-05
1469746992680,0.115,2.353e-05
1469746992690,0.115,2.2805999999999998e-05
1469746992700,0.115,3.4751999999999995e-05
1469746992710,0.115,1.991e-05
1469746992720,0.115,1.9186e-05
1469746992730,0.115,8.326e-06
1469746992740,0.115,1.1945999999999999e-05
1469746992750,0.115,9.412e-06
1469746992760,0.115,8.326e-06
1469746992770,0.115,8.687999999999999e-06
1469746992780,0.115,7.602e-06
1469746992790,0.115,9.05e-06
1469746992800,0.115,8.326e-06
1469746992810,0.115,8.687999999999999e-06
1469746992820,0.115,1.2308e-05
1469746992830,0.115,3.1132e-05
1469746992840,0.115,2.6426e-05
1469746992850,0.115,3.0408e-05
1469746992860,0.115,5.249e-05
1469746992870,0.115,5.3576000000000003e-05
1469746992880,0.115,6.5522e-05
1469746992890,0.115,5.1042e-05
1469746992900,0.115,5.429999999999999e-05
1469746992910,0.115,3.1494e-05
1469746992920,0.115,3.982e-05
1469746992930,0.115,1.8100000000000003e-05
1469746992940,0.115,1.9186e-05
1469746992950,0.115,1.1584000000000001e-05
1469746992960,0.115,1.086e-05
1469746992970,0.115,8.326e-06
1469746992980,0.115,6.154e-06
1469746992990,0.115,5.43e-06
1469746993000,0.115,5.43e-06
1469746993010,0.115,7.602e-06
1469746993020,0.115,6.877999999999999e-06
1469746993030,0.115,1.0498e-05
1469746993040,0.115,5.792000000000001e-06
1469746993050,0.115,1.5928e-05
1469746993060,0.115,3.2218e-05
1469746993070,0.115,5.249e-05
1469746993080,0.115,3.3666e-05
1469746993090,0.115,2.8236e-05
1469746993100,0.115,6.2988e-05
1469746993110,0.115,8.5794e-05
1469746993120,0.115,6.9866e-05
1469746993130,0.115,1.7014e-05
1469746993140,0.115,1.086e-05
1469746993150,0.115,1.0136000000000001e-05
1469746993160,0.115,1.6652e-05
1469746993170,0.115,7.24e-06
1469746993180,0.115,6.516e-06
1469746993190,0.115,6.154e-06
1469746993200,0.115,1.267e-05
1469746993210,0.115,1.0498e-05
1469746993220,0.115,7.602e-06
1469746993230,0.115,6.877999999999999e-06
1469746993240,0.115,5.792000000000001e-06
1469746993250,0.115,9.05e-06
1469746993260,0.115,7.964e-06
1469746993270,0.115,1.1222e-05
1469746993280,0.115,1.1584000000000001e-05
