Timestamp,position,BLMTI.04R7.B2I10_TCSG.A4R7.B2
1469748765360,1.44,1.6652e-05
1469748765370,1.44,1.5204e-05
1469748765380,1.44,1.5204e-05
1469748765390,1.44,1.267e-05
1469748765400,1.44,1.2308e-05
1469748765410,1.44,1.448e-05
1469748765420,1.44,1.1222e-05
1469748765430,1.44,1.5204e-05
1469748765440,1.44,1.1945999999999999e-05
1469748765450,1.44,1.267e-05
1469748765460,1.44,1.2308e-05
1469748765470,1.44,1.1584000000000001e-05
1469748765480,1.44,1.448e-05
1469748765490,1.44,1.448e-05
1469748765500,1.44,1.7375999999999998e-05
1469748765510,1.44,1.3394000000000001e-05
1469748765520,1.44,1.7014e-05
1469748765530,1.44,1.5928e-05
1469748765540,1.44,1.5566e-05
1469748765550,1.44,1.5204e-05
1469748765560,1.44,1.1584000000000001e-05
1469748765570,1.44,1.1584000000000001e-05
1469748765580,1.44,1.5566e-05
1469748765590,1.44,1.448e-05
1469748765600,1.44,1.9548e-05
1469748765610,1.44,1.4118e-05
1469748765620,1.44,1.7375999999999998e-05
1469748765630,1.44,1.1222e-05
1469748765640,1.44,1.4842000000000001e-05
1469748765650,1.44,1.3755999999999998e-05
1469748765660,1.44,1.3394000000000001e-05
1469748765670,1.44,1.448e-05
1469748765680,1.44,1.2308e-05
1469748765690,1.44,1.7375999999999998e-05
1469748765700,1.44,1.3032e-05
1469748765710,1.44,1.4842000000000001e-05
1469748765720,1.44,1.2308e-05
1469748765730,1.44,1.4118e-05
1469748765740,1.44,1.0136000000000001e-05
1469748765750,1.44,1.448e-05
1469748765760,1.44,1.3755999999999998e-05
1469748765770,1.44,1.3394000000000001e-05
1469748765780,1.44,1.8462e-05
1469748765790,1.44,1.5566e-05
1469748765800,1.44,1.5204e-05
1469748765810,1.44,1.3032e-05
1469748765820,1.44,1.5566e-05
1469748765830,1.44,1.3032e-05
1469748765840,1.44,1.3755999999999998e-05
1469748765850,1.44,1.5204e-05
1469748765860,1.44,1.1584000000000001e-05
1469748765870,1.44,1.2308e-05
1469748765880,1.44,1.2308e-05
1469748765890,1.44,1.3755999999999998e-05
1469748765900,1.44,7.24e-06
1469748765910,1.44,1.3394000000000001e-05
1469748765920,1.44,1.3394000000000001e-05
1469748765930,1.44,1.2308e-05
1469748765940,1.44,1.3755999999999998e-05
1469748765950,1.44,1.5566e-05
1469748765960,1.44,1.4118e-05
1469748765970,1.44,1.7738e-05
1469748765980,1.44,1.3394000000000001e-05
1469748765990,1.44,1.5928e-05
1469748766000,1.44,1.3394000000000001e-05
1469748766010,1.44,1.4842000000000001e-05
1469748766020,1.44,1.4842000000000001e-05
1469748766030,1.44,1.5928e-05
1469748766040,1.44,1.1945999999999999e-05
1469748766050,1.44,1.3032e-05
1469748766060,1.44,1.7738e-05
1469748766070,1.44,8.687999999999999e-06
1469748766080,1.44,1.7375999999999998e-05
1469748766090,1.44,1.2308e-05
1469748766100,1.44,1.3032e-05
1469748766110,1.44,1.4842000000000001e-05
1469748766120,1.44,1.5928e-05
1469748766130,1.44,1.1584000000000001e-05
1469748766140,1.44,1.3394000000000001e-05
1469748766150,1.44,1.3755999999999998e-05
1469748766160,1.44,1.267e-05
1469748766170,1.44,1.5566e-05
1469748766180,1.44,1.4118e-05
1469748766190,1.44,1.5566e-05
1469748766200,1.44,1.5204e-05
1469748766210,1.44,1.991e-05
1469748766220,1.44,1.6652e-05
1469748766230,1.44,1.3032e-05
1469748766270,1.44,1.448e-05
1469748766280,1.44,1.448e-05
1469748766290,1.44,1.3394000000000001e-05
1469748766300,1.44,1.5204e-05
1469748766310,1.44,1.4118e-05
1469748766320,1.44,1.5928e-05
1469748766330,1.44,1.6652e-05
1469748766340,1.44,1.3032e-05
1469748766350,1.44,1.3755999999999998e-05
1469748766360,1.44,9.774e-06
1469748766370,1.44,1.4118e-05
1469748766380,1.44,1.3032e-05
1469748766390,1.44,1.1945999999999999e-05
1469748766400,1.44,1.267e-05
1469748766410,1.44,1.086e-05
1469748766420,1.44,1.7375999999999998e-05
1469748766430,1.44,1.7014e-05
1469748766440,1.44,1.7738e-05
1469748766450,1.44,2.0634e-05
1469748766460,1.44,1.267e-05
1469748766470,1.44,1.7375999999999998e-05
1469748766480,1.44,1.3394000000000001e-05
1469748766490,1.44,1.4842000000000001e-05
1469748766500,1.44,1.4118e-05
1469748766510,1.44,1.3755999999999998e-05
1469748766520,1.44,1.1945999999999999e-05
1469748766530,1.44,1.4842000000000001e-05
1469748766540,1.44,1.7014e-05
1469748766550,1.44,1.1584000000000001e-05
1469748766560,1.44,1.3394000000000001e-05
1469748766570,1.44,1.2308e-05
1469748766580,1.44,1.267e-05
1469748766590,1.44,1.629e-05
1469748766600,1.44,1.2308e-05
1469748766610,1.44,1.086e-05
1469748766620,1.44,1.267e-05
1469748766630,1.44,1.1584000000000001e-05
1469748766640,1.44,1.086e-05
1469748766650,1.44,1.2308e-05
1469748766660,1.44,1.5566e-05
1469748766670,1.44,1.5928e-05
1469748766680,1.44,1.5204e-05
1469748766690,1.44,1.8824e-05
1469748766700,1.44,1.2308e-05
1469748766710,1.44,1.3032e-05
1469748766720,1.44,1.1584000000000001e-05
1469748766730,1.44,1.3755999999999998e-05
1469748766740,1.44,1.267e-05
1469748766750,1.44,1.3394000000000001e-05
1469748766760,1.44,1.5566e-05
1469748766770,1.44,1.3394000000000001e-05
1469748766780,1.44,1.448e-05
1469748766790,1.44,1.3394000000000001e-05
1469748766800,1.44,1.448e-05
1469748766810,1.44,1.086e-05
1469748766820,1.44,1.267e-05
1469748766830,1.44,1.1945999999999999e-05
1469748766840,1.44,1.1584000000000001e-05
1469748766850,1.44,1.1945999999999999e-05
1469748766860,1.44,1.3755999999999998e-05
1469748766870,1.44,1.3755999999999998e-05
1469748766880,1.44,1.086e-05
1469748766890,1.44,1.3032e-05
1469748766900,1.44,1.267e-05
1469748766910,1.44,1.7014e-05
1469748766920,1.44,1.629e-05
1469748766930,1.44,1.448e-05
1469748766940,1.44,1.4118e-05
1469748766950,1.44,1.2308e-05
1469748766960,1.44,1.5566e-05
1469748766970,1.44,9.412e-06
1469748766980,1.44,1.1222e-05
1469748766990,1.44,1.1945999999999999e-05
1469748767000,1.44,1.3394000000000001e-05
1469748767010,1.44,1.2308e-05
1469748767020,1.44,1.267e-05
1469748767030,1.44,9.774e-06
1469748767040,1.44,1.0136000000000001e-05
1469748767050,1.44,1.4842000000000001e-05
1469748767060,1.44,1.0136000000000001e-05
1469748767070,1.44,1.3755999999999998e-05
1469748767080,1.44,9.774e-06
1469748767090,1.44,1.3032e-05
1469748767100,1.44,1.2308e-05
1469748767110,1.44,1.448e-05
1469748767120,1.44,1.7738e-05
1469748767130,1.44,1.4842000000000001e-05
1469748767140,1.44,1.5204e-05
1469748767150,1.44,1.8100000000000003e-05
1469748767160,1.44,1.6652e-05
1469748767170,1.44,1.5928e-05
1469748767180,1.44,1.3755999999999998e-05
1469748767190,1.44,1.4842000000000001e-05
1469748767200,1.44,9.05e-06
1469748767210,1.44,1.4118e-05
1469748767220,1.44,9.774e-06
1469748767230,1.44,1.0498e-05
1469748767240,1.44,1.0498e-05
1469748767250,1.44,9.774e-06
1469748767260,1.44,1.0498e-05
1469748767270,1.44,1.1945999999999999e-05
1469748767280,1.44,1.5566e-05
1469748767290,1.44,1.1584000000000001e-05
1469748767300,1.44,1.2308e-05
1469748767310,1.44,1.0136000000000001e-05
1469748767320,1.44,1.3032e-05
1469748767330,1.44,1.1222e-05
1469748767340,1.44,9.412e-06
1469748767350,1.44,1.2308e-05
1469748767360,1.425,1.267e-05
1469748767370,1.425,1.4842000000000001e-05
1469748767380,1.425,1.4118e-05
1469748767390,1.425,1.3394000000000001e-05
1469748767400,1.425,1.448e-05
1469748767410,1.425,1.5204e-05
1469748767420,1.425,1.1584000000000001e-05
1469748767430,1.425,1.3394000000000001e-05
1469748767440,1.425,1.3032e-05
1469748767450,1.425,1.1945999999999999e-05
1469748767460,1.425,1.267e-05
1469748767470,1.425,1.4842000000000001e-05
1469748767480,1.425,9.05e-06
1469748767490,1.425,1.0498e-05
1469748767500,1.425,1.0136000000000001e-05
1469748767510,1.425,1.1222e-05
1469748767520,1.425,1.448e-05
1469748767530,1.425,9.774e-06
1469748767540,1.425,1.3394000000000001e-05
1469748767550,1.425,1.3394000000000001e-05
1469748767560,1.425,1.3032e-05
1469748767570,1.425,1.3755999999999998e-05
1469748767580,1.425,1.2308e-05
1469748767590,1.425,1.2308e-05
1469748767600,1.425,1.2308e-05
1469748767610,1.425,1.1945999999999999e-05
1469748767620,1.425,1.2308e-05
1469748767630,1.425,1.2308e-05
1469748767640,1.425,1.5204e-05
