Timestamp,position,BLMTI.04L7.B1E10_TCSG.B4L7.B1
1469746327410,2.18,5.2852e-05
1469746327420,2.18,4.0544000000000003e-05
1469746327430,2.18,3.5114e-05
1469746327440,2.18,2.7511999999999997e-05
1469746327450,2.18,2.3891999999999998e-05
1469746327460,2.18,2.4978e-05
1469746327470,2.18,2.4254000000000002e-05
1469746327480,2.18,2.4978e-05
1469746327490,2.18,2.715e-05
1469746327500,2.18,3.2942e-05
1469746327510,2.18,2.7511999999999997e-05
1469746327520,2.18,2.8598000000000003e-05
1469746327530,2.18,2.9684000000000002e-05
1469746327540,2.18,2.8236e-05
1469746327550,2.18,2.7874e-05
1469746327560,2.18,3.2218e-05
1469746327570,2.18,2.9684000000000002e-05
1469746327580,2.18,2.6064e-05
1469746327590,2.18,1.9548e-05
1469746327600,2.18,1.9548e-05
1469746327610,2.18,1.7738e-05
1469746327620,2.18,2.1358e-05
1469746327630,2.18,1.9548e-05
1469746327640,2.18,2.6788000000000002e-05
1469746327650,2.18,3.1132e-05
1469746327660,2.18,3.5838000000000005e-05
1469746327670,2.18,1.9186e-05
1469746327680,2.18,2.2082e-05
1469746327690,2.18,1.991e-05
1469746327700,2.18,2.0272000000000002e-05
1469746327710,2.18,1.8100000000000003e-05
1469746327720,2.18,1.991e-05
1469746327730,2.18,1.8100000000000003e-05
1469746327740,2.18,2.0634e-05
1469746327750,2.18,1.8824e-05
1469746327760,2.18,1.8462e-05
1469746327770,2.18,1.5204e-05
1469746327780,2.18,1.7375999999999998e-05
1469746327790,2.18,1.4842000000000001e-05
1469746327800,2.18,1.5566e-05
1469746327810,2.18,1.4842000000000001e-05
1469746327820,2.18,1.8824e-05
1469746327830,2.18,2.0634e-05
1469746327840,2.18,2.0996e-05
1469746327850,2.18,1.7014e-05
1469746327860,2.18,1.8824e-05
1469746327870,2.18,1.3755999999999998e-05
1469746327880,2.18,1.5928e-05
1469746327890,2.18,1.5204e-05
1469746327900,2.18,8.687999999999999e-06
1469746327910,2.18,1.629e-05
1469746327920,2.18,1.8100000000000003e-05
1469746327930,2.18,1.7014e-05
1469746327940,2.18,1.5204e-05
1469746327950,2.18,1.4842000000000001e-05
1469746327960,2.18,1.448e-05
1469746327970,2.18,1.448e-05
1469746327980,2.18,1.5928e-05
1469746327990,2.18,1.4118e-05
1469746328000,2.18,1.5928e-05
1469746328010,2.18,1.3032e-05
1469746328020,2.18,1.4118e-05
1469746328030,2.18,1.086e-05
1469746328040,2.18,1.1222e-05
1469746328050,2.18,1.0498e-05
1469746328060,2.18,1.2308e-05
1469746328070,2.18,1.086e-05
1469746328080,2.18,1.7375999999999998e-05
1469746328090,2.18,2.0272000000000002e-05
1469746328100,2.18,2.4978e-05
1469746328110,2.18,2.1358e-05
1469746328120,2.18,2.2082e-05
1469746328130,2.18,1.8824e-05
1469746328140,2.18,1.9186e-05
1469746328150,2.18,8.326e-06
1469746328160,2.18,1.448e-05
1469746328170,2.18,1.1945999999999999e-05
1469746328180,2.18,1.267e-05
1469746328190,2.18,1.1584000000000001e-05
1469746328200,2.18,1.2308e-05
1469746328210,2.18,1.267e-05
1469746328220,2.18,1.7014e-05
1469746328230,2.18,1.8824e-05
1469746328240,2.18,2.172e-05
1469746328250,2.18,1.9548e-05
1469746328260,2.18,1.9548e-05
1469746328270,2.18,1.5566e-05
1469746328280,2.18,1.4842000000000001e-05
1469746328290,2.18,1.3032e-05
1469746328300,2.18,1.5204e-05
1469746328310,2.18,1.3032e-05
1469746328320,2.18,1.448e-05
1469746328330,2.18,9.774e-06
