Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1469748957970,0.42,1.9186e-05
1469748957980,0.42,1.7738e-05
1469748957990,0.42,1.629e-05
1469748958000,0.42,1.5204e-05
1469748958010,0.42,1.4118e-05
1469748958020,0.42,1.629e-05
1469748958030,0.42,1.8100000000000003e-05
1469748958040,0.42,1.7014e-05
1469748958050,0.42,1.9548e-05
1469748958060,0.42,1.5566e-05
1469748958070,0.42,1.629e-05
1469748958080,0.42,1.4118e-05
1469748958090,0.42,1.3394000000000001e-05
1469748958100,0.42,1.3032e-05
1469748958110,0.42,1.1945999999999999e-05
1469748958120,0.42,1.448e-05
1469748958130,0.42,1.5928e-05
1469748958140,0.42,1.4842000000000001e-05
1469748958150,0.42,1.5566e-05
1469748958160,0.42,1.7738e-05
1469748958170,0.42,1.6652e-05
1469748958180,0.42,1.3755999999999998e-05
1469748958190,0.42,1.2308e-05
1469748958200,0.42,1.2308e-05
1469748958210,0.42,1.4842000000000001e-05
1469748958220,0.42,1.6652e-05
1469748958230,0.42,1.629e-05
1469748958240,0.42,1.3755999999999998e-05
1469748958250,0.42,1.1222e-05
1469748958260,0.42,1.1945999999999999e-05
1469748958270,0.42,1.3755999999999998e-05
1469748958280,0.42,1.448e-05
1469748958290,0.42,1.5928e-05
1469748958300,0.42,1.5928e-05
1469748958310,0.42,1.448e-05
1469748958320,0.42,1.4842000000000001e-05
1469748958330,0.42,1.267e-05
1469748958340,0.42,1.4842000000000001e-05
1469748958350,0.42,1.3032e-05
1469748958360,0.42,1.5204e-05
1469748958370,0.42,1.448e-05
1469748958380,0.42,1.4118e-05
1469748958390,0.42,1.4118e-05
1469748958400,0.42,1.4842000000000001e-05
1469748958410,0.42,1.3032e-05
1469748958420,0.42,1.5566e-05
1469748958430,0.42,1.5204e-05
1469748958440,0.42,1.267e-05
1469748958450,0.42,1.448e-05
1469748958460,0.42,1.448e-05
1469748958470,0.42,1.629e-05
1469748958480,0.42,1.4118e-05
1469748958490,0.42,1.2308e-05
1469748958500,0.42,1.3394000000000001e-05
1469748958510,0.42,1.3394000000000001e-05
1469748958520,0.42,1.1222e-05
1469748958530,0.42,1.1584000000000001e-05
1469748958540,0.42,1.1222e-05
1469748958550,0.42,1.3755999999999998e-05
1469748958560,0.42,1.4842000000000001e-05
1469748958570,0.42,1.5204e-05
1469748958580,0.42,1.448e-05
1469748958590,0.42,1.4118e-05
1469748958600,0.42,1.1945999999999999e-05
1469748958610,0.42,1.448e-05
1469748958620,0.42,1.448e-05
1469748958630,0.42,1.3394000000000001e-05
1469748958640,0.42,1.3755999999999998e-05
1469748958650,0.42,1.4842000000000001e-05
1469748958660,0.42,1.1945999999999999e-05
1469748958670,0.42,1.3032e-05
1469748958680,0.42,1.1945999999999999e-05
1469748958690,0.42,1.2308e-05
1469748958700,0.42,1.5566e-05
1469748958710,0.42,1.9186e-05
1469748958720,0.42,1.7738e-05
1469748958730,0.42,1.991e-05
1469748958740,0.42,1.448e-05
1469748958750,0.42,1.629e-05
1469748958760,0.42,1.7014e-05
1469748958770,0.42,1.6652e-05
1469748958780,0.42,1.5928e-05
1469748958790,0.42,1.5566e-05
1469748958800,0.42,1.5928e-05
1469748958810,0.42,1.6652e-05
1469748958820,0.42,1.629e-05
1469748958830,0.42,1.6652e-05
1469748958840,0.42,1.7014e-05
1469748958850,0.42,1.8462e-05
1469748958860,0.42,1.5566e-05
1469748958870,0.42,1.5566e-05
1469748958880,0.42,1.3394000000000001e-05
1469748958890,0.42,1.6652e-05
1469748958900,0.42,1.6652e-05
