Geom. emittance [m]	5.053054316048623E-10
Setup N Sigma	4.5
RMS Momentum Deviation	3.06E-4
Number	Status	Collimator Name	Angle (deg)	JAW L Calib (mm)	JAW R Calib (mm)	LVDT gap	Gap Offset (mm)	Half Gap Meas (mm)	Eff sigma in coll plane	JAW L Setting (mm)	JAW R Setting (mm)	Target HALF GAP sigma	Pos (m)	Angle (rad)	Betax (m)	Betay (m)	halfgap (m)	sig_coll (m)	sigx (m)	sigy (m)	nsig	tilt1 (rad)	tilt2 (rad)	Ratio beam size (meas/exp)	Dx (m)	sigx (m) (with Dx)	sig_coll (m) (with Dx)	Coll setup time (sec)	Comments
Horizontal
16	False	TCTPH.4R1.B2	0.0	0.0	0.0	0.0	0.0	0.0	1.042636805796297	14.284124239409268	-14.284124239409268	13.7	26511.36	0.0	2151.355281	813.8982779	0.015639552086944453	0.0010426368057962969	0.0010426368057962969	6.413011933535705E-4	15.0	0.0	0.0	100%	-0.018549	0.001042652255408769	0.001042652255408769	0.0	
17	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
18	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
19	False	TCTPH.4R2.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.15366040395090835	5.685434946183609	-5.685434946183609	37.0	23208.65	0.0	46.72722331	48.65712591	0.003841510098772709	1.5366040395090836E-4	1.5366040395090836E-4	1.5680149874476544E-4	25.0	0.0	0.0	100%	0.072682	1.5526161187813037E-4	1.5526161187813037E-4	0.0	
20	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
21	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
22	False	TCLA.7L3.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.18370067392609304	0.0	0.0	0.0	20244.62	0.0	66.7832473	93.22169934	0.0018370067392609304	1.8370067392609304E-4	1.8370067392609304E-4	2.1703785619088992E-4	10.0	0.0	0.0	100%	-1.213492	4.142835153989565E-4	4.142835153989565E-4	0.0	
23	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
24	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
25	False	TCLA.6L3.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.2557456144333656	0.0	0.0	0.0	20173.21	0.0	129.4381877	168.7121537	0.0025574561443336558	2.5574561443336555E-4	2.5574561443336555E-4	2.9197802595805794E-4	10.0	0.0	0.0	100%	1.392604	4.969893480455156E-4	4.969893480455156E-4	0.0	
