Geom. emittance [m]	5.053054316048623E-10
Setup N Sigma	4.5
RMS Momentum Deviation	3.06E-4
Number	Status	Collimator Name	Angle (deg)	JAW L Calib (mm)	JAW R Calib (mm)	LVDT gap	Gap Offset (mm)	Half Gap Meas (mm)	Eff sigma in coll plane	JAW L Setting (mm)	JAW R Setting (mm)	Target HALF GAP sigma	Pos (m)	Angle (rad)	Betax (m)	Betay (m)	halfgap (m)	sig_coll (m)	sigx (m)	sigy (m)	nsig	tilt1 (rad)	tilt2 (rad)	Ratio beam size (meas/exp)	Dx (m)	sigx (m) (with Dx)	sig_coll (m) (with Dx)	Coll setup time (sec)	Comments
Horizontal
0	False	TCP.C6L7.B1	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	19791.18	0.0	150.5287087	82.76322635	0.0015720324516728457	2.7579516696014835E-4	2.7579516696014835E-4	2.0450111934118518E-4	5.7	0.0	0.0		0.329264	0.001047857	0.001047857	0.0	
1	False	TCSP.A4R6.B1	0.0	0.0	0.0	0.0	0.0	0.0	0.512034499861918	0.0	0.0	0.0	16815.98	0.0	518.853178	174.6805868	0.003584241499033426	5.12034499861918E-4	5.12034499861918E-4	2.970977100315056E-4	7.0	0.0	0.0	100%	-0.00675	5.120386658633257E-4	5.120386658633257E-4	0.0	
2	False	TCP.C6L7.B1	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	19791.18	0.0	150.5287087	82.76322635	0.0015720324516728457	2.7579516696014835E-4	2.7579516696014835E-4	2.0450111934118518E-4	5.7	0.0	0.0		0.329264	0.001047857	0.001047857	0.0	
3	False	TCP.C6L7.B1	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	19791.18	0.0	150.5287087	82.76322635	0.0015720324516728457	2.7579516696014835E-4	2.7579516696014835E-4	2.0450111934118518E-4	5.7	0.0	0.0		0.329264	0.001047857	0.001047857	0.0	
4	False	TCDQA.A4R6.B1	0.0	0.0	0.0	0.0	0.0	0.0	0.4946881174687974	0.0	0.0	0.0	16812.07	0.0	484.2938909	161.3884352	0.003957504939750379	4.946881174687973E-4	4.946881174687973E-4	2.855703992096684E-4	8.0	0.0	0.0	100%	-0.007482	4.946934154993785E-4	4.946934154993785E-4	0.0	
5	False	TCP.C6L7.B1	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	19791.18	0.0	150.5287087	82.76322635	0.0015720324516728457	2.7579516696014835E-4	2.7579516696014835E-4	2.0450111934118518E-4	5.7	0.0	0.0		0.329264	0.001047857	0.001047857	0.0	
6	True	TCP.C6L7.B1	0.0	1.185	-2.275	3.4713315988205	-0.5449999999999999	1.73	n/a	n/a	n/a	6.272771271042543	19791.18	0.0	150.5287087	82.76322635	0.0015720324516728457	2.7579516696014835E-4	2.7579516696014835E-4	2.0450111934118518E-4	5.7	0.0	0.0		0.329264	0.001047857	0.001047857	1.461060106144E9	
7	True	TCL.6R5.B1	0.0	2.81	1.615	1.225523760977002	2.2125	0.5975	0.08113366918781309	4.240841729695328	0.18415827030467247	25.0	13551.02	0.0	13.02711561	432.1127896	0.0016226733837562616	8.113366918781308E-5	8.113366918781308E-5	4.6727822509807696E-4	20.0	0.0	0.0	100%	0.032971	8.1758563706326E-5	8.1758563706326E-5	1.461060301582E9	
8	True	TCP.C6L7.B1	0.0	1.075	-2.195	3.277581583996859	-0.5599999999999999	1.6349999999999998	n/a	n/a	n/a	5.928312733037316	19791.18	0.0	150.5287087	82.76322635	0.0015720324516728457	2.7579516696014835E-4	2.7579516696014835E-4	2.0450111934118518E-4	5.7	0.0	0.0		0.329264	0.001047857	0.001047857	1.461060321668E9	
