collimator,angle,centre,sigma_x,sigma_y
TCDQA.A4L6.B2,0.0,-0.1765,0.5004043915847157,0.2838116521227692
TCDQA.A4R6.B1,0.0,0.329,0.49717847163874157,0.2782685586994571
TCL.4L1.B2,0.0,0.0,0.403205874519666,0.5970612199397709
TCL.4L5.B2,0.0,0.0,0.40320574921801194,0.5970611776305775
TCL.4R1.B1,0.0,0.0,0.40320549861458715,0.5970611353213815
TCL.4R5.B1,0.0,0.0,0.4032056865671705,0.5970612199397709
TCL.5L1.B2,0.0,0.0,0.22227689621108696,0.4716594760798126
TCL.5L5.B2,0.0,0.0,0.22195168373921365,0.4710276030219668
TCL.5R1.B1,0.0,0.0,0.22463363112320825,0.4655527767496886
TCL.5R5.B1,0.0,-2.7755575615628914E-17,0.2249423216937393,0.4662190543505014
TCL.6L1.B2,0.0,0.0,0.08588570773243251,0.34941495073068923
TCL.6L5.B2,0.0,0.0,0.08378508092752847,0.3462275013212239
TCL.6R1.B1,0.0,0.0,0.08586952930561198,0.3436391582356929
TCL.6R5.B1,0.0,0.0,0.08214140252297254,0.3398054314049468
TCLA.6L3.B2,0.0,-0.765,0.2557248063571278,0.29195440889266805
TCLA.6R3.B1,0.0,0.0675,0.25572618931068186,0.29195207272475066
TCLA.7L3.B2,0.0,-0.06,0.18417830753402573,0.21434484165343978
TCLA.7R3.B1,0.0,-0.485,0.18437947424343748,0.21325987541150687
TCLA.A5L3.B2,1.5708,0.08250000000000002,0.2683488009918931,0.29820626074312634
TCLA.A5R3.B1,1.571,0.205,0.26834993061681334,0.29820465124080403
TCLA.A6L7.B2,1.5708,0.38,0.3874174982039371,0.1559771242717712
TCLA.A6R7.B1,1.571,0.2775,0.3874174982039371,0.1559771242717712
TCLA.A7L7.B2,0.0,0.6175,0.18208186389707925,0.2696776239170925
TCLA.A7R7.B1,0.0,-0.1525,0.1839239404897893,0.26656180528026874
TCLA.B5L3.B2,0.0,-0.72,0.27676946741583425,0.29193442107402595
TCLA.B5R3.B1,0.0,-0.625,0.27677065394340766,0.29193277699340087
TCLA.B6L7.B2,0.0,-0.03,0.2838776875137951,0.19645194134742106
TCLA.B6R7.B1,0.0,0.1525,0.2838776875137951,0.1964519284887146
TCLA.C6L7.B2,1.5708,0.8475,0.18619133280939523,0.2770171588329633
TCLA.C6R7.B1,1.571,1.6025,0.18619133280939523,0.27701706764301015
TCLA.D6L7.B2,0.0,0.0575,0.1812859481327547,0.28246132130860374
TCLA.D6R7.B1,0.0,1.92,0.18128596206719194,0.28246132130860374
TCLIA.4L8,1.5708,,,
TCLIA.4R2,1.571,,,
TCLIB.6L8.B2,1.5708,,,
TCLIB.6R2.B1,1.571,,,
TCP.6L3.B1,0.0,0.3525,0.25777707887348056,0.27037691367116345
TCP.6R3.B2,0.0,0.1125,0.25777698087724876,0.27037476478431793
TCP.B6L7.B1,2.215,0.4825,0.26828289797372284,0.21024067051736522
TCP.B6R7.B2,2.2253,-0.2075,0.26828289797372284,0.21024067051736525
TCP.C6L7.B1,0.0,0.515,0.27577290466037946,0.20448454206897648
