Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1494170665590,2.255,1.4480000000000002e-06
1494170665600,2.255,1.81e-06
1494170665610,2.255,1.0859999999999999e-06
1494170665620,2.255,1.0859999999999999e-06
1494170665630,2.255,3.6200000000000004e-07
1494170665640,2.255,1.0859999999999999e-06
1494170665650,2.255,0.0
1494170665660,2.255,1.0859999999999999e-06
1494170665670,2.255,0.0
1494170665680,2.255,7.240000000000001e-07
1494170665690,2.255,7.240000000000001e-07
1494170665700,2.255,7.240000000000001e-07
1494170665710,2.255,0.0
1494170665720,2.255,1.0859999999999999e-06
1494170665730,2.255,3.6200000000000004e-07
1494170665740,2.255,1.4480000000000002e-06
1494170665750,2.255,3.6200000000000004e-07
1494170665760,2.255,1.0859999999999999e-06
1494170665770,2.255,1.4480000000000002e-06
1494170665780,2.255,1.0859999999999999e-06
1494170665790,2.255,2.1719999999999997e-06
1494170665800,2.255,2.1719999999999997e-06
1494170665810,2.255,1.0859999999999999e-06
1494170665820,2.255,2.1719999999999997e-06
1494170665830,2.255,7.240000000000001e-07
1494170665840,2.255,1.4480000000000002e-06
1494170665850,2.255,7.240000000000001e-07
1494170665860,2.255,1.0859999999999999e-06
1494170665870,2.255,7.240000000000001e-07
1494170665880,2.255,1.0859999999999999e-06
1494170665890,2.255,0.0
1494170665900,2.255,0.0
1494170665910,2.255,3.6200000000000004e-07
1494170665920,2.255,1.0859999999999999e-06
1494170665930,2.255,3.6200000000000004e-07
1494170665940,2.255,7.240000000000001e-07
1494170665950,2.255,0.0
1494170665960,2.255,1.0859999999999999e-06
1494170665970,2.255,3.6200000000000004e-07
1494170665980,2.255,1.4480000000000002e-06
1494170665990,2.255,1.0859999999999999e-06
1494170666000,2.255,1.4480000000000002e-06
1494170666010,2.255,1.81e-06
1494170666020,2.255,1.0859999999999999e-06
1494170666030,2.255,1.81e-06
1494170666040,2.255,1.81e-06
1494170666050,2.255,1.81e-06
1494170666060,2.255,1.4480000000000002e-06
1494170666070,2.255,7.240000000000001e-07
1494170666080,2.255,1.0859999999999999e-06
1494170666090,2.255,1.0859999999999999e-06
1494170666100,2.255,1.0859999999999999e-06
1494170666110,2.255,3.6200000000000004e-07
1494170666120,2.255,7.240000000000001e-07
1494170666130,2.255,0.0
1494170666140,2.255,1.4480000000000002e-06
1494170666150,2.255,0.0
1494170666160,2.255,1.0859999999999999e-06
1494170666170,2.255,1.0859999999999999e-06
1494170666180,2.255,1.0859999999999999e-06
1494170666190,2.255,1.0859999999999999e-06
1494170666200,2.255,7.240000000000001e-07
1494170666210,2.255,1.81e-06
1494170666220,2.255,2.1719999999999997e-06
1494170666230,2.255,3.258e-06
1494170666240,2.255,2.1719999999999997e-06
1494170666250,2.255,2.1719999999999997e-06
1494170666260,2.255,1.81e-06
1494170666270,2.255,2.1719999999999997e-06
1494170666280,2.255,1.4480000000000002e-06
1494170666290,2.255,7.240000000000001e-07
1494170666300,2.255,1.0859999999999999e-06
1494170666310,2.255,7.240000000000001e-07
1494170666320,2.255,1.0859999999999999e-06
1494170666330,2.255,3.6200000000000004e-07
1494170666340,2.255,1.0859999999999999e-06
1494170666350,2.255,3.6200000000000004e-07
1494170666360,2.255,1.4480000000000002e-06
1494170666370,2.255,3.6200000000000004e-07
1494170666380,2.255,1.0859999999999999e-06
1494170666390,2.255,0.0
1494170666400,2.255,2.1719999999999997e-06
1494170666410,2.255,1.0859999999999999e-06
1494170666420,2.255,3.6200000000000004e-07
1494170666430,2.255,7.240000000000001e-07
1494170666440,2.255,1.81e-06
1494170666450,2.255,2.5340000000000002e-06
1494170666460,2.255,1.4480000000000002e-06
1494170666470,2.255,2.1719999999999997e-06
1494170666480,2.255,2.5340000000000002e-06
1494170666490,2.255,1.4480000000000002e-06
1494170666500,2.255,1.0859999999999999e-06
1494170666510,2.255,1.4480000000000002e-06
1494170666520,2.255,2.1719999999999997e-06
1494170666530,2.255,0.0
1494170666540,2.255,7.240000000000001e-07
1494170666550,2.255,3.6200000000000004e-07
1494170666560,2.255,1.0859999999999999e-06
1494170666570,2.255,7.240000000000001e-07
1494170666580,2.255,7.240000000000001e-07
1494170666590,2.255,0.0
1494170666600,2.255,1.0859999999999999e-06
1494170666610,2.255,3.6200000000000004e-07
1494170666620,2.255,1.4480000000000002e-06
1494170666630,2.255,3.6200000000000004e-07
1494170666640,2.255,1.4480000000000002e-06
1494170666650,2.255,1.0859999999999999e-06
1494170666660,2.255,1.4480000000000002e-06
1494170666670,2.255,1.4480000000000002e-06
1494170666680,2.255,1.0859999999999999e-06
1494170666690,2.255,1.81e-06
1494170666700,2.255,2.1719999999999997e-06
1494170666710,2.255,1.0859999999999999e-06
1494170666720,2.255,1.81e-06
1494170666730,2.255,7.240000000000001e-07
1494170666740,2.255,1.0859999999999999e-06
1494170666750,2.255,7.240000000000001e-07
1494170666760,2.255,1.4480000000000002e-06
1494170666770,2.255,3.6200000000000004e-07
1494170666780,2.255,3.6200000000000004e-07
1494170666790,2.255,3.6200000000000004e-07
1494170666800,2.255,7.240000000000001e-07
1494170666810,2.255,0.0
1494170666820,2.255,1.4480000000000002e-06
1494170666830,2.255,0.0
1494170666840,2.255,7.240000000000001e-07
1494170666850,2.255,3.6200000000000004e-07
1494170666860,2.255,1.0859999999999999e-06
