Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1494682390150,0.725,4.343999999999999e-06
1494682390160,0.725,3.982e-06
1494682390170,0.725,5.0680000000000004e-06
1494682390180,0.725,7.24e-06
1494682390190,0.725,6.877999999999999e-06
1494682390200,0.725,5.0680000000000004e-06
1494682390210,0.725,5.0680000000000004e-06
1494682390220,0.725,5.0680000000000004e-06
1494682390230,0.725,5.43e-06
1494682390240,0.725,5.792000000000001e-06
1494682390250,0.725,5.43e-06
1494682390260,0.725,5.792000000000001e-06
1494682390270,0.725,5.792000000000001e-06
1494682390280,0.725,4.343999999999999e-06
1494682390290,0.725,4.706e-06
1494682390300,0.725,5.0680000000000004e-06
1494682390310,0.725,4.343999999999999e-06
1494682390320,0.725,5.43e-06
1494682390330,0.725,5.792000000000001e-06
1494682390340,0.725,6.516e-06
1494682390350,0.725,7.964e-06
1494682390360,0.725,6.516e-06
1494682390370,0.725,6.516e-06
1494682390380,0.725,6.154e-06
1494682390390,0.725,5.0680000000000004e-06
1494682390400,0.725,5.0680000000000004e-06
1494682390410,0.725,4.706e-06
1494682390420,0.725,5.0680000000000004e-06
1494682390430,0.725,4.706e-06
1494682390440,0.725,5.43e-06
1494682390450,0.725,6.154e-06
1494682390460,0.725,5.792000000000001e-06
1494682390470,0.725,6.516e-06
1494682390480,0.725,5.0680000000000004e-06
1494682390490,0.725,5.43e-06
1494682390500,0.725,4.706e-06
1494682390510,0.725,5.0680000000000004e-06
1494682390520,0.725,6.516e-06
1494682390530,0.725,5.43e-06
1494682390540,0.725,6.154e-06
1494682390550,0.725,4.343999999999999e-06
1494682390560,0.725,4.706e-06
1494682390570,0.725,6.154e-06
1494682390580,0.725,4.343999999999999e-06
1494682390590,0.725,5.43e-06
1494682390600,0.725,5.43e-06
1494682390610,0.725,6.516e-06
1494682390620,0.725,5.43e-06
1494682390630,0.725,5.792000000000001e-06
1494682390640,0.725,5.43e-06
1494682390650,0.725,5.792000000000001e-06
1494682390660,0.725,5.0680000000000004e-06
1494682390670,0.725,4.706e-06
1494682390680,0.725,4.343999999999999e-06
1494682390690,0.725,4.706e-06
1494682390700,0.725,4.343999999999999e-06
1494682390710,0.725,4.706e-06
1494682390720,0.725,3.62e-06
1494682390730,0.725,5.43e-06
1494682390740,0.725,4.706e-06
1494682390750,0.725,5.43e-06
1494682390760,0.725,4.706e-06
1494682390770,0.725,4.343999999999999e-06
1494682390780,0.725,5.792000000000001e-06
1494682390790,0.725,6.516e-06
1494682390800,0.725,9.412e-06
1494682390810,0.725,7.964e-06
1494682390820,0.725,6.516e-06
1494682390830,0.725,4.343999999999999e-06
1494682390840,0.725,4.706e-06
1494682390850,0.725,5.792000000000001e-06
1494682390860,0.725,3.982e-06
1494682390870,0.725,5.0680000000000004e-06
1494682390880,0.725,3.982e-06
1494682390890,0.725,5.0680000000000004e-06
1494682390900,0.725,3.982e-06
1494682390910,0.725,5.43e-06
1494682390920,0.725,4.706e-06
1494682390930,0.725,6.154e-06
1494682390940,0.725,5.43e-06
1494682390950,0.725,7.24e-06
1494682390960,0.725,5.43e-06
1494682390970,0.725,5.43e-06
1494682390980,0.725,4.706e-06
1494682390990,0.725,5.43e-06
1494682391000,0.725,3.982e-06
1494682391010,0.725,5.0680000000000004e-06
1494682391020,0.725,5.0680000000000004e-06
1494682391030,0.725,5.0680000000000004e-06
1494682391040,0.725,4.706e-06
1494682391050,0.725,5.0680000000000004e-06
1494682391060,0.725,4.706e-06
1494682391070,0.725,6.516e-06
1494682391080,0.725,5.43e-06
1494682391090,0.725,5.0680000000000004e-06
1494682391100,0.725,3.982e-06
1494682391110,0.725,5.43e-06
1494682391120,0.725,3.982e-06
1494682391130,0.725,4.706e-06
1494682391140,0.725,5.0680000000000004e-06
1494682391150,0.725,6.516e-06
1494682391160,0.725,3.62e-06
1494682391170,0.725,5.43e-06
1494682391180,0.725,5.0680000000000004e-06
1494682391190,0.725,5.792000000000001e-06
1494682391200,0.725,3.982e-06
1494682391210,0.725,5.0680000000000004e-06
1494682391220,0.725,4.343999999999999e-06
1494682391230,0.725,5.792000000000001e-06
1494682391240,0.725,3.258e-06
1494682391250,0.725,4.706e-06
1494682391260,0.725,3.982e-06
1494682391270,0.725,5.0680000000000004e-06
1494682391280,0.725,4.343999999999999e-06
1494682391290,0.725,4.706e-06
1494682391300,0.725,3.62e-06
1494682391310,0.725,4.706e-06
1494682391320,0.725,3.258e-06
1494682391330,0.725,3.982e-06
1494682391340,0.725,3.982e-06
1494682391350,0.725,4.343999999999999e-06
1494682391360,0.725,3.258e-06
1494682391370,0.725,4.343999999999999e-06
1494682391380,0.725,4.706e-06
1494682391390,0.725,5.43e-06
1494682391400,0.725,4.706e-06
1494682391410,0.725,5.43e-06
1494682391420,0.725,4.343999999999999e-06
1494682391430,0.725,6.154e-06
1494682391440,0.725,5.0680000000000004e-06
1494682391450,0.725,5.792000000000001e-06
1494682391460,0.725,4.343999999999999e-06
1494682391470,0.725,6.154e-06
1494682391480,0.725,3.62e-06
1494682391490,0.725,5.0680000000000004e-06
1494682391500,0.725,3.62e-06
1494682391510,0.725,6.154e-06
1494682391520,0.725,2.8960000000000003e-06
1494682391530,0.725,5.0680000000000004e-06
1494682391540,0.725,3.258e-06
1494682391550,0.725,5.43e-06
1494682391560,0.725,3.982e-06
1494682391570,0.725,6.516e-06
1494682391580,0.725,2.8960000000000003e-06
1494682391590,0.725,5.43e-06
1494682391600,0.725,4.343999999999999e-06
1494682391610,0.725,6.154e-06
1494682391620,0.725,3.982e-06
1494682391630,0.725,6.516e-06
1494682391640,0.725,3.982e-06
