Timestamp,position,BLMTI.06R7.B1E10_TCSG.6R7.B1
1494676927910,1.345,2.1719999999999997e-06
1494676927920,1.345,2.1719999999999997e-06
1494676927930,1.345,2.1719999999999997e-06
1494676927940,1.345,2.8960000000000003e-06
1494676927950,1.345,1.81e-06
1494676927960,1.345,2.1719999999999997e-06
1494676927970,1.345,2.1719999999999997e-06
1494676927980,1.345,2.1719999999999997e-06
1494676927990,1.345,3.258e-06
1494676928000,1.345,3.258e-06
1494676928010,1.345,1.81e-06
1494676928020,1.345,2.5340000000000002e-06
1494676928030,1.345,2.1719999999999997e-06
1494676928040,1.345,2.1719999999999997e-06
1494676928050,1.345,2.8960000000000003e-06
1494676928060,1.345,3.258e-06
1494676928070,1.345,3.62e-06
1494676928080,1.345,2.5340000000000002e-06
1494676928090,1.345,1.81e-06
1494676928100,1.345,2.1719999999999997e-06
1494676928110,1.345,1.4480000000000002e-06
1494676928120,1.345,2.5340000000000002e-06
1494676928130,1.345,3.62e-06
1494676928140,1.345,5.0680000000000004e-06
1494676928150,1.345,5.792000000000001e-06
1494676928160,1.345,5.0680000000000004e-06
1494676928170,1.345,2.1719999999999997e-06
1494676928180,1.345,2.8960000000000003e-06
1494676928190,1.345,2.5340000000000002e-06
1494676928200,1.345,2.5340000000000002e-06
1494676928210,1.345,1.81e-06
1494676928220,1.345,2.8960000000000003e-06
1494676928230,1.345,2.5340000000000002e-06
1494676928240,1.345,2.8960000000000003e-06
1494676928250,1.345,3.258e-06
1494676928260,1.345,2.8960000000000003e-06
1494676928270,1.345,2.5340000000000002e-06
1494676928280,1.345,1.0859999999999999e-06
1494676928290,1.345,2.1719999999999997e-06
1494676928300,1.345,2.5340000000000002e-06
1494676928310,1.345,3.982e-06
1494676928320,1.345,3.62e-06
1494676928330,1.345,3.982e-06
1494676928340,1.345,2.8960000000000003e-06
1494676928350,1.345,2.5340000000000002e-06
1494676928360,1.345,1.81e-06
1494676928370,1.345,3.62e-06
1494676928380,1.345,2.1719999999999997e-06
1494676928390,1.345,2.5340000000000002e-06
1494676928400,1.345,2.1719999999999997e-06
1494676928410,1.345,2.1719999999999997e-06
1494676928420,1.345,2.8960000000000003e-06
1494676928430,1.345,2.8960000000000003e-06
1494676928440,1.345,3.62e-06
1494676928450,1.345,3.258e-06
1494676928460,1.345,3.258e-06
1494676928470,1.345,1.81e-06
1494676928480,1.345,2.8960000000000003e-06
1494676928490,1.345,3.258e-06
1494676928500,1.345,3.62e-06
1494676928510,1.345,2.8960000000000003e-06
1494676928520,1.345,1.4480000000000002e-06
1494676928530,1.345,2.5340000000000002e-06
1494676928540,1.345,2.5340000000000002e-06
1494676928550,1.345,1.81e-06
1494676928560,1.345,2.1719999999999997e-06
1494676928570,1.345,3.258e-06
1494676928580,1.345,4.343999999999999e-06
1494676928590,1.345,2.1719999999999997e-06
1494676928600,1.345,2.5340000000000002e-06
1494676928610,1.345,2.1719999999999997e-06
1494676928620,1.345,2.1719999999999997e-06
1494676928630,1.345,2.8960000000000003e-06
1494676928640,1.345,2.5340000000000002e-06
1494676928650,1.345,1.81e-06
1494676928660,1.345,1.4480000000000002e-06
1494676928670,1.345,1.81e-06
1494676928680,1.345,2.5340000000000002e-06
1494676928690,1.345,2.1719999999999997e-06
1494676928700,1.345,2.1719999999999997e-06
1494676928710,1.345,2.1719999999999997e-06
1494676928720,1.345,1.4480000000000002e-06
1494676928730,1.345,2.5340000000000002e-06
1494676928740,1.345,3.258e-06
1494676928750,1.345,3.258e-06
1494676928760,1.345,3.982e-06
1494676928770,1.345,3.258e-06
1494676928780,1.345,2.8960000000000003e-06
1494676928790,1.345,2.5340000000000002e-06
1494676928800,1.345,2.5340000000000002e-06
1494676928810,1.345,2.8960000000000003e-06
1494676928820,1.345,1.81e-06
1494676928830,1.345,1.4480000000000002e-06
1494676928840,1.345,2.5340000000000002e-06
1494676928850,1.345,2.1719999999999997e-06
1494676928860,1.345,2.1719999999999997e-06
1494676928870,1.345,3.258e-06
1494676928880,1.345,3.982e-06
1494676928890,1.345,2.5340000000000002e-06
1494676928900,1.345,2.5340000000000002e-06
1494676928910,1.345,3.258e-06
1494676928920,1.345,2.5340000000000002e-06
1494676928930,1.345,2.1719999999999997e-06
1494676928940,1.345,2.1719999999999997e-06
1494676928950,1.345,3.258e-06
1494676928960,1.345,2.5340000000000002e-06
1494676928970,1.345,2.5340000000000002e-06
1494676928980,1.345,2.8960000000000003e-06
1494676928990,1.345,2.5340000000000002e-06
1494676929000,1.345,2.1719999999999997e-06
1494676929010,1.345,2.1719999999999997e-06
1494676929020,1.345,2.1719999999999997e-06
1494676929030,1.345,2.1719999999999997e-06
1494676929040,1.345,3.258e-06
1494676929050,1.345,1.81e-06
1494676929060,1.345,3.258e-06
1494676929070,1.345,2.8960000000000003e-06
1494676929080,1.345,2.8960000000000003e-06
1494676929090,1.345,2.1719999999999997e-06
1494676929100,1.345,2.5340000000000002e-06
1494676929110,1.345,1.81e-06
1494676929120,1.345,1.81e-06
1494676929130,1.345,1.4480000000000002e-06
1494676929140,1.345,2.1719999999999997e-06
1494676929150,1.345,1.81e-06
1494676929160,1.345,0.0
1494676929170,1.345,7.240000000000001e-07
1494676929180,1.345,2.5340000000000002e-06
1494676929190,1.345,1.4480000000000002e-06
1494676929200,1.345,1.81e-06
1494676929210,1.345,2.5340000000000002e-06
1494676929220,1.345,1.81e-06
1494676929230,1.345,2.8960000000000003e-06
1494676929240,1.345,2.8960000000000003e-06
1494676929250,1.345,3.258e-06
1494676929260,1.345,2.1719999999999997e-06
1494676929270,1.345,2.5340000000000002e-06
1494676929280,1.345,2.1719999999999997e-06
1494676929290,1.345,3.258e-06
1494676929300,1.345,2.1719999999999997e-06
1494676929310,1.345,2.8960000000000003e-06
1494676929320,1.345,1.81e-06
1494676929330,1.345,3.62e-06
1494676929340,1.345,2.1719999999999997e-06
1494676929350,1.345,2.8960000000000003e-06
1494676929360,1.345,2.1719999999999997e-06
1494676929370,1.345,2.5340000000000002e-06
1494676929380,1.345,2.1719999999999997e-06
1494676929390,1.345,2.1719999999999997e-06
1494676929400,1.345,2.1719999999999997e-06
