,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,1,2.1303699999999997,16.177498959426522,2.534,2.281448657120287,0.03640894512472223,0.36666432206997973,1,TCSP,PROTON,FT
1,0,8.274548223350253,16.909910187113443,8.687999999999999,6.416655493185588,0.14977267089467364,0.49266163866523804,1,TCP,PROTON,FT
2,1,238.00757900000002,17.110255656186247,246.88400000000001,160.63316713762418,0.030503003691370413,4.266560999939623,1,TCSP,PROTON,FT
3,1,3.9101429999999984,16.099769234696545,4.3439999999999985,3.9571275481749733,0.16834768269213699,0.3864037723856235,1,TCSP,PROTON,FT
4,1,3.936749999999998,16.13863409706153,4.3439999999999985,3.9571275481749733,0.16834768269213699,0.3864037723856235,1,TCSP,PROTON,FT
5,1,24.19608,14.74497683443773,25.701999999999998,26.336798388882055,0.1476211084208313,2.3956809401249375,1,TCSP,PROTON,FT
6,1,35.969225,14.66786595652502,37.286,33.25995068089093,0.16681240274121062,1.287691011721954,1,TCP,PROTON,FT
7,0,238.00757900000002,16.352390840068967,246.88400000000001,160.63316713762418,0.030503003691370413,4.266560999939623,1,TCSP,PROTON,FT
8,1,26.400330909090908,19.03740328102753,27.15,23.544464989073077,0.06896079801029997,0.9387639493022791,1,TCP,PROTON,FT
9,1,24.801826666666667,14.45538645471064,26.064,19.562703795082992,0.08220190480079093,1.9941351269328924,1,TCSP,PROTON,FT
10,0,3.57294,17.01048957856096,3.982,2.2268042694936097,0.04828289807514589,0.5777331625689363,1,TCP,PROTON,FT
11,0,4.32047,17.41280714435102,4.706,2.0216294034535705,0.03508215577943926,0.44101969633926075,1,TCP,PROTON,FT
12,0,234.14811600000002,16.17749895942652,246.88400000000001,160.63316713762418,0.030503003691370413,4.266560999939623,1,TCSP,PROTON,FT
13,1,10.31338,14.78358888506801,12.308,10.669986272883538,0.11165765267067763,1.097139826586153,1,TCSP,PROTON,FT
14,1,21.912584000000003,12.27068601864694,22.806,19.427136271961764,0.07668571973868171,1.1624994773838464,1,TCP,PROTON,FT
15,0,191.320258,16.546715151893913,196.204,152.51703950560858,0.009236103899239661,-2.3293107250077183,1,TCSP,PROTON,FT
16,1,16.261039999999998,17.949551664968816,16.651999999999997,11.306239999557429,0.09609473794766842,0.6030847902625849,1,TCP,PROTON,FT
17,1,8.458733333333333,14.899425036958846,9.774,8.590377982374987,0.178565054043451,1.055360824681535,1,TCSP,PROTON,FT
18,1,15.375949999999998,14.82220093569829,17.375999999999998,12.206826556270597,0.1860267959780713,4.2246783682312214,1,TCSP,PROTON,FT
19,1,191.320258,17.304579968011193,196.204,152.51703950560858,0.009236103899239661,-2.3293107250077183,1,TCSP,PROTON,FT
20,0,3.6381,17.111068970008475,3.982,1.924625334045657,0.15928175219282198,0.6038165809950287,1,TCP,PROTON,FT
21,1,12.351440000000002,14.706364783807453,15.928,11.020287026429495,0.001315510637596385,-4.459732664787187,1,TCSP,PROTON,FT
22,1,234.14811600000002,16.9353637755438,246.88400000000001,160.63316713762418,0.030503003691370413,4.266560999939623,1,TCSP,PROTON,FT
23,1,15.160159169550171,14.42057024878745,15.565999999999999,10.238868760281965,0.029382399667581497,0.7566800839861183,1,TCP,PROTON,FT
