,name,diff_height,diff_decay_a,diff_decay_c,diff_position
0,1522717452TCLA.A5R3.B1,-14.834458333333334,0.6312339902210217,-0.07897868056551527,0.0525358437775445
1,1522717452TCLA.A5R3.B1,-14.834458333333334,0.6312339902210217,-0.07897868056551527,-0.3592744794522762
2,1522717452TCLA.A5R3.B1,-14.834458333333334,0.6312339902210217,-0.07897868056551527,-0.31804626049873574
3,1522717452TCLA.A5R3.B1,-14.834458333333334,0.6312339902210217,-0.07897868056551527,-0.7298565837285564
4,1522856681TCP.C6R7.B2,5.734029818435754,-25.535011661053304,-0.08522079510695513,0.0013966787193604446
5,1522831642TCP.D6L7.B1,0.4345128205128206,1.3403535455209448,0.0012266220012235873,1.2219084062655128
6,1522716070TCTPH.4L2.B1,5.024318736141906,-207.87589097031662,-1.7838646438532297,3.0047162817344075
7,1522716070TCTPH.4L2.B1,5.024318736141906,-207.87589097031662,-1.7838646438532297,0.1389742119623545
8,1522716070TCTPH.4L2.B1,5.024318736141906,-207.87589097031662,-1.7838646438532297,0.0437289546260855
9,1522716070TCTPH.4L2.B1,5.024318736141906,-207.87589097031662,-1.7838646438532297,-2.8220131151459675
10,1522890160TCLA.A6R7.B1,58.79914285714286,-0.6541783921613831,-1.1054740601455721,2.8905817209546103
11,1522851385TCP.C6L7.B1,28.837163382594415,-131.87222724578186,0.01796438087436103,1.1188639012746204
12,1522851385TCP.C6L7.B1,28.837163382594415,-131.87222724578186,0.01796438087436103,0.0121031159009517
13,1522851385TCP.C6L7.B1,28.837163382594415,-131.87222724578186,0.01796438087436103,0.009663565172001398
14,1522851385TCP.C6L7.B1,28.837163382594415,-131.87222724578186,0.01796438087436103,-1.0970972202016673
15,1522715756TCSG.B5R3.B1,12.171063152533742,-116.48410361841452,-0.779923751828393,-1.1409239469563826
16,1522715756TCSG.B5R3.B1,12.171063152533742,-116.48410361841452,-0.779923751828393,-0.4990995957773787
17,1522715756TCSG.B5R3.B1,12.171063152533742,-116.48410361841452,-0.779923751828393,-0.562018454529551
18,1522715756TCSG.B5R3.B1,12.171063152533742,-116.48410361841452,-0.779923751828393,0.07980589664945281
19,1522715927TCSG.4R3.B1,-32.63507698400127,-0.09289542476159457,-0.49586406898917224,-1.3490524536579622
20,1522715927TCSG.4R3.B1,-32.63507698400127,-0.09289542476159457,-0.49586406898917224,5.705368213426709e-07
21,1522715927TCSG.4R3.B1,-32.63507698400127,-0.09289542476159457,-0.49586406898917224,9.122796891247731e-07
22,1522715927TCSG.4R3.B1,-32.63507698400127,-0.09289542476159457,-0.49586406898917224,1.3490539364744727
23,1522708933TCP.D6L7.B1,-2.968803819444444,-0.011735211821578946,-0.12342551794342871,0.9932932850576321
24,1522710848TCP.B6R7.B2,-6.035173644338116,0.4676762380288642,0.049317318342090743,2.6340935526898477
25,1522717700TCP.D6L7.B1,17.87230761099366,-79.02189910111555,-9.09484237884696,0.705553562101275
26,1522820771TCP.C6L7.B1,-1.608275846702317,-1.1597584245131385,-0.20440921391447553,0.00887491723907008
27,1522820771TCP.C6L7.B1,-1.608275846702317,-1.1597584245131385,-0.20440921391447553,0.00887491723907008
28,1522820771TCP.C6L7.B1,-1.608275846702317,-1.1597584245131385,-0.20440921391447553,0.00887491723907008
29,1522820771TCP.C6L7.B1,-1.608275846702317,-1.1597584245131385,-0.20440921391447553,0.00887491723907008
