Timestamp,position,BLMTI.05L3.B2E10_TCLA.A5L3.B2
1469992184800,-0.635,0.00015167799999999998
1469992184810,-0.635,4.706e-05
1469992184820,-0.635,3.9458e-05
1469992184830,-0.635,9.918799999999999e-05
1469992184840,-0.635,5.6472e-05
1469992184850,-0.635,3.1132e-05
1469992184860,-0.635,2.8236e-05
1469992184870,-0.635,3.8734e-05
1469992184880,-0.635,6.154e-05
1469992184890,-0.635,5.973e-05
1469992184900,-0.635,3.2218e-05
1469992184910,-0.635,6.878e-05
1469992184920,-0.635,0.000136474
1469992184930,-0.635,0.000123442
1469992184940,-0.635,8.507e-05
1469992184950,-0.635,0.000142266
1469992184960,-0.635,0.000164348
1469992184970,-0.635,0.000138284
1469992184980,-0.635,7.602e-05
1469992184990,-0.635,5.973e-05
1469992185000,-0.635,8.8328e-05
1469992185010,-0.635,5.068e-05
1469992185020,-0.635,3.1856e-05
1469992185030,-0.635,3.3666e-05
1469992185040,-0.635,2.3891999999999998e-05
1469992185050,-0.635,2.8598000000000003e-05
1469992185060,-0.635,2.534e-05
1469992185070,-0.635,2.6426e-05
1469992185080,-0.635,2.353e-05
1469992185090,-0.635,4.3802e-05
1469992185100,-0.635,2.3168000000000002e-05
1469992185110,-0.635,4.6698e-05
1469992185120,-0.635,7.7468e-05
1469992185130,-0.635,0.000105704
1469992185140,-0.635,4.2716e-05
1469992185150,-0.635,0.000219372
1469992185160,-0.635,0.000386978
1469992185170,-0.635,0.000259192
1469992185180,-0.635,0.00015204
1469992185190,-0.635,0.00013683600000000002
1469992185200,-0.635,0.00028344599999999997
1469992185210,-0.635,0.000268966
1469992185220,-0.635,0.000147696
1469992185230,-0.635,6.9142e-05
1469992185240,-0.635,0.000197652
1469992185250,-0.635,0.000137922
1469992185260,-0.635,5.8643999999999996e-05
1469992185270,-0.635,5.3938000000000004e-05
1469992185280,-0.635,3.6562e-05
1469992185290,-0.635,3.5476e-05
1469992185300,-0.635,2.896e-05
1469992185310,-0.635,4.7783999999999995e-05
1469992185320,-0.635,3.0046e-05
1469992185330,-0.635,5.068e-05
1469992185340,-0.635,3.6200000000000006e-05
1469992185350,-0.635,0.000111858
1469992185360,-0.635,0.000123804
1469992185370,-0.635,0.00018136200000000002
1469992185380,-0.635,0.000140094
1469992185390,-0.635,0.000213218
1469992185400,-0.635,0.00027367200000000003
1469992185410,-0.635,0.00013900799999999998
1469992185420,-0.635,0.000184982
1469992185430,-0.635,0.000135026
