Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1469986805030,1.14,0.000210322
1469986805040,1.14,0.00020308200000000002
1469986805050,1.14,0.000211046
1469986805060,1.14,0.000199462
1469986805070,1.14,0.00020996
1469986805080,1.14,0.000213218
1469986805090,1.14,0.00021575200000000002
1469986805100,1.14,0.000204892
1469986805110,1.14,0.00021611400000000003
1469986805120,1.14,0.00020634
1469986805130,1.14,0.000214666
1469986805140,1.14,0.00020344400000000003
1469986805150,1.14,0.000205616
1469986805160,1.14,0.000193308
1469986805170,1.14,0.00020018599999999998
1469986805180,1.14,0.000192222
1469986805190,1.14,0.00019837599999999997
1469986805200,1.14,0.000193308
1469986805210,1.14,0.000193308
1469986805220,1.14,0.00018896400000000002
1469986805230,1.14,0.00019475599999999998
1469986805240,1.14,0.000187154
1469986805250,1.14,0.00019801400000000002
1469986805260,1.14,0.00018136200000000002
1469986805270,1.14,0.00019475599999999998
1469986805280,1.14,0.00019439400000000002
1469986805290,1.14,0.000202358
1469986805300,1.14,0.000196566
1469986805310,1.14,0.00019837599999999997
1469986805320,1.14,0.00019475599999999998
1469986805330,1.14,0.000199824
1469986805340,1.14,0.000196928
1469986805350,1.14,0.00019475599999999998
1469986805360,1.14,0.00019005
1469986805370,1.14,0.00018643
1469986805380,1.14,0.00018896400000000002
1469986805390,1.14,0.00019367
1469986805400,1.14,0.00018462
1469986805410,1.14,0.00018643
1469986805420,1.14,0.00018570599999999997
1469986805430,1.14,0.00018824
1469986805440,1.14,0.000178104
1469986805450,1.14,0.000183534
1469986805460,1.14,0.00016977799999999999
1469986805470,1.14,0.00017846599999999998
1469986805480,1.14,0.00016217600000000001
1469986805490,1.14,0.000166158
1469986805500,1.14,0.00016109
1469986805510,1.14,0.00016109
1469986805520,1.14,0.000156384
1469986805530,1.14,0.000157832
1469986805540,1.14,0.00015204
1469986805550,1.14,0.00016217600000000001
1469986805560,1.14,0.000156384
1469986805570,1.14,0.000162538
1469986805580,1.14,0.000156746
1469986805590,1.14,0.00016833
1469986805600,1.14,0.000156746
1469986805610,1.14,0.000163986
1469986805620,1.14,0.000153488
1469986805630,1.14,0.000160004
1469986805640,1.14,0.00015204
1469986805650,1.14,0.000158556
1469986805660,1.14,0.000158918
1469986805670,1.14,0.00016072799999999998
1469986805680,1.14,0.000154212
1469986805690,1.14,0.000165434
1469986805700,1.14,0.000156384
1469986805710,1.14,0.00016072799999999998
1469986805720,1.14,0.000150954
1469986805730,1.14,0.000165072
1469986805740,1.14,0.00015167799999999998
1469986805750,1.14,0.00015566
1469986805760,1.14,0.000152764
1469986805770,1.14,0.000155298
1469986805780,1.14,0.000145886
1469986805790,1.14,0.00015747
1469986805800,1.14,0.00014661
1469986805810,1.14,0.000153126
1469986805820,1.14,0.00014335200000000002
1469986805830,1.14,0.000161814
1469986805840,1.14,0.000153488
1469986805850,1.14,0.000154212
1469986805860,1.14,0.00014299
1469986805870,1.14,0.00014805799999999998
1469986805880,1.14,0.00014118
1469986805890,1.14,0.000147334
1469986805900,1.14,0.000134664
1469986805910,1.14,0.000150954
1469986805920,1.14,0.000136112
1469986805930,1.14,0.000140818
1469986805940,1.14,0.00013538799999999999
1469986805950,1.14,0.000144438
1469986805960,1.14,0.000129596
1469986805970,1.14,0.000138284
1469986805980,1.14,0.00013285399999999999
1469986805990,1.14,0.000140456
1469986806000,1.14,0.000133216
1469986806010,1.14,0.000139732
1469986806020,1.14,0.00013430200000000002
1469986806030,1.14,0.000140456
1469986806040,1.14,0.000128148
1469986806050,1.14,0.000137922
1469986806060,1.14,0.000131044
1469986806070,1.14,0.00013285399999999999
1469986806080,1.14,0.00012633799999999998
1469986806090,1.14,0.000125976
1469986806100,1.14,0.000116926
1469986806110,1.14,0.000128872
1469986806120,1.14,0.00012416600000000002
1469986806130,1.14,0.000127424
1469986806140,1.14,0.00011801200000000001
1469986806150,1.14,0.00012851
1469986806160,1.14,0.00012489
1469986806170,1.14,0.000128872
1469986806180,1.14,0.00012308
1469986806190,1.14,0.000134664
1469986806200,1.14,0.000121994
1469986806210,1.14,0.000133578
1469986806220,1.14,0.00012271799999999999
1469986806230,1.14,0.00012127
1469986806240,1.14,0.000119822
1469986806250,1.14,0.00013032
1469986806260,1.14,0.000123804
1469986806270,1.14,0.000127786
1469986806280,1.14,0.000115116
1469986806290,1.14,0.000122356
1469986806300,1.14,0.00012271799999999999
1469986806310,1.14,0.00012308
1469986806320,1.14,0.000109686
1469986806330,1.14,0.00011620200000000001
1469986806340,1.14,0.000112582
1469986806350,1.14,0.00012090799999999999
1469986806360,1.14,0.000111496
1469986806370,1.14,0.00011946
1469986806380,1.14,0.00011475399999999999
1469986806390,1.14,0.000127062
1469986806400,1.14,0.00011584
1469986806410,1.14,0.00012271799999999999
1469986806420,1.14,0.00011004799999999999
1469986806430,1.14,0.000125252
1469986806440,1.14,0.000112944
1469986806450,1.14,0.00012271799999999999
1469986806460,1.14,0.000106066
1469986806470,1.14,0.000116926
1469986806480,1.14,0.00010859999999999998
1469986806490,1.14,0.00011584
1469986806500,1.14,0.000109324
1469986806510,1.14,0.00011620200000000001
1469986806520,1.14,0.000102446
1469986806530,1.14,0.00011004799999999999
1469986806540,1.14,0.000111496
1469986806550,1.14,0.000109686
1469986806560,1.14,9.955e-05
1469986806570,1.14,0.000107514
1469986806580,1.14,0.00010317
1469986806590,1.14,0.000109324
1469986806600,1.14,9.918799999999999e-05
1469986806610,1.14,0.00010642799999999999
1469986806620,1.14,0.00010353200000000001
1469986806630,1.14,0.00011041
1469986806640,1.14,9.955e-05
1469986806650,1.14,0.00010679
1469986806660,1.14,0.00010317
1469986806670,1.14,0.000108962
1469986806680,1.14,9.701600000000001e-05
1469986806690,1.14,0.00010787600000000001
1469986806700,1.14,9.556799999999999e-05
1469986806710,1.14,0.000100636
1469986806720,1.14,9.4844e-05
1469986806730,1.14,0.000104256
1469986806740,1.14,9.556799999999999e-05
1469986806750,1.14,0.000102446
1469986806760,1.14,9.520600000000001e-05
1469986806770,1.14,0.00010534200000000001
1469986806780,1.14,9.955e-05
1469986806790,1.14,9.737799999999999e-05
1469986806800,1.14,8.7966e-05
1469986806810,1.14,0.000100636
1469986806820,1.14,9.0138e-05
1469986806830,1.14,0.000102084
1469986806840,1.14,8.9414e-05
1469986806850,1.14,0.00010353200000000001
1469986806860,1.14,9.701600000000001e-05
