Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1469983459910,1.5,5.792000000000001e-06
1469983459920,1.5,6.516e-06
1469983459930,1.5,5.0680000000000004e-06
1469983459940,1.5,5.792000000000001e-06
1469983459950,1.5,5.43e-06
1469983459960,1.5,6.154e-06
1469983459970,1.5,5.792000000000001e-06
1469983459980,1.5,7.602e-06
1469983459990,1.5,5.43e-06
1469983460000,1.5,7.602e-06
1469983460010,1.5,5.792000000000001e-06
1469983460020,1.5,7.964e-06
1469983460030,1.5,6.877999999999999e-06
1469983460040,1.5,7.602e-06
1469983460050,1.5,6.877999999999999e-06
1469983460060,1.5,6.154e-06
1469983460070,1.5,5.43e-06
1469983460080,1.5,7.24e-06
1469983460090,1.5,6.154e-06
1469983460100,1.5,7.24e-06
1469983460110,1.5,4.343999999999999e-06
1469983460120,1.5,6.877999999999999e-06
1469983460130,1.5,5.0680000000000004e-06
1469983460140,1.5,6.516e-06
1469983460150,1.5,3.982e-06
1469983460160,1.5,6.516e-06
1469983460170,1.5,4.343999999999999e-06
1469983460180,1.5,6.154e-06
1469983460190,1.5,3.982e-06
1469983460200,1.5,6.154e-06
1469983460210,1.5,3.982e-06
1469983460220,1.5,5.792000000000001e-06
1469983460230,1.5,3.982e-06
1469983460240,1.5,6.877999999999999e-06
1469983460250,1.5,4.706e-06
1469983460260,1.5,6.877999999999999e-06
1469983460270,1.5,4.706e-06
1469983460280,1.5,6.516e-06
1469983460290,1.5,4.343999999999999e-06
1469983460300,1.5,7.602e-06
1469983460310,1.5,3.982e-06
1469983460320,1.5,6.154e-06
1469983460330,1.5,3.982e-06
1469983460340,1.5,6.154e-06
1469983460350,1.5,3.62e-06
1469983460360,1.5,5.0680000000000004e-06
1469983460370,1.5,3.258e-06
1469983460380,1.5,5.0680000000000004e-06
1469983460390,1.5,3.982e-06
1469983460400,1.5,5.43e-06
1469983460410,1.5,2.5340000000000002e-06
1469983460420,1.5,5.43e-06
1469983460430,1.5,4.343999999999999e-06
1469983460440,1.5,6.154e-06
1469983460450,1.5,2.5340000000000002e-06
1469983460460,1.5,5.43e-06
1469983460470,1.5,3.982e-06
1469983460480,1.5,6.516e-06
1469983460490,1.5,3.982e-06
1469983460500,1.5,5.792000000000001e-06
1469983460510,1.5,3.258e-06
1469983460520,1.5,6.154e-06
1469983460530,1.5,3.62e-06
1469983460540,1.5,6.154e-06
1469983460550,1.5,3.62e-06
1469983460560,1.5,5.43e-06
1469983460570,1.5,2.8960000000000003e-06
1469983460580,1.5,5.43e-06
1469983460590,1.5,3.62e-06
1469983460600,1.5,4.343999999999999e-06
1469983460610,1.5,2.5340000000000002e-06
1469983460620,1.5,5.0680000000000004e-06
1469983460630,1.5,2.5340000000000002e-06
1469983460640,1.5,5.0680000000000004e-06
1469983460650,1.5,3.62e-06
1469983460660,1.5,5.0680000000000004e-06
1469983460670,1.5,3.258e-06
1469983460680,1.5,5.43e-06
1469983460690,1.5,2.1719999999999997e-06
1469983460700,1.5,5.43e-06
1469983460710,1.5,2.5340000000000002e-06
1469983460720,1.5,4.706e-06
1469983460730,1.5,2.5340000000000002e-06
1469983460740,1.5,5.792000000000001e-06
1469983460750,1.5,3.258e-06
1469983460760,1.5,5.43e-06
1469983460770,1.5,2.5340000000000002e-06
1469983460780,1.5,5.43e-06
1469983460790,1.5,2.8960000000000003e-06
1469983460800,1.5,5.0680000000000004e-06
1469983460810,1.5,3.258e-06
1469983460820,1.5,4.343999999999999e-06
1469983460830,1.5,2.8960000000000003e-06
1469983460840,1.5,4.706e-06
1469983460850,1.5,2.5340000000000002e-06
1469983460860,1.5,3.982e-06
1469983460870,1.5,2.8960000000000003e-06
1469983460880,1.5,4.706e-06
1469983460890,1.5,2.8960000000000003e-06
1469983460900,1.5,5.792000000000001e-06
1469983460910,1.48,3.62e-06
1469983460920,1.48,5.792000000000001e-06
1469983460930,1.48,2.5340000000000002e-06
1469983460940,1.48,4.343999999999999e-06
1469983460950,1.48,2.8960000000000003e-06
1469983460960,1.48,4.706e-06
1469983460970,1.48,5.43e-06
1469983460980,1.48,8.3622e-05
1469983460990,1.48,0.000104256
1469983461000,1.48,0.000174122
1469983461010,1.48,0.000183534
1469983461020,1.48,0.00018136200000000002
1469983461030,1.48,0.00020163400000000001
1469983461040,1.48,0.000165072
1469983461050,1.48,0.00016977799999999999
1469983461060,1.48,0.0001629
1469983461070,1.48,0.000152764
1469983461080,1.48,0.000149868
1469983461090,1.48,0.000139732
1469983461100,1.48,0.00012633799999999998
1469983461110,1.48,0.00013068200000000002
1469983461120,1.48,0.00011873600000000001
1469983461130,1.48,0.00011801200000000001
1469983461140,1.48,0.000112582
1469983461150,1.48,0.00010498
1469983461160,1.48,0.000104618
1469983461170,1.48,0.000102446
1469983461180,1.48,9.412e-05
1469983461190,1.48,8.9052e-05
1469983461200,1.48,8.7242e-05
1469983461210,1.48,7.4934e-05
1469983461220,1.48,7.4934e-05
1469983461230,1.48,7.2038e-05
1469983461240,1.48,6.2988e-05
1469983461250,1.48,6.0453999999999994e-05
1469983461260,1.48,5.9006000000000004e-05
1469983461270,1.48,5.3938000000000004e-05
1469983461280,1.48,5.1042e-05
1469983461290,1.48,5.068e-05
1469983461300,1.48,4.4888e-05
1469983461310,1.48,4.5611999999999996e-05
1469983461320,1.48,4.3802e-05
1469983461330,1.48,4.706e-05
1469983461340,1.48,4.4526e-05
1469983461350,1.48,4.4888e-05
1469983461360,1.48,4.5611999999999996e-05
1469983461370,1.48,4.8508000000000004e-05
1469983461380,1.48,4.2353999999999995e-05
1469983461390,1.48,4.6698e-05
1469983461400,1.48,4.4164e-05
1469983461410,1.48,4.1992e-05
