,jaw,height,position,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,1,626.785098901099,2.107712715483781,398.8851783650955,0.16790453170310168,49.26749945196644,1,TCP,PROTON,I
1,1,142.8798888888889,2.940337097858235,122.90183460613234,0.2566611940981607,6.8246572899805455,1,TCP,PROTON,I
2,1,6.111287234042554,4.061168488999895,6.272429499882943,0.4531584068795962,1.3587159828591142,1,TCP,PROTON,I
3,1,757.9160412371135,1.7655624237704706,362.84080826010194,0.05931300653944981,28.299162943642727,1,TCP,PROTON,I
4,0,10.059313253012046,5.437036940115523,10.914495008320284,0.4838720720871914,0.6912293392268726,1,TCP,PROTON,I
5,1,14.440179999999998,3.2969150483154377,12.463755227146544,0.3186870989130185,3.29435876092387,1,TCP,PROTON,I
6,1,199.1481182795699,2.1658092769589925,173.7600303258269,0.1675995404301372,8.189586038568445,1,TCP,PROTON,I
7,0,4.608835164835165,4.9806433283540015,3.391054178618862,0.1837012621538096,0.9777354020925112,1,TCP,PROTON,I
8,1,9.023388235294119,5.060016130399483,9.183298909821922,0.4666793305505389,1.3729412747832606,1,TCP,PROTON,I
9,0,117.81905,3.710678495626288,112.3690097188708,0.4677035457302306,4.1330493849482535,1,TCP,PROTON,I
10,1,43.88069565217391,3.2639045888081135,38.65568690322589,0.1705611834978656,2.0626378542426163,1,TCP,PROTON,I
11,0,279.66356410256407,2.8344434587017826,257.719567873311,0.2950721564257229,17.822392242585007,1,TCP,PROTON,I
12,0,102.17064893617021,2.996684330075285,72.75639925685077,0.06256920038176217,8.468438620440997,1,TCP,PROTON,I
13,0,309.0295679012346,2.777181974687605,311.4494325871145,0.19913207295732285,22.824720664346327,1,TCP,PROTON,I
14,0,41.716764705882355,4.336399589849462,40.37716783816481,0.3080085529412579,2.026810718082161,1,TCP,PROTON,I
15,0,332.6484489795919,2.949969293312628,325.18205453344433,0.43044353034878974,13.841204394843686,1,TCP,PROTON,I
16,0,406.7786043956044,3.7531132062092913,364.32006506888064,0.5099304323738765,38.09360499280146,1,TCP,PROTON,I
17,0,119.12928395061728,3.063489394758492,102.13407771363752,0.12062900375945138,10.621986480441029,1,TCP,PROTON,I
