,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,collimator_type,beam_type,beam_state
0,1,22.894444444444442,2.061749591192581,23.891999999999996,22.12502078757655,0.3118537730613668,1.2297347623936585,TCP,PROTON,I
1,1,256.663902173913,1.078459901774285,259.73499999999996,242.28025710412882,0.42355182020843707,5.267005469816881,TCTPV,PROTON,I
2,0,640.5231584158414,0.0,655.5819999999999,559.526317771095,0.3867206743767802,30.17606747954223,TCSPM,PROTON,I
3,0,466.65419999999995,1.5103394584102459,483.63199999999995,459.287582941311,0.19261653116125524,53.8120036454441,TCP,PROTON,I
4,0,71.86254081632653,3.124691010693724,78.916,67.36929676147298,0.595539117493939,12.811504067658168,TCP,PROTON,I
5,1,15.777918367346942,2.6471298131954506,16.290000000000003,15.485656156569652,0.4286910297697469,2.1061066075096915,TCLA,PROTON,I
6,0,15.777918367346942,2.5445775686164502,16.290000000000003,15.485656156569652,0.4286910297697469,2.1061066075096915,TCLA,PROTON,I
7,1,95.82951807228915,4.8325373947990045,96.654,91.35817738092564,0.5580575933830294,1.892629173726109,TCP,PROTON,I
8,1,50.47593137254902,3.6072193160189374,60.092,47.8310089762424,0.41692592132057216,12.607808159346389,TCLA,PROTON,I
9,0,173.10303703703704,2.0579105226355945,186.792,183.1229467746414,0.12573560673338322,15.661353664118149,TCSG,PROTON,I
10,1,23.69416279069766,2.6696950548731464,87.06099999999999,80.00479635911844,0.40442198470748864,12.125386673076068,TCSG,PROTON,I
11,0,23.69416279069766,2.7408869230030968,87.06099999999999,80.00479635911844,0.40442198470748864,12.125386673076068,TCSG,PROTON,I
12,0,36.4776504854369,2.7067756793906685,42.716,39.666318511415405,0.32601805325889727,4.926279984635841,TCSG,PROTON,I
13,1,24.587326732673272,1.702101489191899,28.055000000000003,21.508294880546444,0.4449164314449342,4.80498307412341,TCTPV,PROTON,I
14,0,40.28952873563218,5.121368161868287,42.716,35.802947729734875,1.2063210087848277,7.046475747852825,TCTPH,PROTON,I
15,0,45.09430107526882,2.049746407486539,55.567,47.27401363271765,0.3314517106223019,9.15266436534261,TCP,PROTON,I
16,1,8.875154761904763,4.6900861424707285,13.937000000000001,11.690923777352205,0.8950662561650367,2.561355679392051,TCSG,PROTON,I
17,0,8.875154761904763,4.575925830686451,13.937000000000001,11.690923777352205,0.8950662561650367,2.561355679392051,TCSG,PROTON,I
18,0,97.22086813186812,2.943411226867218,105.88499999999999,97.82513546566476,0.2349978913735104,14.389075407861396,TCP,PROTON,I
19,0,1153.016842696629,1.5397616667927854,1160.9299999999998,1018.593673839525,0.21577798862519154,47.8381139067606,TCP,PROTON,I
20,1,20.671,5.549959207571626,20.996,15.500225202632375,0.6743769355935909,5.61199842592008,TCTPV,PROTON,I
21,0,20.671,2.1702313439190437,20.996,15.500225202632375,0.6743769355935909,5.61199842592008,TCTPV,PROTON,I
22,1,709.4284597701148,2.0217503091185955,718.9319999999999,687.0597155318101,0.3292246938353263,13.812178350110555,TCSG,PROTON,I
23,0,19.780970297029704,4.192543386434491,22.263,17.87344561697151,0.07683039857712162,2.682836271033533,TCSG,PROTON,I
