,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,collimator_type,beam_type,beam_state
0,1,5.402526785714285,7.3019482267683635,11.222,5.17103076923077,179.70586320147555,6.050969230769231,TCSG,PROTON,FT
1,0,5.402526785714285,6.626978222613306,11.222,5.17103076923077,179.70586320147555,6.050969230769231,TCSG,PROTON,FT
2,0,37.35879347826087,4.526597392262406,43.44,20.259293669958595,0.013417642760708285,-3.808014268344141,TCLA,PROTON,FT
3,0,13.5863125,2.8651261369858334,19.91,11.081421221066762,1.8711658109091116,8.772288363659486,TCLA,PROTON,FT
4,0,13.543971428571467,6.235418466047554,174.66500000000002,105.46913682439465,0.02576001587155863,52.537781150662525,TCSG,PROTON,FT
5,0,12.841082191780817,5.459312635547217,21.176999999999996,16.34834959443751,2.599577822882577,4.8394702918725265,TCLA,PROTON,FT
6,0,2.293344262295083,4.694477471912709,7.24,3.1144293614135488,0.04191488405623612,3.3429739635648854,TCP,PROTON,FT
7,1,4.412202898550725,3.7241494439492544,9.412,6.742695431345496,0.028004051871139114,2.070314649720281,TCP,PROTON,FT
8,1,200.1803333333333,3.8437423768273162,201.45299999999997,110.74113512682871,0.0969093407954048,13.79019211213766,TCP,PROTON,FT
9,0,0.5138064516129032,2.717855378461299,1.136,0.7421676308472167,0.03389220122010617,0.7694945264797914,TCP,PROTON,FT
10,1,82.94119318181818,6.118374492141336,87.604,76.23065846114582,0.12977743463186817,5.521738429377711,TCSG,PROTON,FT
11,1,16.812173469387755,9.521849584049814,23.349,13.5526626377986,2.39358031090417,9.788932779129423,TCTPH,PROTON,FT
12,1,1.3070405405405405,11.63724533684724,1.679,1.3503545689809098,3.051139613226,0.32907303039937674,TCTPH,PROTON,FT
13,0,1.3070405405405405,10.454361415707433,1.679,1.3503545689809098,3.051139613226,0.32907303039937674,TCTPH,PROTON,FT
14,1,12.889660194174756,2.0829862353919264,20.453,15.415229706842792,2.680082787136991,5.04522872972472,TCTPV,PROTON,FT
15,1,-49.77028571428576,2.2119649534493546,428.789,287.12152583512847,0.020716020775225795,7.415062878871824,TCP,PROTON,FT
16,0,0.7433928571428581,1.1215540352023285,17.195,7.530407682290386,0.02297891828588,9.712515206181944,TCSG,PROTON,FT
17,0,57.996863013698615,4.913463132974259,139.189,68.9344540605932,0.1054233686983302,43.99796111398292,TCP,PROTON,FT
18,1,10.12525,3.7712189356914374,13.575,9.40361107823665,0.018781054198472612,2.1225831389301537,TCP,PROTON,FT
19,0,10.12525,5.928791307553365,13.575,9.40361107823665,0.018781054198472612,2.1225831389301537,TCP,PROTON,FT
20,0,1.9995434782608696,2.782098788521112,3.62,2.9408839072110595,0.049541485237871365,1.5992826306629744,TCLA,PROTON,FT
21,1,1545.4705402298853,2.520189599893646,1561.8500000000001,1434.5903750243187,0.09805991585861885,84.92947271373085,TCP,PROTON,FT
22,1,-3.61224285714286,0.21178093871550144,39.82,25.830814634150236,0.031008835220139207,11.842328557377442,TCP,PROTON,FT
23,1,599.9142278481013,1.9400020661051811,948.6210000000001,794.7086672063915,0.00864245328844158,-265.4934152298966,TCP,PROTON,FT
24,1,6.493801886792456,2.66978623597076,18.1,7.072703302452992,1.5375019724815466,10.961126941500837,TCSG,PROTON,FT
25,0,42.18520224719101,6.744680019661201,44.888,43.742104192352365,0.10703245257218774,2.882331918839286,TCP,PROTON,FT
26,1,3.021694444444446,0.035296823111191256,29.322,14.541078048858694,0.02926539353898987,12.66610329200292,TCP,PROTON,FT
27,1,94.06358750000001,15.875659541377242,100.81700000000001,98.03203093834095,35.017132946518934,2.7849690616590492,TCTPH,PROTON,FT
28,1,125.55318292682928,4.877201412435704,127.424,112.40635976003959,0.12781667781804726,5.720625410887805,TCP,PROTON,FT
29,1,1.431,8.56130252142552,2.041,0.7471063795078623,20.91997829416231,1.293893617342921,TCTPV,PROTON,FT
30,0,1.431,8.56130252142552,2.041,0.7471063795078623,20.91997829416231,1.293893617342921,TCTPV,PROTON,FT
31,0,2.7492916666666662,4.959203645140869,4.343999999999999,3.383769836558981,0.025622648528282162,1.8899416282752939,TCP,PROTON,FT
32,1,1.9912688172043014,4.800367941178398,2.5340000000000003,1.950801116489345,0.8116528952411907,0.4976657209256822,TCP,PROTON,FT
33,0,1.9912688172043014,5.382765522277247,2.5340000000000003,1.950801116489345,0.8116528952411907,0.4976657209256822,TCP,PROTON,FT
34,0,101.70907142857143,6.23701593215982,213.218,103.23138211864033,0.036686911567598825,40.488919958776904,TCP,PROTON,FT
35,1,18.50881,9.257743209994052,19.005,16.25186565610579,0.23750184576443756,1.134106921945979,TCSG,PROTON,FT
36,0,18.50881,9.257743209994052,19.005,16.25186565610579,0.23750184576443756,1.134106921945979,TCSG,PROTON,FT
37,1,94.55355813953489,4.333275604357373,97.016,82.04711930646167,0.07880216428382332,6.366981450304284,TCP,PROTON,FT
38,1,5.078647058823528,3.5173868919738522,10.86,5.67228833279091,0.02403112405685088,3.914676909808199,TCP,PROTON,FT
39,1,25.749763888888907,0.5591113012351542,87.96600000000001,24.254713433703,0.03891142577321056,50.25570861021963,TCP,PROTON,FT
40,0,33.4239125,5.511781521488227,45.431000000000004,17.18329623175742,0.11442776701661675,21.919443763494307,TCP,PROTON,FT
41,1,1.1888918918918916,6.006107823880741,2.1719999999999997,1.0861251850753557,2.1647071371333264,1.0890869295135457,TCLA,PROTON,FT
42,0,1.1888918918918916,7.080514208797822,2.1719999999999997,1.0861251850753557,2.1647071371333264,1.0890869295135457,TCLA,PROTON,FT
43,1,45.36597222222222,6.5831562075069945,51.946999999999996,49.977304742590285,34.498529633717176,1.9696952534480057,TCTPH,PROTON,FT
44,1,3.7398730158730156,10.61429246600005,5.611,3.6916078027854224,0.02868832075373215,1.812262091812309,TCSG,PROTON,FT
45,0,3.7398730158730156,4.021564226248466,5.611,3.6916078027854224,0.02868832075373215,1.812262091812309,TCSG,PROTON,FT
46,0,36.903101123595505,7.543093026022892,44.707,38.81045461286392,41.933655695087126,5.8965453947535345,TCTPH,PROTON,FT
47,0,1.0030000000000006,8.862595633968555,3.801,1.3487583307775965,0.016779190016041362,1.4604645161489416,TCSG,PROTON,FT
48,0,20.303675000000002,3.645936421005129,25.159000000000002,19.15038214612788,4.677786311078687,6.008467979071512,TCLA,PROTON,FT
