Timestamp,position,BLMTI.06L3.B1I10_TCP.6L3.B1
1493558508450,-9.445,1.4480000000000002e-06
1493558508460,-9.445,3.6200000000000004e-07
1493558508470,-9.445,7.240000000000001e-07
1493558508480,-9.445,0.0
1493558508490,-9.445,7.240000000000001e-07
1493558508500,-9.445,0.0
1493558508510,-9.445,7.240000000000001e-07
1493558508520,-9.445,3.6200000000000004e-07
1493558508530,-9.445,1.0859999999999999e-06
1493558508540,-9.445,7.240000000000001e-07
1493558508550,-9.445,7.240000000000001e-07
1493558508560,-9.445,3.6200000000000004e-07
1493558508570,-9.445,3.6200000000000004e-07
1493558508580,-9.445,7.240000000000001e-07
1493558508590,-9.445,7.240000000000001e-07
1493558508600,-9.445,7.240000000000001e-07
1493558508610,-9.445,3.6200000000000004e-07
1493558508620,-9.445,3.6200000000000004e-07
1493558508630,-9.445,1.0859999999999999e-06
1493558508640,-9.445,0.0
1493558508650,-9.445,1.4480000000000002e-06
1493558508660,-9.445,0.0
1493558508670,-9.445,7.240000000000001e-07
1493558508680,-9.445,7.240000000000001e-07
1493558508690,-9.445,3.6200000000000004e-07
1493558508700,-9.445,0.0
1493558508710,-9.445,7.240000000000001e-07
1493558508720,-9.445,0.0
1493558508730,-9.445,1.0859999999999999e-06
1493558508740,-9.445,0.0
1493558508750,-9.445,1.0859999999999999e-06
1493558508760,-9.445,3.6200000000000004e-07
1493558508770,-9.445,1.0859999999999999e-06
1493558508780,-9.445,3.6200000000000004e-07
1493558508790,-9.445,3.6200000000000004e-07
1493558508800,-9.445,3.6200000000000004e-07
1493558508810,-9.445,7.240000000000001e-07
1493558508820,-9.445,0.0
1493558508830,-9.445,7.240000000000001e-07
1493558508840,-9.445,3.6200000000000004e-07
1493558508850,-9.445,1.0859999999999999e-06
1493558508860,-9.445,3.6200000000000004e-07
1493558508870,-9.445,7.240000000000001e-07
1493558508880,-9.445,3.6200000000000004e-07
1493558508890,-9.445,7.240000000000001e-07
1493558508900,-9.445,0.0
1493558508910,-9.445,1.0859999999999999e-06
1493558508920,-9.445,3.6200000000000004e-07
1493558508930,-9.445,3.6200000000000004e-07
1493558508940,-9.445,3.6200000000000004e-07
1493558508950,-9.445,7.240000000000001e-07
1493558508960,-9.445,3.6200000000000004e-07
