Timestamp,position,BLMTI.04R6.B1E11_TCSP.A4R6.B1
1493559225410,-8.31,7.240000000000001e-07
1493559225420,-8.31,3.6200000000000004e-07
1493559225430,-8.31,7.240000000000001e-07
1493559225440,-8.31,0.0
1493559225450,-8.31,0.0
1493559225460,-8.31,3.6200000000000004e-07
1493559225470,-8.31,0.0
1493559225480,-8.31,3.6200000000000004e-07
1493559225490,-8.31,7.240000000000001e-07
1493559225500,-8.31,3.6200000000000004e-07
1493559225510,-8.31,0.0
1493559225520,-8.31,3.6200000000000004e-07
1493559225530,-8.31,0.0
1493559225540,-8.31,3.6200000000000004e-07
1493559225550,-8.31,3.6200000000000004e-07
1493559225560,-8.31,3.6200000000000004e-07
1493559225570,-8.31,3.6200000000000004e-07
1493559225580,-8.31,3.6200000000000004e-07
1493559225590,-8.31,1.0859999999999999e-06
1493559225600,-8.31,3.6200000000000004e-07
1493559225610,-8.31,7.240000000000001e-07
1493559225620,-8.31,1.4480000000000002e-06
1493559225630,-8.31,0.0
1493559225640,-8.31,3.6200000000000004e-07
1493559225650,-8.31,1.4480000000000002e-06
1493559225660,-8.31,0.0
1493559225670,-8.31,3.6200000000000004e-07
1493559225680,-8.31,7.240000000000001e-07
1493559225690,-8.31,7.240000000000001e-07
1493559225700,-8.31,7.240000000000001e-07
1493559225710,-8.31,0.0
1493559225720,-8.31,3.6200000000000004e-07
1493559225730,-8.31,0.0
1493559225740,-8.31,0.0
1493559225750,-8.31,7.240000000000001e-07
1493559225760,-8.31,3.6200000000000004e-07
1493559225770,-8.31,7.240000000000001e-07
1493559225780,-8.31,7.240000000000001e-07
1493559225790,-8.31,0.0
1493559225800,-8.31,3.6200000000000004e-07
1493559225810,-8.31,0.0
1493559225820,-8.31,3.6200000000000004e-07
1493559225830,-8.31,3.6200000000000004e-07
1493559225840,-8.31,0.0
1493559225850,-8.31,3.6200000000000004e-07
1493559225860,-8.31,0.0
1493559225870,-8.31,3.6200000000000004e-07
1493559225880,-8.31,0.0
1493559225890,-8.31,7.240000000000001e-07
1493559225900,-8.31,0.0
1493559225910,-8.31,3.6200000000000004e-07
1493559225920,-8.31,3.6200000000000004e-07
1493559225930,-8.31,3.6200000000000004e-07
1493559225940,-8.31,7.240000000000001e-07
1493559225950,-8.31,7.240000000000001e-07
1493559225960,-8.31,0.0
1493559225970,-8.31,7.240000000000001e-07
1493559225980,-8.31,3.6200000000000004e-07
1493559225990,-8.31,0.0
1493559226000,-8.31,0.0
1493559226010,-8.31,1.0859999999999999e-06
1493559226020,-8.31,0.0
1493559226030,-8.31,3.6200000000000004e-07
1493559226040,-8.31,0.0
1493559226050,-8.31,3.6200000000000004e-07
1493559226060,-8.31,3.6200000000000004e-07
1493559226070,-8.31,3.6200000000000004e-07
1493559226080,-8.31,3.6200000000000004e-07
1493559226090,-8.31,7.240000000000001e-07
1493559226100,-8.31,3.6200000000000004e-07
1493559226110,-8.31,3.6200000000000004e-07
1493559226120,-8.31,1.0859999999999999e-06
1493559226130,-8.31,0.0
1493559226140,-8.31,3.6200000000000004e-07
1493559226150,-8.31,1.0859999999999999e-06
1493559226160,-8.31,0.0
1493559226170,-8.31,7.240000000000001e-07
1493559226180,-8.31,0.0
1493559226190,-8.31,3.6200000000000004e-07
1493559226200,-8.31,7.240000000000001e-07
1493559226210,-8.31,3.6200000000000004e-07
1493559226220,-8.31,0.0
1493559226230,-8.31,3.6200000000000004e-07
1493559226240,-8.31,3.6200000000000004e-07
1493559226250,-8.31,7.240000000000001e-07
1493559226260,-8.31,0.0
1493559226270,-8.31,0.0
1493559226280,-8.31,3.6200000000000004e-07
1493559226290,-8.31,7.240000000000001e-07
1493559226300,-8.31,0.0
1493559226310,-8.31,3.6200000000000004e-07
1493559226320,-8.31,3.6200000000000004e-07
1493559226330,-8.31,7.240000000000001e-07
1493559226340,-8.31,0.0
1493559226350,-8.31,3.6200000000000004e-07
1493559226360,-8.31,3.6200000000000004e-07
1493559226370,-8.31,0.0
1493559226380,-8.31,7.240000000000001e-07
1493559226390,-8.31,3.6200000000000004e-07
1493559226400,-8.31,3.6200000000000004e-07
1493559226410,-8.31,0.0
1493559226420,-8.31,0.0
1493559226430,-8.31,7.240000000000001e-07
1493559226440,-8.31,0.0
1493559226450,-8.31,3.6200000000000004e-07
1493559226460,-8.31,7.240000000000001e-07
1493559226470,-8.31,7.240000000000001e-07
1493559226480,-8.31,3.6200000000000004e-07
1493559226490,-8.31,1.0859999999999999e-06
1493559226500,-8.31,0.0
1493559226510,-8.31,3.6200000000000004e-07
1493559226520,-8.31,0.0
1493559226530,-8.31,0.0
1493559226540,-8.31,3.6200000000000004e-07
1493559226550,-8.31,7.240000000000001e-07
1493559226560,-8.31,3.6200000000000004e-07
1493559226570,-8.31,0.0
1493559226580,-8.31,3.6200000000000004e-07
1493559226590,-8.31,3.6200000000000004e-07
1493559226600,-8.31,0.0
1493559226610,-8.31,7.240000000000001e-07
1493559226620,-8.31,3.6200000000000004e-07
1493559226630,-8.31,0.0
1493559226640,-8.31,3.6200000000000004e-07
1493559226650,-8.31,0.0
1493559226660,-8.31,1.0859999999999999e-06
1493559226670,-8.31,0.0
1493559226680,-8.31,3.6200000000000004e-07
1493559226690,-8.31,3.6200000000000004e-07
1493559226700,-8.31,1.0859999999999999e-06
1493559226710,-8.31,7.240000000000001e-07
1493559226720,-8.31,3.6200000000000004e-07
1493559226730,-8.31,3.6200000000000004e-07
1493559226740,-8.31,0.0
1493559226750,-8.31,1.0859999999999999e-06
1493559226760,-8.31,7.240000000000001e-07
1493559226770,-8.31,0.0
1493559226780,-8.31,3.6200000000000004e-07
1493559226790,-8.31,7.240000000000001e-07
1493559226800,-8.31,3.6200000000000004e-07
1493559226810,-8.31,7.240000000000001e-07
1493559226820,-8.31,3.6200000000000004e-07
1493559226830,-8.31,3.6200000000000004e-07
1493559226840,-8.31,0.0
1493559226850,-8.31,7.240000000000001e-07
1493559226860,-8.31,1.0859999999999999e-06
1493559226870,-8.31,7.240000000000001e-07
1493559226880,-8.31,0.0
1493559226890,-8.31,7.240000000000001e-07
1493559226900,-8.31,0.0
1493559226910,-8.31,3.6200000000000004e-07
1493559226920,-8.31,0.0
1493559226930,-8.31,0.0
1493559226940,-8.31,0.0
1493559226950,-8.31,1.0859999999999999e-06
1493559226960,-8.31,0.0
1493559226970,-8.31,3.6200000000000004e-07
1493559226980,-8.31,3.6200000000000004e-07
1493559226990,-8.31,0.0
1493559227000,-8.31,7.240000000000001e-07
1493559227010,-8.31,3.6200000000000004e-07
1493559227020,-8.31,3.6200000000000004e-07
1493559227030,-8.31,0.0
1493559227040,-8.31,3.6200000000000004e-07
1493559227050,-8.31,0.0
1493559227060,-8.31,3.6200000000000004e-07
1493559227070,-8.31,0.0
1493559227080,-8.31,7.240000000000001e-07
1493559227090,-8.31,1.0859999999999999e-06
1493559227100,-8.31,3.6200000000000004e-07
1493559227110,-8.31,3.6200000000000004e-07
1493559227120,-8.31,7.240000000000001e-07
1493559227130,-8.31,3.6200000000000004e-07
1493559227140,-8.31,0.0
1493559227150,-8.31,3.6200000000000004e-07
1493559227160,-8.31,3.6200000000000004e-07
1493559227170,-8.31,3.6200000000000004e-07
1493559227180,-8.31,3.6200000000000004e-07
1493559227190,-8.31,1.0859999999999999e-06
1493559227200,-8.31,0.0
1493559227210,-8.31,0.0
1493559227220,-8.31,3.6200000000000004e-07
1493559227230,-8.31,0.0
1493559227240,-8.31,3.6200000000000004e-07
1493559227250,-8.31,3.6200000000000004e-07
1493559227260,-8.31,3.6200000000000004e-07
1493559227270,-8.31,0.0
1493559227280,-8.31,3.6200000000000004e-07
1493559227290,-8.31,3.6200000000000004e-07
1493559227300,-8.31,0.0
1493559227310,-8.31,3.6200000000000004e-07
1493559227320,-8.31,3.6200000000000004e-07
1493559227330,-8.31,7.240000000000001e-07
1493559227340,-8.31,7.240000000000001e-07
1493559227350,-8.31,3.6200000000000004e-07
1493559227360,-8.31,3.6200000000000004e-07
1493559227370,-8.31,3.6200000000000004e-07
1493559227380,-8.31,0.0
1493559227390,-8.31,7.240000000000001e-07
1493559227400,-8.31,3.6200000000000004e-07
1493559227410,-8.31,3.6200000000000004e-07
1493559227420,-8.31,0.0
1493559227430,-8.31,7.240000000000001e-07
1493559227440,-8.31,3.6200000000000004e-07
1493559227450,-8.31,3.6200000000000004e-07
1493559227460,-8.31,0.0
1493559227470,-8.31,0.0
1493559227480,-8.31,3.6200000000000004e-07
1493559227490,-8.31,0.0
1493559227500,-8.31,3.6200000000000004e-07
1493559227510,-8.31,3.6200000000000004e-07
1493559227520,-8.31,0.0
1493559227530,-8.31,3.6200000000000004e-07
1493559227540,-8.31,7.240000000000001e-07
1493559227550,-8.31,7.240000000000001e-07
1493559227560,-8.31,3.6200000000000004e-07
1493559227570,-8.31,7.240000000000001e-07
1493559227580,-8.31,3.6200000000000004e-07
1493559227590,-8.31,3.6200000000000004e-07
1493559227600,-8.31,3.6200000000000004e-07
1493559227610,-8.31,3.6200000000000004e-07
1493559227620,-8.31,7.240000000000001e-07
1493559227630,-8.31,1.0859999999999999e-06
1493559227640,-8.31,0.0
1493559227650,-8.31,3.6200000000000004e-07
1493559227660,-8.31,7.240000000000001e-07
1493559227670,-8.31,1.0859999999999999e-06
1493559227680,-8.31,0.0
1493559227690,-8.31,7.240000000000001e-07
1493559227700,-8.31,1.0859999999999999e-06
1493559227710,-8.31,3.6200000000000004e-07
1493559227720,-8.31,0.0
1493559227730,-8.31,3.6200000000000004e-07
1493559227740,-8.31,7.240000000000001e-07
1493559227750,-8.31,3.6200000000000004e-07
1493559227760,-8.31,7.240000000000001e-07
1493559227770,-8.31,0.0
1493559227780,-8.31,3.6200000000000004e-07
1493559227790,-8.31,0.0
1493559227800,-8.31,7.240000000000001e-07
1493559227810,-8.31,7.240000000000001e-07
1493559227820,-8.31,3.6200000000000004e-07
1493559227830,-8.31,0.0
1493559227840,-8.31,3.6200000000000004e-07
1493559227850,-8.31,3.6200000000000004e-07
1493559227860,-8.31,3.6200000000000004e-07
1493559227870,-8.31,3.6200000000000004e-07
1493559227880,-8.31,7.240000000000001e-07
1493559227890,-8.31,0.0
1493559227900,-8.31,0.0
1493559227910,-8.31,7.240000000000001e-07
1493559227920,-8.31,3.6200000000000004e-07
1493559227930,-8.31,0.0
1493559227940,-8.31,3.6200000000000004e-07
1493559227950,-8.31,3.6200000000000004e-07
1493559227960,-8.31,0.0
1493559227970,-8.31,3.6200000000000004e-07
1493559227980,-8.31,0.0
1493559227990,-8.31,3.6200000000000004e-07
1493559228000,-8.31,3.6200000000000004e-07
1493559228010,-8.31,0.0
1493559228020,-8.31,1.0859999999999999e-06
1493559228030,-8.31,7.240000000000001e-07
1493559228040,-8.31,7.240000000000001e-07
1493559228050,-8.31,7.240000000000001e-07
1493559228060,-8.31,7.240000000000001e-07
1493559228070,-8.31,1.0859999999999999e-06
1493559228080,-8.31,3.6200000000000004e-07
1493559228090,-8.31,3.6200000000000004e-07
1493559228100,-8.31,7.240000000000001e-07
1493559228110,-8.31,7.240000000000001e-07
1493559228120,-8.31,0.0
1493559228130,-8.31,7.240000000000001e-07
1493559228140,-8.31,3.6200000000000004e-07
1493559228150,-8.31,7.240000000000001e-07
1493559228160,-8.31,7.240000000000001e-07
1493559228170,-8.31,1.0859999999999999e-06
1493559228180,-8.31,7.240000000000001e-07
1493559228190,-8.31,3.6200000000000004e-07
1493559228200,-8.31,7.240000000000001e-07
1493559228210,-8.31,0.0
1493559228220,-8.31,3.6200000000000004e-07
1493559228230,-8.31,7.240000000000001e-07
1493559228240,-8.31,3.6200000000000004e-07
1493559228250,-8.31,3.6200000000000004e-07
1493559228260,-8.31,3.6200000000000004e-07
1493559228270,-8.31,7.240000000000001e-07
1493559228280,-8.31,3.6200000000000004e-07
1493559228290,-8.31,0.0
1493559228300,-8.31,3.6200000000000004e-07
1493559228310,-8.31,0.0
1493559228320,-8.31,7.240000000000001e-07
1493559228330,-8.31,7.240000000000001e-07
1493559228340,-8.31,0.0
1493559228350,-8.31,3.6200000000000004e-07
1493559228360,-8.31,7.240000000000001e-07
1493559228370,-8.31,0.0
1493559228380,-8.31,3.6200000000000004e-07
1493559228390,-8.31,3.6200000000000004e-07
1493559228400,-8.31,3.6200000000000004e-07
1493559228410,-8.31,0.0
1493559228420,-8.31,3.6200000000000004e-07
1493559228430,-8.31,0.0
1493559228440,-8.31,1.0859999999999999e-06
1493559228450,-8.31,3.6200000000000004e-07
1493559228460,-8.31,3.6200000000000004e-07
1493559228470,-8.31,7.240000000000001e-07
1493559228480,-8.31,7.240000000000001e-07
1493559228490,-8.31,7.240000000000001e-07
1493559228500,-8.31,3.6200000000000004e-07
1493559228510,-8.31,3.6200000000000004e-07
1493559228520,-8.31,7.240000000000001e-07
1493559228530,-8.31,0.0
1493559228540,-8.31,7.240000000000001e-07
1493559228550,-8.31,0.0
1493559228560,-8.31,0.0
1493559228570,-8.31,7.240000000000001e-07
1493559228580,-8.31,1.0859999999999999e-06
1493559228590,-8.31,0.0
1493559228600,-8.31,1.0859999999999999e-06
1493559228610,-8.31,0.0
1493559228620,-8.31,3.6200000000000004e-07
1493559228630,-8.31,3.6200000000000004e-07
1493559228640,-8.31,0.0
1493559228650,-8.31,7.240000000000001e-07
1493559228660,-8.31,0.0
1493559228670,-8.31,1.4480000000000002e-06
1493559228680,-8.31,0.0
1493559228690,-8.31,0.0
1493559228700,-8.31,0.0
1493559228710,-8.31,7.240000000000001e-07
1493559228720,-8.31,3.6200000000000004e-07
1493559228730,-8.31,0.0
1493559228740,-8.31,0.0
1493559228750,-8.31,3.6200000000000004e-07
1493559228760,-8.31,7.240000000000001e-07
1493559228770,-8.31,0.0
1493559228780,-8.31,3.6200000000000004e-07
1493559228790,-8.31,0.0
1493559228800,-8.31,3.6200000000000004e-07
1493559228810,-8.31,3.6200000000000004e-07
1493559228820,-8.31,0.0
1493559228830,-8.31,0.0
1493559228840,-8.31,0.0
1493559228850,-8.31,0.0
1493559228860,-8.31,3.6200000000000004e-07
1493559228870,-8.31,3.6200000000000004e-07
1493559228880,-8.31,3.6200000000000004e-07
1493559228890,-8.31,3.6200000000000004e-07
1493559228900,-8.31,7.240000000000001e-07
1493559228910,-8.31,0.0
1493559228920,-8.31,0.0
