Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1459975264110,0.71,0.0
1459975264120,0.71,1.81e-06
1459975264130,0.71,0.0
1459975264140,0.71,1.0859999999999999e-06
1459975264150,0.71,3.6200000000000004e-07
1459975264160,0.71,1.4480000000000002e-06
1459975264170,0.71,3.6200000000000004e-07
1459975264180,0.71,1.0859999999999999e-06
1459975264190,0.71,3.6200000000000004e-07
1459975264200,0.71,2.1719999999999997e-06
1459975264210,0.71,0.0
1459975264220,0.71,7.240000000000001e-07
1459975264230,0.71,0.0
1459975264240,0.71,2.1719999999999997e-06
1459975264250,0.71,0.0
1459975264260,0.71,1.0859999999999999e-06
1459975264270,0.71,3.6200000000000004e-07
1459975264280,0.71,1.81e-06
1459975264290,0.71,0.0
1459975264300,0.71,1.0859999999999999e-06
1459975264310,0.71,0.0
1459975264320,0.71,1.0859999999999999e-06
1459975264330,0.71,0.0
1459975264340,0.71,1.81e-06
1459975264350,0.71,0.0
1459975264360,0.71,1.0859999999999999e-06
1459975264370,0.71,3.6200000000000004e-07
1459975264380,0.71,1.81e-06
1459975264390,0.71,0.0
1459975264400,0.71,1.81e-06
1459975264410,0.71,0.0
1459975264420,0.71,1.4480000000000002e-06
1459975264430,0.71,0.0
1459975264440,0.71,1.4480000000000002e-06
1459975264450,0.71,0.0
1459975264460,0.71,2.1719999999999997e-06
1459975264470,0.71,3.6200000000000004e-07
1459975264480,0.71,1.0859999999999999e-06
1459975264490,0.71,1.0859999999999999e-06
1459975264500,0.71,3.6200000000000004e-07
1459975264510,0.71,0.0
1459975264520,0.71,2.1719999999999997e-06
1459975264530,0.71,0.0
1459975264540,0.71,1.81e-06
1459975264550,0.71,0.0
1459975264560,0.71,1.4480000000000002e-06
1459975264570,0.71,0.0
1459975264580,0.71,7.240000000000001e-07
1459975264590,0.71,7.240000000000001e-07
1459975264600,0.71,1.4480000000000002e-06
1459975264610,0.71,0.0
1459975264620,0.71,1.4480000000000002e-06
1459975264630,0.71,0.0
1459975264640,0.71,1.4480000000000002e-06
1459975264650,0.71,7.240000000000001e-07
1459975264660,0.71,1.0859999999999999e-06
1459975264670,0.71,3.6200000000000004e-07
1459975264680,0.71,1.81e-06
1459975264690,0.71,3.6200000000000004e-07
1459975264700,0.71,1.0859999999999999e-06
1459975264710,0.71,0.0
1459975264720,0.71,1.81e-06
1459975264730,0.71,0.0
1459975264740,0.71,1.0859999999999999e-06
1459975264750,0.71,0.0
1459975264760,0.71,2.1719999999999997e-06
1459975264770,0.71,0.0
1459975264780,0.71,1.4480000000000002e-06
1459975264790,0.71,3.6200000000000004e-07
1459975264800,0.71,1.4480000000000002e-06
1459975264810,0.71,0.0
1459975264820,0.71,1.0859999999999999e-06
1459975264830,0.71,0.0
1459975264840,0.71,2.1719999999999997e-06
1459975264850,0.71,0.0
1459975264860,0.71,1.4480000000000002e-06
1459975264870,0.71,0.0
1459975264880,0.71,1.0859999999999999e-06
1459975264890,0.71,7.240000000000001e-07
1459975264900,0.71,1.81e-06
1459975264910,0.71,0.0
1459975264920,0.71,7.240000000000001e-07
1459975264930,0.71,3.6200000000000004e-07
1459975264940,0.71,1.4480000000000002e-06
1459975264950,0.71,7.240000000000001e-07
1459975264960,0.71,1.0859999999999999e-06
1459975264970,0.71,7.240000000000001e-07
1459975264980,0.71,1.0859999999999999e-06
1459975264990,0.71,3.6200000000000004e-07
1459975265000,0.71,1.4480000000000002e-06
1459975265010,0.71,0.0
1459975265020,0.71,1.4480000000000002e-06
1459975265030,0.71,0.0
1459975265040,0.71,1.81e-06
1459975265050,0.71,0.0
1459975265060,0.71,1.0859999999999999e-06
1459975265070,0.71,0.0
1459975265080,0.71,1.4480000000000002e-06
1459975265090,0.71,3.6200000000000004e-07
1459975265100,0.71,1.4480000000000002e-06
1459975265110,0.71,3.6200000000000004e-07
1459975265120,0.71,1.81e-06
1459975265130,0.71,3.6200000000000004e-07
1459975265140,0.71,1.81e-06
1459975265150,0.71,0.0
1459975265160,0.71,7.240000000000001e-07
1459975265170,0.71,7.240000000000001e-07
1459975265180,0.71,1.81e-06
1459975265190,0.71,3.6200000000000004e-07
1459975265200,0.71,1.4480000000000002e-06
1459975265210,0.71,3.6200000000000004e-07
1459975265220,0.71,1.4480000000000002e-06
1459975265230,0.71,0.0
1459975265240,0.71,1.81e-06
1459975265250,0.71,0.0
1459975265260,0.71,1.0859999999999999e-06
1459975265270,0.71,0.0
1459975265280,0.71,2.1719999999999997e-06
1459975265290,0.71,3.6200000000000004e-07
1459975265300,0.71,1.4480000000000002e-06
1459975265310,0.71,0.0
1459975265320,0.71,1.4480000000000002e-06
1459975265330,0.71,7.240000000000001e-07
1459975265340,0.71,1.81e-06
1459975265350,0.71,3.6200000000000004e-07
1459975265360,0.71,1.0859999999999999e-06
1459975265370,0.71,1.0859999999999999e-06
1459975265380,0.71,1.0859999999999999e-06
1459975265390,0.71,0.0
1459975265400,0.71,1.81e-06
1459975265410,0.71,0.0
1459975265420,0.71,7.240000000000001e-07
1459975265430,0.71,0.0
1459975265440,0.71,1.0859999999999999e-06
1459975265450,0.71,7.240000000000001e-07
1459975265460,0.71,1.0859999999999999e-06
1459975265470,0.71,0.0
1459975265480,0.71,1.81e-06
1459975265490,0.71,0.0
1459975265500,0.71,1.0859999999999999e-06
1459975265510,0.71,7.240000000000001e-07
1459975265520,0.71,1.0859999999999999e-06
1459975265530,0.71,3.6200000000000004e-07
1459975265540,0.71,1.81e-06
1459975265550,0.71,3.6200000000000004e-07
1459975265560,0.71,1.4480000000000002e-06
1459975265570,0.71,3.6200000000000004e-07
1459975265580,0.71,1.4480000000000002e-06
1459975265590,0.71,3.6200000000000004e-07
1459975265600,0.71,1.0859999999999999e-06
1459975265610,0.71,0.0
1459975265620,0.71,2.1719999999999997e-06
1459975265630,0.71,0.0
1459975265640,0.71,1.4480000000000002e-06
1459975265650,0.71,0.0
1459975265660,0.71,1.81e-06
1459975265670,0.71,0.0
1459975265680,0.71,1.4480000000000002e-06
1459975265690,0.71,0.0
1459975265700,0.71,1.4480000000000002e-06
1459975265710,0.71,0.0
1459975265720,0.71,1.0859999999999999e-06
1459975265730,0.71,0.0
1459975265740,0.71,1.4480000000000002e-06
1459975265750,0.71,0.0
1459975265760,0.71,2.1719999999999997e-06
1459975265770,0.71,0.0
1459975265780,0.71,1.81e-06
1459975265790,0.71,0.0
1459975265800,0.71,1.81e-06
1459975265810,0.71,0.0
1459975265820,0.71,1.81e-06
1459975265830,0.71,0.0
1459975265840,0.71,1.81e-06
1459975265850,0.71,0.0
1459975265860,0.71,1.4480000000000002e-06
1459975265870,0.71,0.0
1459975265880,0.71,1.81e-06
1459975265890,0.71,0.0
1459975265900,0.71,2.1719999999999997e-06
1459975265910,0.71,0.0
1459975265920,0.71,7.240000000000001e-07
1459975265930,0.71,3.6200000000000004e-07
1459975265940,0.71,1.0859999999999999e-06
1459975265950,0.71,0.0
1459975265960,0.71,2.5340000000000002e-06
1459975265970,0.71,0.0
1459975265980,0.71,1.4480000000000002e-06
1459975265990,0.71,0.0
1459975266000,0.71,2.1719999999999997e-06
1459975266010,0.71,3.6200000000000004e-07
1459975266020,0.71,1.81e-06
1459975266030,0.71,0.0
1459975266040,0.71,1.4480000000000002e-06
1459975266050,0.71,7.240000000000001e-07
1459975266060,0.71,1.0859999999999999e-06
1459975266070,0.71,3.6200000000000004e-07
1459975266080,0.71,1.81e-06
1459975266090,0.71,0.0
1459975266100,0.71,1.0859999999999999e-06
1459975266110,0.71,0.0
1459975266120,0.71,1.81e-06
1459975266130,0.71,0.0
1459975266140,0.71,2.1719999999999997e-06
1459975266150,0.71,0.0
1459975266160,0.71,1.4480000000000002e-06
1459975266170,0.71,0.0
1459975266180,0.71,1.4480000000000002e-06
1459975266190,0.71,0.0
1459975266200,0.71,2.1719999999999997e-06
1459975266210,0.71,0.0
1459975266220,0.71,1.0859999999999999e-06
1459975266230,0.71,0.0
1459975266240,0.71,3.258e-06
1459975266250,0.71,0.0
1459975266260,0.71,1.81e-06
1459975266270,0.71,0.0
1459975266280,0.71,1.81e-06
1459975266290,0.71,3.6200000000000004e-07
1459975266300,0.71,1.0859999999999999e-06
1459975266310,0.71,0.0
1459975266320,0.71,2.1719999999999997e-06
1459975266330,0.71,0.0
1459975266340,0.71,7.240000000000001e-07
1459975266350,0.71,0.0
1459975266360,0.71,1.81e-06
1459975266370,0.71,0.0
1459975266380,0.71,2.1719999999999997e-06
1459975266390,0.71,0.0
1459975266400,0.71,1.81e-06
1459975266410,0.71,0.0
1459975266420,0.71,2.5340000000000002e-06
1459975266430,0.71,0.0
1459975266440,0.71,7.240000000000001e-07
1459975266450,0.71,0.0
1459975266460,0.71,1.4480000000000002e-06
1459975266470,0.71,3.6200000000000004e-07
1459975266480,0.71,2.1719999999999997e-06
1459975266490,0.71,0.0
1459975266500,0.71,1.81e-06
1459975266510,0.71,0.0
1459975266520,0.71,1.0859999999999999e-06
1459975266530,0.71,3.6200000000000004e-07
1459975266540,0.71,1.0859999999999999e-06
1459975266550,0.71,0.0
1459975266560,0.71,1.81e-06
1459975266570,0.71,3.6200000000000004e-07
1459975266580,0.71,1.0859999999999999e-06
1459975266590,0.71,0.0
1459975266600,0.71,1.0859999999999999e-06
1459975266610,0.71,7.240000000000001e-07
1459975266620,0.71,1.4480000000000002e-06
1459975266630,0.71,7.240000000000001e-07
1459975266640,0.71,1.81e-06
1459975266650,0.71,0.0
1459975266660,0.71,1.81e-06
1459975266670,0.71,7.240000000000001e-07
1459975266680,0.71,1.81e-06
1459975266690,0.71,3.6200000000000004e-07
1459975266700,0.71,2.1719999999999997e-06
1459975266710,0.71,3.6200000000000004e-07
1459975266720,0.71,1.4480000000000002e-06
1459975266730,0.71,0.0
1459975266740,0.71,2.1719999999999997e-06
1459975266750,0.71,0.0
1459975266760,0.71,1.4480000000000002e-06
1459975266770,0.71,0.0
1459975266780,0.71,1.4480000000000002e-06
1459975266790,0.71,0.0
1459975266800,0.71,1.4480000000000002e-06
1459975266810,0.71,1.0859999999999999e-06
1459975266820,0.71,3.6200000000000004e-07
1459975266830,0.71,3.6200000000000004e-07
1459975266840,0.71,1.4480000000000002e-06
1459975266850,0.71,7.240000000000001e-07
1459975266860,0.71,1.81e-06
1459975266870,0.71,0.0
1459975266880,0.71,2.1719999999999997e-06
1459975266890,0.71,0.0
1459975266900,0.71,1.4480000000000002e-06
1459975266910,0.71,0.0
1459975266920,0.71,2.1719999999999997e-06
1459975266930,0.71,7.240000000000001e-07
1459975266940,0.71,3.6200000000000004e-07
1459975266950,0.71,3.6200000000000004e-07
1459975266960,0.71,1.4480000000000002e-06
1459975266970,0.71,0.0
1459975266980,0.71,1.81e-06
1459975266990,0.71,0.0
1459975267000,0.71,1.4480000000000002e-06
1459975267010,0.71,0.0
1459975267020,0.71,1.0859999999999999e-06
1459975267030,0.71,0.0
1459975267040,0.71,1.0859999999999999e-06
1459975267050,0.71,7.240000000000001e-07
1459975267060,0.71,1.0859999999999999e-06
1459975267070,0.71,7.240000000000001e-07
1459975267080,0.71,1.4480000000000002e-06
1459975267090,0.71,7.240000000000001e-07
1459975267100,0.71,1.4480000000000002e-06
1459975267110,0.71,1.0859999999999999e-06
1459975267120,0.71,1.0859999999999999e-06
1459975267130,0.71,1.81e-06
1459975267140,0.71,1.81e-06
1459975267150,0.71,7.240000000000001e-07
1459975267160,0.71,1.0859999999999999e-06
1459975267170,0.71,7.240000000000001e-07
1459975267180,0.71,1.0859999999999999e-06
1459975267190,0.71,3.6200000000000004e-07
1459975267200,0.71,1.81e-06
1459975267210,0.71,3.6200000000000004e-07
1459975267220,0.71,1.4480000000000002e-06
1459975267230,0.71,7.240000000000001e-07
1459975267240,0.71,1.4480000000000002e-06
1459975267250,0.71,3.6200000000000004e-07
1459975267260,0.71,1.0859999999999999e-06
