Timestamp,position,BLMTI.05L3.B1I10_TCSG.5L3.B1
1459973323650,0.4,1.4480000000000002e-06
1459973323660,0.4,1.81e-06
1459973323670,0.4,7.240000000000001e-07
1459973323680,0.4,1.4480000000000002e-06
1459973323690,0.4,7.240000000000001e-07
1459973323700,0.4,2.1719999999999997e-06
1459973323710,0.4,2.1719999999999997e-06
1459973323720,0.4,1.4480000000000002e-06
1459973323730,0.4,1.0859999999999999e-06
1459973323740,0.4,1.0859999999999999e-06
1459973323750,0.4,1.0859999999999999e-06
1459973323760,0.4,1.4480000000000002e-06
1459973323770,0.4,7.240000000000001e-07
1459973323780,0.4,1.4480000000000002e-06
1459973323790,0.4,2.1719999999999997e-06
1459973323800,0.4,2.5340000000000002e-06
1459973323810,0.4,2.1719999999999997e-06
1459973323820,0.4,2.1719999999999997e-06
1459973323830,0.4,2.1719999999999997e-06
1459973323840,0.4,1.0859999999999999e-06
1459973323850,0.4,1.0859999999999999e-06
1459973323860,0.4,1.0859999999999999e-06
1459973323870,0.4,1.0859999999999999e-06
1459973323880,0.4,1.4480000000000002e-06
1459973323890,0.4,1.4480000000000002e-06
1459973323900,0.4,2.1719999999999997e-06
1459973323910,0.4,1.4480000000000002e-06
1459973323920,0.4,2.1719999999999997e-06
1459973323930,0.4,1.0859999999999999e-06
1459973323940,0.4,7.240000000000001e-07
1459973323950,0.4,3.6200000000000004e-07
1459973323960,0.4,1.4480000000000002e-06
1459973323970,0.4,1.81e-06
1459973323980,0.4,1.81e-06
1459973323990,0.4,2.1719999999999997e-06
1459973324000,0.4,2.1719999999999997e-06
1459973324010,0.4,1.81e-06
1459973324020,0.4,1.4480000000000002e-06
1459973324030,0.4,1.4480000000000002e-06
1459973324040,0.4,1.4480000000000002e-06
1459973324050,0.4,7.240000000000001e-07
1459973324060,0.4,1.0859999999999999e-06
1459973324070,0.4,1.81e-06
1459973324080,0.4,1.0859999999999999e-06
1459973324090,0.4,1.81e-06
1459973324100,0.4,1.4480000000000002e-06
1459973324110,0.4,1.81e-06
1459973324120,0.4,1.81e-06
1459973324130,0.4,1.81e-06
1459973324140,0.4,1.4480000000000002e-06
1459973324150,0.4,1.0859999999999999e-06
1459973324160,0.4,1.0859999999999999e-06
1459973324170,0.4,1.81e-06
1459973324180,0.4,1.0859999999999999e-06
1459973324190,0.4,1.0859999999999999e-06
1459973324200,0.4,1.0859999999999999e-06
1459973324210,0.4,7.240000000000001e-07
1459973324220,0.4,1.81e-06
1459973324230,0.4,1.0859999999999999e-06
1459973324240,0.4,1.0859999999999999e-06
1459973324250,0.4,2.1719999999999997e-06
1459973324260,0.4,1.0859999999999999e-06
1459973324270,0.4,1.0859999999999999e-06
1459973324280,0.4,1.81e-06
1459973324290,0.4,1.4480000000000002e-06
1459973324300,0.4,7.240000000000001e-07
1459973324310,0.4,1.4480000000000002e-06
1459973324320,0.4,1.4480000000000002e-06
1459973324330,0.4,1.81e-06
1459973324340,0.4,3.6200000000000004e-07
1459973324350,0.4,1.4480000000000002e-06
1459973324360,0.4,2.1719999999999997e-06
1459973324370,0.4,1.81e-06
1459973324380,0.4,1.4480000000000002e-06
1459973324390,0.4,7.240000000000001e-07
1459973324400,0.4,7.240000000000001e-07
1459973324410,0.4,1.4480000000000002e-06
1459973324420,0.4,1.81e-06
1459973324430,0.4,0.0
1459973324440,0.4,1.4480000000000002e-06
1459973324450,0.4,7.240000000000001e-07
1459973324460,0.4,1.4480000000000002e-06
1459973324470,0.4,1.0859999999999999e-06
1459973324480,0.4,1.81e-06
1459973324490,0.4,1.4480000000000002e-06
1459973324500,0.4,1.4480000000000002e-06
1459973324510,0.4,1.4480000000000002e-06
1459973324520,0.4,7.240000000000001e-07
1459973324530,0.4,7.240000000000001e-07
1459973324540,0.4,2.1719999999999997e-06
1459973324550,0.4,7.240000000000001e-07
1459973324560,0.4,1.4480000000000002e-06
1459973324570,0.4,7.240000000000001e-07
1459973324580,0.4,2.5340000000000002e-06
1459973324590,0.4,1.0859999999999999e-06
1459973324600,0.4,1.4480000000000002e-06
1459973324610,0.4,1.4480000000000002e-06
1459973324620,0.4,1.81e-06
1459973324630,0.4,1.0859999999999999e-06
1459973324640,0.4,1.4480000000000002e-06
1459973324650,0.4,1.0859999999999999e-06
1459973324660,0.4,1.4480000000000002e-06
1459973324670,0.4,1.4480000000000002e-06
1459973324680,0.4,1.81e-06
1459973324690,0.4,3.6200000000000004e-07
1459973324700,0.4,1.4480000000000002e-06
1459973324710,0.4,7.240000000000001e-07
1459973324720,0.4,1.81e-06
1459973324730,0.4,1.81e-06
1459973324740,0.4,7.240000000000001e-07
1459973324750,0.4,1.81e-06
1459973324760,0.4,1.0859999999999999e-06
1459973324770,0.4,1.0859999999999999e-06
1459973324780,0.4,1.81e-06
1459973324790,0.4,1.4480000000000002e-06
1459973324800,0.4,1.0859999999999999e-06
1459973324810,0.4,7.240000000000001e-07
1459973324820,0.4,1.81e-06
1459973324830,0.4,1.81e-06
1459973324840,0.4,2.5340000000000002e-06
1459973324850,0.4,1.0859999999999999e-06
1459973324860,0.4,1.81e-06
1459973324870,0.4,7.240000000000001e-07
1459973324880,0.4,1.81e-06
1459973324890,0.4,1.0859999999999999e-06
1459973324900,0.4,7.240000000000001e-07
1459973324910,0.4,1.0859999999999999e-06
1459973324920,0.4,1.81e-06
1459973324930,0.4,1.0859999999999999e-06
1459973324940,0.4,1.81e-06
1459973324950,0.4,2.1719999999999997e-06
1459973324960,0.4,1.4480000000000002e-06
1459973324970,0.4,3.6200000000000004e-07
1459973324980,0.4,7.240000000000001e-07
1459973324990,0.4,7.240000000000001e-07
1459973325000,0.4,2.1719999999999997e-06
1459973325010,0.4,1.0859999999999999e-06
1459973325020,0.4,1.4480000000000002e-06
1459973325030,0.4,2.5340000000000002e-06
1459973325040,0.4,1.4480000000000002e-06
1459973325050,0.4,7.240000000000001e-07
1459973325060,0.4,1.4480000000000002e-06
1459973325070,0.4,1.0859999999999999e-06
1459973325080,0.4,1.81e-06
1459973325090,0.4,7.240000000000001e-07
1459973325100,0.4,3.6200000000000004e-07
1459973325110,0.4,1.4480000000000002e-06
1459973325120,0.4,7.240000000000001e-07
1459973325130,0.4,1.0859999999999999e-06
1459973325140,0.4,1.0859999999999999e-06
1459973325150,0.4,7.240000000000001e-07
1459973325160,0.4,1.4480000000000002e-06
1459973325170,0.4,3.6200000000000004e-07
1459973325180,0.4,1.4480000000000002e-06
1459973325190,0.4,7.240000000000001e-07
1459973325200,0.4,7.240000000000001e-07
1459973325210,0.4,1.4480000000000002e-06
1459973325220,0.4,1.0859999999999999e-06
1459973325230,0.4,7.240000000000001e-07
1459973325240,0.4,1.4480000000000002e-06
1459973325250,0.4,7.240000000000001e-07
1459973325260,0.4,7.240000000000001e-07
1459973325270,0.4,1.4480000000000002e-06
1459973325280,0.4,1.4480000000000002e-06
1459973325290,0.4,1.0859999999999999e-06
1459973325300,0.4,2.5340000000000002e-06
1459973325310,0.4,7.240000000000001e-07
1459973325320,0.4,1.0859999999999999e-06
1459973325330,0.4,1.0859999999999999e-06
1459973325340,0.4,1.81e-06
1459973325350,0.4,7.240000000000001e-07
1459973325360,0.4,1.81e-06
1459973325370,0.4,7.240000000000001e-07
1459973325380,0.4,1.0859999999999999e-06
1459973325390,0.4,1.4480000000000002e-06
1459973325400,0.4,1.0859999999999999e-06
1459973325410,0.4,1.0859999999999999e-06
1459973325420,0.4,1.0859999999999999e-06
1459973325430,0.4,1.0859999999999999e-06
1459973325440,0.4,1.4480000000000002e-06
1459973325450,0.4,1.0859999999999999e-06
1459973325460,0.4,7.240000000000001e-07
1459973325470,0.4,2.1719999999999997e-06
1459973325480,0.4,1.4480000000000002e-06
1459973325490,0.4,1.81e-06
1459973325500,0.4,7.240000000000001e-07
1459973325510,0.4,1.81e-06
1459973325520,0.4,1.0859999999999999e-06
1459973325530,0.4,1.81e-06
1459973325540,0.4,1.4480000000000002e-06
1459973325550,0.4,1.4480000000000002e-06
1459973325560,0.4,7.240000000000001e-07
1459973325570,0.4,2.1719999999999997e-06
1459973325580,0.4,3.6200000000000004e-07
1459973325590,0.4,7.240000000000001e-07
1459973325600,0.4,2.1719999999999997e-06
1459973325610,0.4,3.6200000000000004e-07
1459973325620,0.4,2.1719999999999997e-06
1459973325630,0.4,1.0859999999999999e-06
1459973325640,0.4,1.0859999999999999e-06
1459973325650,0.4,1.0859999999999999e-06
1459973325660,0.4,1.81e-06
1459973325670,0.4,1.81e-06
1459973325680,0.4,3.6200000000000004e-07
1459973325690,0.4,1.0859999999999999e-06
1459973325700,0.4,1.0859999999999999e-06
1459973325710,0.4,7.240000000000001e-07
1459973325720,0.4,2.1719999999999997e-06
1459973325730,0.4,0.0
1459973325740,0.4,1.4480000000000002e-06
1459973325750,0.4,7.240000000000001e-07
1459973325760,0.4,1.0859999999999999e-06
