,Jaw,Spike height,Position in sigma,Maximum value,Exp_a,Exp_b,Exp_c,Spike,Collimator type,Beam Type,Beam State
0,0,19.130189097103916,3.643149380094707,19.548,12.320169035677601,0.03243916668111532,0.9929293250569609,1,TCP,PROTON,I
1,1,59.756788,3.8917259189797533,60.092,56.136506154800884,0.21159942066729,0.8252808275443642,1,TCTPH,PROTON,I
2,1,1.753489953632148,6.999525766042671,2.534,1.8836683755592747,1.3550959298060603,0.6882475578361494,1,TCLA,PROTON,I
3,1,18.861146881287727,4.483381758995989,19.186,14.745537585841086,0.06259244662348766,0.5325302972082867,1,TCTPH,PROTON,I
4,0,16.398600000000002,2.899926440883638,19.91,12.99572362231366,0.46456725655545245,6.962623101086762,1,TCTPV,PROTON,I
5,1,19.0061782674011,7.364165532187685,19.91,18.584957612168267,0.10137692022272417,0.72368201680132,1,TCSG,PROTON,I
6,0,18.822793333333333,3.0650607240233,20.272,16.02511741425519,0.044655232648994424,2.558021337817349,1,TCP,PROTON,I
7,0,1.0003870000000004,6.5970001347360885,1.4480000000000004,0.8992587655934797,35.26809288781946,0.5487412344065533,1,TCP,PROTON,I
8,0,85.317065,3.52840451772952,86.156,69.9067588293146,0.02616324370516061,-3.4937118442340243,1,TCP,PROTON,I
9,0,3.362256,5.125270518978381,3.62,2.389200389892306,0.0489511181883692,0.31644709315713676,1,TCP,PROTON,I
10,0,3.682988,4.776254895950935,3.982,2.1992424368508114,0.04464037377684916,0.3383773795190607,1,TCP,PROTON,I
11,1,71.7799405940594,3.0700628321385497,74.934,77.0867696166768,0.16326821661170082,3.7560838890605805,1,TCSG,PROTON,I
12,1,37.49475333333333,2.939731089644504,40.544,37.649288418606254,0.4009642893008771,3.007376536439183,1,TCSG,PROTON,I
13,1,25.840916478555307,13.383973948054326,29.322000000000003,26.107613162078415,0.13051582615624566,1.5350748060364094,1,TCLIA,PROTON,I
14,1,18.938745117676515,7.569503481120674,19.91,18.584957612168267,0.10137692022272417,0.72368201680132,1,TCSG,PROTON,I
15,0,3.6933872727272727,5.077460159659553,3.982,3.207796723045232,0.1460256578776236,0.33877225272113404,1,TCP,PROTON,I
16,1,123.08995500000002,4.055094412475938,124.16600000000001,111.88626248440363,0.1161021665924672,2.1155058181839204,1,TCLIB,PROTON,I
17,0,95.96772212065814,2.9643232314757593,99.188,98.12629941271759,0.028306975805921626,2.130752516753968,1,TCP,PROTON,I
18,0,57.87366400000001,2.6748008539629717,59.36800000000001,63.697483783905035,0.1555307033954956,-0.03616826302219196,1,TCLA,PROTON,I
19,0,58.45148450244698,2.6712722656264445,62.988,53.40016116453593,0.122938811556767,10.456403708249416,1,TCP,PROTON,I
20,0,233.43751,2.7890896648333023,238.558,177.2541461922994,0.0774569872385436,8.53741430413271,1,TCSG,PROTON,I
21,1,15.22556056056056,3.9336726654118706,15.565999999999999,14.981527328454666,0.14353040807780384,0.7152355611741669,1,TCTPH,PROTON,I
22,1,15.214689689689688,3.929011915808302,15.565999999999999,14.981527328454666,0.14353040807780384,0.7152355611741669,1,TCTPH,PROTON,I
23,1,9.729353333333332,3.6574924878903556,10.86,8.920515459046083,0.1622981388756986,0.8659759424503746,1,TCP,PROTON,I
24,0,21.293202863961813,2.5704115613892964,22.806,19.684661026442964,0.08994562039952907,2.4210824235778396,1,TCLA,PROTON,I
25,1,216.44885000000002,2.9400478716604166,219.01000000000002,212.87662444637573,0.15479123707976103,4.449194978658689,1,TCP,PROTON,I
26,0,30.559648648648643,9.91864807489988,34.751999999999995,32.360229874512356,0.34166256505700915,4.572650980967266,1,TCP,PROTON,I
27,0,5.067705211726384,4.384209949536544,5.43,4.754362184802236,0.5996287772791988,0.6428809766009203,1,TCP,PROTON,I
28,1,9.078959999999999,3.609682128571527,10.86,8.175698062034586,0.10505645899769094,0.9270410708626423,1,TCP,PROTON,I
29,1,68.77999999999999,2.5674124883885208,80.36399999999999,62.278922422611565,0.12529582762770164,9.789749006273128,1,TCP,PROTON,I
30,0,4.620568,6.072103198156726,5.068,3.2912241348741618,0.09974397767091228,0.47435719274915505,1,TCP,PROTON,I
31,0,10.436922958397535,5.894639132956329,10.86,8.055761928233432,0.06625671680141794,0.47622228656415444,1,TCP,PROTON,I
32,1,47.146879999999996,2.5531584656022766,51.041999999999994,15.21173867520916,0.018625114356819097,7.710472424821194,1,TCP,PROTON,I
33,0,18.861146881287727,4.40889151170218,19.186,14.745537585841086,0.06259244662348766,0.5325302972082867,1,TCTPH,PROTON,I
34,1,137.59217777777778,15.24382141286458,149.868,129.49679669683363,0.27863092730296085,9.8788301296575,1,TCLIA,PROTON,I
35,1,34.60539,2.6578939857766626,40.182,29.98921136625565,0.13030901033155853,4.577451056328083,1,TCP,PROTON,I
36,0,24.972020330368487,2.9123731971808104,27.512,20.11897160280562,0.062186950804577146,5.364386939194882,1,TCP,PROTON,I
37,1,17.803393548387096,12.588260554586865,19.186,15.81415022448965,0.44128378631475357,1.1158019626122075,1,TCTPV,PROTON,I
38,1,9.997781818181817,4.602391775734509,10.498,5.008031727201411,0.02091023572953646,0.6392044542309534,1,TCP,PROTON,I
39,0,69.358838,3.64049164759899,70.22800000000001,49.536333638016885,0.04770376403146784,1.7489669869999411,1,TCLA,PROTON,I
40,1,32.12026000000001,2.884097729247017,35.83800000000001,17.96459898659282,0.01069291743165984,2.799926283974899,1,TCP,PROTON,I
41,0,31.765857707509877,2.5333152650924142,40.544,13.600622695330612,0.009641250634521304,8.708117111877833,1,TCP,PROTON,I
42,1,6.5341181181181165,4.143406397572456,6.877999999999998,12.910924527024818,0.087990076329254,0.6935738040093267,1,TCTPH,PROTON,I
43,1,28.200446428571425,3.1858031991200857,33.666,29.34357554477535,0.3510897834066591,5.797905360572731,1,TCSG,PROTON,I
44,1,65.14361316872427,13.852932621129689,66.97,65.58524781155515,0.37330451554087024,3.641208179399071,1,TCLIA,PROTON,I
45,1,27.998286666666665,2.754030576751563,31.494,26.893167952026573,0.0732292607662592,3.09202852398967,1,TCP,PROTON,I
46,1,11.560938223938225,3.557090733320816,13.032,10.828533501015013,0.05567805941918559,1.4447745724268473,1,TCP,PROTON,I
47,0,101.15167536889898,4.055094412475938,101.722,96.45442286015627,0.1706771809124974,1.7227645040964055,1,TCLIB,PROTON,I
48,0,102.80076,3.4300771014942644,103.532,104.17879086572799,0.21511800244465074,2.183549607863091,1,TCSG,PROTON,I
49,0,7.969098591549295,4.446136635349084,8.325999999999999,8.650553538634663,0.19756222690136854,0.39845736382175007,1,TCTPH,PROTON,I
50,0,4.622739999999999,6.177082585472598,5.068,3.2912241348741618,0.09974397767091228,0.47435719274915505,1,TCP,PROTON,I
51,0,25.811215297450424,2.742720389578045,30.046,24.561845718732275,0.0432580975406384,5.88226138603973,1,TCP,PROTON,I
52,0,91.34116744621141,2.553158465602276,92.31,72.1266146050208,0.06245399649882824,4.480219472516588,1,TCP,PROTON,I
53,0,558.4927294589178,2.628363339137226,561.462,535.8847079668448,0.6608033631938888,7.646452110701423,1,TCLA,PROTON,I
54,0,292.5435868544601,2.477048206832004,295.392,247.10060136321326,0.17587021093773506,10.764271308751958,1,TCP,PROTON,I
55,0,240.59726666666666,2.843320081364848,242.178,283.7607145330511,0.32206642680788167,-1.9634824451547872,1,TCLA,PROTON,I
56,0,26.242493074792243,2.615836010613039,28.96,20.448442198329197,0.09736102148517921,3.3968348514819766,1,TCLA,PROTON,I
57,1,21.29284,3.6718926608892737,22.082,11.720963519369812,0.0246182628828014,1.057961983760015,1,TCP,PROTON,I
58,0,44.306809,2.827936259041174,44.888,28.711315777854114,0.04706069777832074,1.5129776453057866,1,TCTPV,PROTON,I
59,0,235.963908,2.4117091778956805,239.282,228.12702149936626,0.08127108434105673,7.717554758467456,1,TCLA,PROTON,I
60,0,42.9345575,4.169726056644868,43.802,33.4846416947395,0.0764929272548854,2.3410580141554274,1,TCLIB,PROTON,I
61,0,2.993378,4.6089186383350365,3.258,2.3471677850062544,0.07570879373892736,0.35058171991674564,1,TCP,PROTON,I
62,1,150.95218999999997,2.6092807151583206,158.55599999999998,167.65918622626003,0.04324971646170584,5.2357797362231,1,TCP,PROTON,I
63,1,48.69986,2.595687956322315,61.54,42.6116460816187,0.018629104384357446,8.093927951596442,1,TCP,PROTON,I
64,1,20.260054,3.5236234817976366,21.358,19.88916557590396,0.22818584137067038,1.4333423411149253,1,TCP,PROTON,I
65,1,452.47634933333336,2.6190758361720765,455.396,467.1038893950926,0.311177475813209,9.736459465209023,1,TCLA,PROTON,I
66,1,4.537854126679462,4.73600190504562,5.068,2.8649646706105565,0.018472413183415314,0.6489454779169928,1,TCP,PROTON,I
67,1,129.11092000000002,2.662248072763369,134.30200000000002,128.85997452141828,0.08221868964233281,5.26110663621139,1,TCP,PROTON,I
68,1,10.321209302325581,14.321891294205058,11.584,8.17602526808864,0.2477636473621814,3.707902270557441,1,TCLIA,PROTON,I
69,0,33.666,2.751590470700899,34.751999999999995,34.6585893575024,0.10045353541972883,2.5757692041437688,1,TCP,PROTON,I
70,0,31.907020134228183,3.5714338411164652,33.303999999999995,29.986746952732418,0.3032287066661322,3.671942061235485,1,TCP,PROTON,I
71,0,20.676410041841002,4.275005382233578,20.996,19.10394046868527,0.18521217559292852,2.043814967727387,1,TCTPH,PROTON,I
72,0,166.32122645290582,3.1681355811739196,167.606,180.6352297070062,0.23454631659031266,2.7411127312657713,1,TCLIA,PROTON,I
73,0,26.33188,2.594509169777321,27.874000000000002,23.76552080642452,0.12555738128209937,2.110578533068576,1,TCLA,PROTON,I
74,0,98.88953099999999,3.072333490182819,99.55,77.8572386942554,0.10360429152080222,2.3153570441875235,1,TCP,PROTON,I
75,0,31.554930693069302,2.7071165050032318,33.303999999999995,27.738154977426788,0.1553170810105171,2.350195917714346,1,TCTPV,PROTON,I
76,0,51.391329999999996,2.5463139530012717,53.57599999999999,33.39402521023029,0.03648434108408446,3.825826655374745,1,TCLA,PROTON,I
