,Jaw,Spike height,Position in sigma,Maximum value,Exp_a,Exp_b,Exp_c,Spike,Collimator type,Beam Type,Beam State
0,1,0.7726622950819673,14.184285968061424,1.086,0.7136340852034426,1.3343743752112938,0.34902085848799946,0,TCTPV,PROTON,FT
1,1,1.462842,19.91272296770771,1.81,1.447395657164221,34.35596382825577,0.3626043428359185,0,TCTPV,PROTON,FT
2,0,1.1167700000000003,13.203391084894482,1.4480000000000004,1.1101736172507,22.516533049165805,0.33782637480841016,0,TCTPV,PROTON,FT
3,1,1.4557829999999998,18.576238408163366,1.81,1.4878864788287245,45.198988527907694,0.3221135211712718,0,TCTPV,PROTON,FT
4,0,1.476598,13.418663765626459,1.81,1.472173619329201,26.40812686462038,0.33782637981581004,0,TCTPV,PROTON,FT
5,0,1.4789974962443666,12.431997312271571,1.81,1.470163263867449,26.001006772153676,0.3398367361325727,0,TCTPV,PROTON,FT
6,0,1.448,14.61163320468282,1.81,1.4812386794479806,19.015823693885192,0.32876127176900266,0,TCTPV,PROTON,FT
7,1,1.4773513513513512,17.733087075296464,1.81,1.4794257121150378,27.62691941501373,0.3305742878848157,0,TCTPV,PROTON,FT
8,1,1.4773660490736105,17.446056834320494,1.81,1.477008346817113,24.667066442157314,0.3329916531829583,0,TCTPV,PROTON,FT
9,1,1.475693,18.226420301973906,1.81,1.472173619329201,26.40812686462038,0.33782637981581004,0,TCTPV,PROTON,FT
10,0,14.652674000000001,6.768095385603919,15.204,14.68245409307041,92.97419184056243,0.5215459069299904,0,TCTPV,PROTON,FT
11,0,1.471168,15.320239112092239,1.81,1.4081441560961583,1.6504509498445556,0.40675887848342185,0,TCTPV,PROTON,FT
12,0,1.4796749999999999,13.068845659436999,1.81,1.4776126891567785,39.49406934944675,0.3323873108433022,0,TCTPV,PROTON,FT
13,1,1.4521629999999999,18.71975352865135,1.81,1.4782170070717136,21.29389508286348,0.3317829736886459,0,TCTPV,PROTON,FT
14,1,1.468272,18.432723287675383,1.81,1.4776126416720095,20.163053521078986,0.3323873122073535,0,TCTPV,PROTON,FT
15,1,1.472435,18.298177862217898,1.81,1.4860734471829187,21.068574502024305,0.3239265455088975,0,TCTPV,PROTON,FT
16,1,1.451077,19.49114730127426,1.81,1.4824474097945877,35.43117604822215,0.32755259020531785,0,TCTPV,PROTON,FT
17,0,1.1378419753086424,16.039840358851844,1.4480000000000004,1.0693120560830038,24.58648083398675,0.3786879439170701,0,TCTPV,PROTON,FT
18,0,1.450172,14.118299978005377,1.81,1.4806343434947968,20.09753234554042,0.32936560923705893,0,TCTPV,PROTON,FT
19,1,1.4733738317757008,20.12799564843969,1.81,1.4050918175119036,23.270763226221046,0.40490818034104337,0,TCTPV,PROTON,FT
20,1,1.47877,17.86763250075395,1.81,1.4776126891567785,39.49406934944675,0.3323873108433022,0,TCTPV,PROTON,FT
21,1,17.553380000000004,10.661637247768258,18.100000000000005,17.565762938982616,104.73762362256126,0.534237061017123,0,TCTPV,PROTON,FT
22,1,1.4775473209814722,17.383268969107,1.81,1.4757996661066415,38.055440339966765,0.3342003338933375,0,TCTPV,PROTON,FT
23,0,1.4773513513513512,12.997088099193006,1.81,1.4794257121150378,27.62691941501373,0.3305742878848157,0,TCTPV,PROTON,FT
24,0,1.451077,14.755148325170804,1.81,1.4824474097945877,35.43117604822215,0.32755259020531785,0,TCTPV,PROTON,FT
25,1,1.477003505257887,17.311511408863012,1.81,1.4665275444187398,19.759836545097915,0.34347244074887806,0,TCTPV,PROTON,FT
26,0,1.113553329994993,12.288482191783586,1.4480000000000004,1.0994627997030493,22.57503426586277,0.3485371920284465,0,TCTPV,PROTON,FT
27,1,19.274327999999997,4.416813762916324,20.272,19.248851420123103,106.48845054292558,1.0231485798768782,0,TCTPV,PROTON,FT
28,1,1.479675,18.011147621241932,1.81,1.4733823051265353,44.20238018010453,0.3366176948734772,0,TCTPV,PROTON,FT
29,0,1.475693,13.490421325870448,1.81,1.472173619329201,26.40812686462038,0.33782637981581004,0,TCTPV,PROTON,FT
30,1,1.8373720580871309,17.589571954808477,2.172,1.842030050083526,24.074046383689737,0.32996994991642276,0,TCTPV,PROTON,FT
31,0,1.4489049999999999,14.683390764926813,1.81,1.484864773318322,23.859999491662887,0.3251352266817064,0,TCTPV,PROTON,FT
32,1,1.0890770000000003,19.634662421762243,1.4480000000000004,1.1156126066601808,18.49682527860491,0.33238731453532416,0,TCTPV,PROTON,FT
33,0,1.47877,13.131633524650491,1.81,1.4776126891567785,39.49406934944675,0.3323873108433022,0,TCTPV,PROTON,FT
34,0,1.4760971457185779,12.36023975202758,1.81,1.4652380933714726,24.173515236357503,0.34476190487495706,0,TCTPV,PROTON,FT
35,0,1.472254,13.624966751327932,1.81,1.481238723944848,22.731545348086435,0.3287612702658212,0,TCTPV,PROTON,FT
36,1,1.478589,18.082905181485923,1.81,1.4733823051265353,44.20238018010453,0.3366176948734772,0,TCTPV,PROTON,FT
37,0,1.4755533299949926,12.781815418461031,1.81,1.477008346817113,24.667066442157314,0.3329916531829583,0,TCTPV,PROTON,FT
38,1,1.4779098647971958,17.239753848619017,1.81,1.4665275444187398,19.759836545097915,0.34347244074887806,0,TCTPV,PROTON,FT
39,0,1.478589,13.346906205382465,1.81,1.4733823051265353,44.20238018010453,0.3366176948734772,0,TCTPV,PROTON,FT
40,1,1.44981,19.06957163484081,1.81,1.4709649441397488,35.89545978268193,0.339035055860071,0,TCTPV,PROTON,FT
41,0,1.4779098647971958,12.503754872515561,1.81,1.4665275444187398,19.759836545097915,0.34347244074887806,0,TCTPV,PROTON,FT
42,1,0.866447,9.224513086994904,1.086,0.8744808008495607,22.86870634911617,0.21151919779883108,0,TCTPV,PROTON,FT
43,1,14.652674000000001,10.491805857980797,15.204,14.68245409307041,92.97419184056243,0.5215459069299904,0,TCTPV,PROTON,FT
44,0,1.44981,14.333572658737353,1.81,1.4709649441397488,35.89545978268193,0.339035055860071,0,TCTPV,PROTON,FT
45,1,1.450715,18.997814074596818,1.81,1.4709649441397488,35.89545978268193,0.339035055860071,0,TCTPV,PROTON,FT
46,0,2.715402222222222,6.623424201710899,3.258,2.7603001084135106,1.9734802068387272,0.5117136578097625,0,TCTPV,PROTON,FT
47,0,1.477003505257887,12.575512432759554,1.81,1.4665275444187398,19.759836545097915,0.34347244074887806,0,TCTPV,PROTON,FT
48,1,1.4755533299949926,17.51781439456449,1.81,1.477008346817113,24.667066442157314,0.3329916531829583,0,TCTPV,PROTON,FT
49,1,1.0874480000000002,19.1413291950848,1.4480000000000004,1.115612686844755,22.825074313786065,0.33238731093540574,0,TCTPV,PROTON,FT
50,0,1.45343,13.9119969923039,1.81,1.4782170070717136,21.29389508286348,0.3317829736886459,0,TCTPV,PROTON,FT
51,0,17.553380000000004,6.937926775391378,18.100000000000005,17.565762938982616,104.73762362256126,0.534237061017123,0,TCTPV,PROTON,FT
52,0,2.0851820128479654,1.3327776066132146,2.534,1.1202603794361186,0.032895034803539516,0.5852208850039865,0,TCP,PROTON,FT
53,0,1.453792,15.03320887111627,1.81,1.468547540879665,19.119457339304546,0.34145241927652675,0,TCTPV,PROTON,FT
54,1,1.4760971457185779,17.096238728131038,1.81,1.4652380933714726,24.173515236357503,0.34476190487495706,0,TCTPV,PROTON,FT
55,1,1.45343,18.647995968407358,1.81,1.4782170070717136,21.29389508286348,0.3317829736886459,0,TCTPV,PROTON,FT
56,1,1.113553329994993,17.024481167887043,1.4480000000000004,1.0994627997030493,22.57503426586277,0.3485371920284465,0,TCTPV,PROTON,FT
57,1,1.472254,18.360965727431388,1.81,1.481238723944848,22.731545348086435,0.3287612702658212,0,TCTPV,PROTON,FT
58,1,1.4789974962443666,17.16799628837503,1.81,1.470163263867449,26.001006772153676,0.3398367361325727,0,TCTPV,PROTON,FT
59,0,1.450534,14.046542417761385,1.81,1.4806343434947968,20.09753234554042,0.32936560923705893,0,TCTPV,PROTON,FT
60,0,1.8373720580871309,12.85357297870502,2.172,1.842030050083526,24.074046383689737,0.32996994991642276,0,TCTPV,PROTON,FT
61,1,1.0885340000000003,18.926056514352826,1.4480000000000004,1.1162170150259176,21.707784924120503,0.3317829705732148,0,TCTPV,PROTON,FT
62,0,1.4753581599123766,15.454784537549724,1.81,1.4050918175119036,23.270763226221046,0.40490818034104337,0,TCTPV,PROTON,FT
63,0,1.0874480000000002,14.405330218981343,1.4480000000000004,1.115612686844755,22.825074313786065,0.33238731093540574,0,TCTPV,PROTON,FT
64,0,1.4671859999999999,15.248481551848247,1.81,1.416574291196735,43.43356535294229,0.3934257088032621,0,TCTPV,PROTON,FT
65,1,1.453792,19.76920784721973,1.81,1.468547540879665,19.119457339304546,0.34145241927652675,0,TCTPV,PROTON,FT
66,1,1.450172,18.854298954108835,1.81,1.4806343434947968,20.09753234554042,0.32936560923705893,0,TCTPV,PROTON,FT
67,0,1.0890770000000003,14.898663445658787,1.4480000000000004,1.1156126066601808,18.49682527860491,0.33238731453532416,0,TCTPV,PROTON,FT
68,0,1.457231,15.104966431360264,1.81,1.447395657164221,34.35596382825577,0.3626043428359185,0,TCTPV,PROTON,FT
69,0,1.809638,14.53987564443883,2.172,1.8414257059500796,22.956600020069608,0.3305742893670973,0,TCTPV,PROTON,FT
70,1,1.138718446601942,14.32702092119915,1.4480000000000004,1.1055505079911037,21.735236356433937,0.3424494770016899,0,TCTPV,PROTON,FT
71,1,2.715402222222222,10.347134674087778,3.258,2.7603001084135106,1.9734802068387272,0.5117136578097625,0,TCTPV,PROTON,FT
72,1,1.45162,19.562904861518255,1.81,1.4824474097945877,35.43117604822215,0.32755259020531785,0,TCTPV,PROTON,FT
73,1,1.1378419753086424,14.0415510149237,1.4480000000000004,1.0693120560830038,24.58648083398675,0.3786879439170701,0,TCTPV,PROTON,FT
