,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,1,2.6118300000000003,5.149802070975594,3.62,1.2929073886602833,0.03757620709644222,1.016709825022213,0,TCP,PROTON,FT
1,0,0.9258846153846156,3.845375655117101,1.4480000000000004,0.9246410683378719,24.81382420279684,0.5233589316638921,0,TCSG,PROTON,FT
2,0,2.6118300000000003,5.188595306915148,3.62,1.2929073886602833,0.03757620709644222,1.016709825022213,0,TCP,PROTON,FT
3,1,9.94595,3.7020815118372266,14.48,11.630322178616819,0.7038417723737521,3.9339869805804,0,TCTPH,PROTON,FT
4,1,7.880739999999999,4.694024125155737,9.774,8.12673394733929,60.89649013573523,1.6472660526503367,0,TCTPV,PROTON,FT
5,1,12.94623940149626,4.459713436712023,14.48,13.163636363636364,67.27414842706804,1.3163636363636364,0,TCTPV,PROTON,FT
