,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
462,1536860732_TCTPH.4R2.B2_Align,0,1483.9592337662339,1.8811753004162117,1540.49,1471.760641229296,406.0111594267655,68.72935877070398,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860732_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
463,1536867584_TCP.D6R7.B2_Align,1,6.989960784313725,1.9967394689371316,7.7829999999999995,6.612929911007401,0.26513073312867225,0.7293085620545021,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867584_TCP.D6R7.B2_Align,TCP,PROTON,I
464,1536860595_TCTPH.4R2.B2_Align,1,15.100821782178217,19.37784742324323,15.565999999999999,11.702998987228494,0.2637556057803349,3.059103306760034,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860595_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
465,1536860595_TCTPH.4R2.B2_Align,0,15.100821782178217,2.316632545879865,15.565999999999999,11.702998987228494,0.2637556057803349,3.059103306760034,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860595_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
466,1536864703_TCP.C6R7.B2_Align,1,57.98858947368421,3.0865268456776174,62.988,36.14823566889545,0.0852157011796629,5.672427482926323,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536864703_TCP.C6R7.B2_Align,TCP,PROTON,I
467,1536856712_TCTPV.4L5.B1_Align,0,17.022990196078432,2.2688224936867476,18.1,14.127286884999927,0.24374825040780843,1.608239035822737,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856712_TCTPV.4L5.B1_Align,TCTPV,PROTON,I
468,1536867700_TCTPV.4R5.B2_Align,0,83.36810000000001,2.9408531285482256,86.156,77.96064427416145,0.23528079688957015,5.454436405531964,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867700_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
469,1536868309_TCTPV.4R5.B2_Align,0,34.000419047619054,3.3190979052009792,45.431000000000004,37.485370244301656,0.9324871368325778,10.757074646197708,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536868309_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
470,1536857407_TCSG.A4L7.B1_Align,0,90.50995505617978,3.441291439409913,96.473,77.75245859322324,0.1535993321280061,6.358184967272194,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857407_TCSG.A4L7.B1_Align,TCSG,PROTON,I
471,1536867830_TCTPV.4R5.B2_Align,1,2.70396,3.593325366017792,3.258,2.1782051899658215,0.20909916638785872,0.7378189646146892,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867830_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
472,1536867830_TCTPV.4R5.B2_Align,0,2.70396,4.926638199198078,3.258,2.1782051899658215,0.20909916638785872,0.7378189646146892,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867830_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
473,1536855419_TCTPH.4R8.B2_Align,1,46.38079518072289,8.81142139537376,49.051,48.66395181622751,0.3052517156204407,2.6009965907026045,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855419_TCTPH.4R8.B2_Align,TCTPH,PROTON,I
474,1536865571_TCTPH.4R2.B2_Align,0,111.7605512820513,11.46994384559329,268.785,201.87510746736274,0.6164719338958538,44.625872409280866,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536865571_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
475,1536856699_TCTPV.4R5.B2_Align,1,40.61465555555556,2.3167492491778625,42.173,33.249905020705626,0.30441784198205574,2.4955829358594954,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856699_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
476,1536856536_TCSG.D4L7.B1_Align,1,5.682505154639175,1.9797877893715317,6.335,5.061509309544117,0.317742238008306,1.039998037834668,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856536_TCSG.D4L7.B1_Align,TCSG,PROTON,I
477,1536856536_TCSG.D4L7.B1_Align,0,5.682505154639175,1.6829596342465212,6.335,5.061509309544117,0.317742238008306,1.039998037834668,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856536_TCSG.D4L7.B1_Align,TCSG,PROTON,I
478,1536860088_TCTPH.4R2.B2_Align,1,34.90229464285715,23.227289472427145,56.11000000000001,33.50727692307692,66.38373032339157,22.602723076923077,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860088_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
479,1536860088_TCTPH.4R2.B2_Align,0,34.90229464285715,3.3268933552557813,56.11000000000001,33.50727692307692,66.38373032339157,22.602723076923077,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860088_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
480,1536855507_TCSG.B4L7.B1_Align,1,135.40067010309278,3.4817354752463965,137.56,121.38043680757974,0.5572488715255075,6.1839169410890396,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855507_TCSG.B4L7.B1_Align,TCSG,PROTON,I
481,1536856272_TCP.D6L7.B1_Align,1,2.0936489361702124,3.3015854940096854,2.715,1.9297356112908346,0.11171328388838765,0.6619488435740817,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856272_TCP.D6L7.B1_Align,TCP,PROTON,I
482,1536856622_TCLIB.6R2.B1_Align,0,39.15417857142857,,46.516999999999996,30.142522016432643,0.1531714431501085,9.87870025886001,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856622_TCLIB.6R2.B1_Align,TCLIB,PROTON,I
483,1536862426_TCTPH.4R2.B2_Align,1,112.76677083333333,32.65929340831756,144.619,125.77317316537992,0.45165210914861886,30.756683683848742,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536862426_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
