jaw,height,position,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state,Maximum value
0,1.093439598997494,13.459629539903968,1.101108512326202,33.50289225569233,0.3468914865002,0,TCTPV,PROTON,I,
1,0.8049069999999999,17.7155080895301,0.8212988168691651,18.891462762412807,0.2647011687230588,0,TCLIB,PROTON,I,
1,6.123437704918032,7.083521937714047,7.189064753224749,0.3861560955258568,0.9315495135688504,0,TCSG,PROTON,I,
1,11.68536,6.8983386997222125,11.690968279892273,100.599838543439,0.2550317201138002,0,TCTPH,PROTON,I,
0,4.350154000000002,12.288937455386614,4.3276827996483735,34.544517332807324,0.3783172003539115,0,TCSG,PROTON,I,
1,1.3511592356687898,9.488983094261883,1.3402975206611087,26.21572770540979,0.4697024793388282,0,TCSG,PROTON,I,
1,13.761067999999998,11.710727700798651,13.741429320943825,2.2694500277578427,0.3768806241109853,0,TCSG,PROTON,I,
0,1.1621277915632755,26.65185726927649,1.1254371780797212,1.0725500441859472,0.28071543222541145,0,TCLIB,PROTON,I,
1,1.4937865612648222,8.760457921944816,1.5066210350551883,35.69203976356819,0.3033789649447852,0,TCLA,PROTON,I,
0,1.4674252758274824,17.975118159742717,1.4733822950732407,22.466954926804934,0.3366176964125493,0,TCTPV,PROTON,I,
1,1.382478,10.6500961310295,1.3585575914120454,24.077509934379343,0.4514424048735695,0,TCSG,PROTON,I,
0,0.780472,13.381401856661718,0.7711385645858391,36.06587177803964,0.3148614354142152,0,TCTPV,PROTON,I,
0,1.4852841490138786,17.913734864853296,1.4830517548147115,35.840986228872524,0.32694824518515164,0,TCTPH,PROTON,I,
0,1.2929045871559628,11.623583847732322,1.3519098378725858,19.068376969005705,0.458090150741746,0,TCLA,PROTON,I,
1,1.5073650952858575,18.369935422461893,1.518707702416635,17.572705325494645,0.2912921553932477,0,TCTPV,PROTON,I,
1,0.7966900350525788,21.321485815421187,0.8171455253202343,2.617131101977217,0.2699370547207404,0,TCLIB,PROTON,I,
1,1.1758394160583945,8.8324153198569,1.1523666633294811,20.75339909436169,0.2956333338034072,0,TCLA,PROTON,I,
0,1.810543271635818,12.993878115089743,1.7936828046744515,45.80195351736062,0.3783171953255425,0,TCSG,PROTON,I,
0,1.1115977933801409,17.46237036774638,1.0993155589969137,1.571276355033039,0.3614972721455284,0,TCTPV,PROTON,I,
1,1.0876811145510838,7.963103548145773,1.0878130204410523,23.47503649336481,0.3601869783254564,0,TCLA,PROTON,I,
0,0.7272628943415123,19.000982611874626,0.7270216303988829,18.80976321490305,0.35897829786342106,0,TCSG,PROTON,I,
0,1.507549,14.648174565759025,1.5072253728092904,24.74064025175497,0.30277462569347874,0,TCTPV,PROTON,I,
0,0.8078029999999999,18.525906886108814,0.8122336968697774,19.786163448839982,0.2737662780177565,0,TCTPV,PROTON,I,
0,1.1200240437158473,7.915876936368421,1.0793522524469157,24.89599653093345,0.36864774627986097,0,TCSG,PROTON,I,
1,2.1314080882352937,7.154790543864817,2.1011528150134082,40.649066269751756,0.4328471849865953,0,TCSG,PROTON,I,
0,1.1138740000000005,8.027030082301536,1.1071519153538434,23.13871850043389,0.3408480800574549,0,TCLA,PROTON,I,
0,1.501576,7.587261510616832,1.4842604350672992,25.90003780845021,0.3257395649327164,0,TCSG,PROTON,I,
0,1.0776553238199784,7.0234132125474105,1.0829779642858002,13.018312802158992,0.3650218921199466,0,TCLA,PROTON,I,
1,1.501938,15.374057282275233,1.516894824392929,24.332937047373072,0.29310517416672605,0,TCTPV,PROTON,I,
1,2.1495560000000005,8.429883701094239,2.2084300802253485,0.5011649545045376,0.7170755782407447,0,TCLA,PROTON,I,
1,1.7822236710130392,16.60273574961706,1.6660946668799053,1.2027717300220797,0.5010210649560963,0,TCLIA,PROTON,I,
1,6.62307042253521,6.4001637886088725,6.430183637069634,46.964810339208825,0.4478163629304179,0,TCTPH,PROTON,I,
0,4.442974461692539,8.909489266809398,4.446584455894351,3.5397028524640235,0.2590408486721706,0,TCTPH,PROTON,I,
0,1.1283540000000003,20.79172178724928,1.1391819663260243,21.933170479911993,0.3088180296344601,0,TCTPH,PROTON,I,
0,1.1441726354453632,7.459755835190271,1.1557431131036089,22.758070471749647,0.2922568802993656,0,TCLA,PROTON,I,
1,1.1299830000000004,12.027012288461812,1.1240734405923745,19.797558002511327,0.3239265433047421,0,TCTPV,PROTON,I,
