Timestamp,position,BLMTI.05L7.B2I10_TCSG.B5L7.B2
1459607197390,-8.68,3.6200000000000004e-07
1459607197400,-8.68,0.0
1459607197410,-8.68,3.6200000000000004e-07
1459607197420,-8.68,0.0
1459607197430,-8.68,0.0
1459607197440,-8.68,3.6200000000000004e-07
1459607197450,-8.68,3.6200000000000004e-07
1459607197460,-8.68,0.0
1459607197470,-8.68,0.0
1459607197480,-8.68,3.6200000000000004e-07
1459607197490,-8.68,0.0
1459607197500,-8.68,7.240000000000001e-07
1459607197510,-8.68,1.0859999999999999e-06
1459607197520,-8.68,0.0
1459607197530,-8.68,1.0859999999999999e-06
1459607197540,-8.68,0.0
1459607197550,-8.68,0.0
1459607197560,-8.68,0.0
1459607197570,-8.68,3.6200000000000004e-07
1459607197580,-8.68,0.0
1459607197590,-8.68,7.240000000000001e-07
1459607197600,-8.68,0.0
1459607197610,-8.68,7.240000000000001e-07
1459607197620,-8.68,0.0
1459607197630,-8.68,1.0859999999999999e-06
1459607197640,-8.68,0.0
1459607197650,-8.68,0.0
1459607197660,-8.68,3.6200000000000004e-07
1459607197670,-8.68,0.0
1459607197680,-8.68,3.6200000000000004e-07
1459607197690,-8.68,0.0
1459607197700,-8.68,7.240000000000001e-07
1459607197710,-8.68,1.4480000000000002e-06
1459607197720,-8.68,0.0
1459607197730,-8.68,0.0
1459607197740,-8.68,0.0
1459607197750,-8.68,0.0
1459607197760,-8.68,3.6200000000000004e-07
1459607197770,-8.68,1.0859999999999999e-06
1459607197780,-8.68,0.0
1459607197790,-8.68,0.0
1459607197800,-8.68,0.0
1459607197810,-8.68,0.0
1459607197820,-8.68,7.240000000000001e-07
1459607197830,-8.68,3.6200000000000004e-07
1459607197840,-8.68,3.6200000000000004e-07
1459607197850,-8.68,7.240000000000001e-07
1459607197860,-8.68,0.0
1459607197870,-8.68,7.240000000000001e-07
1459607197880,-8.68,0.0
1459607197890,-8.68,0.0
1459607197900,-8.68,3.6200000000000004e-07
1459607197910,-8.68,3.6200000000000004e-07
1459607197920,-8.68,3.6200000000000004e-07
1459607197930,-8.68,0.0
1459607197940,-8.68,3.6200000000000004e-07
1459607197950,-8.68,3.6200000000000004e-07
1459607197960,-8.68,0.0
1459607197970,-8.68,1.0859999999999999e-06
1459607197980,-8.68,3.6200000000000004e-07
1459607197990,-8.68,3.6200000000000004e-07
1459607198000,-8.68,0.0
1459607198010,-8.68,3.6200000000000004e-07
1459607198020,-8.68,0.0
1459607198030,-8.68,1.4480000000000002e-06
1459607198040,-8.68,0.0
1459607198050,-8.68,0.0
1459607198060,-8.68,3.6200000000000004e-07
1459607198070,-8.68,3.6200000000000004e-07
1459607198080,-8.68,7.240000000000001e-07
1459607198090,-8.68,0.0
1459607198100,-8.68,7.240000000000001e-07
1459607198110,-8.68,3.6200000000000004e-07
1459607198120,-8.68,0.0
1459607198130,-8.68,3.6200000000000004e-07
1459607198140,-8.68,3.6200000000000004e-07
1459607198150,-8.68,3.6200000000000004e-07
1459607198160,-8.68,0.0
1459607198170,-8.68,1.0859999999999999e-06
1459607198180,-8.68,0.0
1459607198190,-8.68,7.240000000000001e-07
1459607198200,-8.68,0.0
1459607198210,-8.68,3.6200000000000004e-07
1459607198220,-8.68,0.0
1459607198230,-8.68,1.0859999999999999e-06
1459607198240,-8.68,0.0
1459607198250,-8.68,7.240000000000001e-07
1459607198260,-8.68,0.0
1459607198270,-8.68,1.0859999999999999e-06
1459607198280,-8.68,0.0
1459607198290,-8.68,3.6200000000000004e-07
