Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602013010,-9.83,3.6200000000000004e-07
1459602013020,-9.83,0.0
1459602013030,-9.83,0.0
1459602013040,-9.83,3.6200000000000004e-07
1459602013050,-9.83,1.0859999999999999e-06
1459602013060,-9.83,0.0
1459602013070,-9.83,0.0
1459602013080,-9.83,7.240000000000001e-07
1459602013090,-9.83,0.0
1459602013100,-9.83,3.6200000000000004e-07
1459602013110,-9.83,7.240000000000001e-07
1459602013120,-9.83,7.240000000000001e-07
1459602013130,-9.83,3.6200000000000004e-07
1459602013140,-9.83,3.6200000000000004e-07
1459602013150,-9.83,1.0859999999999999e-06
1459602013160,-9.83,3.6200000000000004e-07
1459602013170,-9.83,0.0
1459602013180,-9.83,0.0
1459602013190,-9.83,3.6200000000000004e-07
1459602013200,-9.83,7.240000000000001e-07
1459602013210,-9.83,3.6200000000000004e-07
1459602013220,-9.83,0.0
1459602013230,-9.83,3.6200000000000004e-07
1459602013240,-9.83,3.6200000000000004e-07
1459602013250,-9.83,7.240000000000001e-07
1459602013260,-9.83,3.6200000000000004e-07
1459602013270,-9.83,7.240000000000001e-07
1459602013280,-9.83,7.240000000000001e-07
1459602013290,-9.83,7.240000000000001e-07
1459602013300,-9.83,3.6200000000000004e-07
1459602013310,-9.83,0.0
1459602013320,-9.83,1.0859999999999999e-06
1459602013330,-9.83,3.6200000000000004e-07
1459602013340,-9.83,0.0
1459602013350,-9.83,0.0
1459602013360,-9.83,0.0
1459602013370,-9.83,7.240000000000001e-07
1459602013380,-9.83,0.0
1459602013390,-9.83,3.6200000000000004e-07
1459602013400,-9.83,7.240000000000001e-07
1459602013410,-9.83,7.240000000000001e-07
1459602013420,-9.83,3.6200000000000004e-07
1459602013430,-9.83,0.0
1459602013440,-9.83,0.0
1459602013450,-9.83,1.0859999999999999e-06
1459602013460,-9.83,3.6200000000000004e-07
1459602013470,-9.83,0.0
1459602013480,-9.83,7.240000000000001e-07
1459602013490,-9.83,1.0859999999999999e-06
1459602013500,-9.83,7.240000000000001e-07
1459602013510,-9.83,3.6200000000000004e-07
1459602013520,-9.83,3.6200000000000004e-07
1459602013530,-9.83,3.6200000000000004e-07
1459602013540,-9.83,0.0
1459602013550,-9.83,7.240000000000001e-07
1459602013560,-9.83,0.0
1459602013570,-9.83,7.240000000000001e-07
1459602013580,-9.83,3.6200000000000004e-07
1459602013590,-9.83,3.6200000000000004e-07
1459602013600,-9.83,3.6200000000000004e-07
1459602013610,-9.83,7.240000000000001e-07
1459602013620,-9.83,7.240000000000001e-07
1459602013630,-9.83,3.6200000000000004e-07
1459602013640,-9.83,3.6200000000000004e-07
1459602013650,-9.83,7.240000000000001e-07
1459602013660,-9.83,0.0
1459602013670,-9.83,3.6200000000000004e-07
1459602013680,-9.83,0.0
1459602013690,-9.83,7.240000000000001e-07
1459602013700,-9.83,3.6200000000000004e-07
1459602013710,-9.83,0.0
1459602013720,-9.83,7.240000000000001e-07
1459602013730,-9.83,7.240000000000001e-07
1459602013740,-9.83,3.6200000000000004e-07
1459602013750,-9.83,3.6200000000000004e-07
1459602013760,-9.83,3.6200000000000004e-07
1459602013770,-9.83,3.6200000000000004e-07
1459602013780,-9.83,3.6200000000000004e-07
1459602013790,-9.83,3.6200000000000004e-07
1459602013800,-9.83,3.6200000000000004e-07
1459602013810,-9.83,3.6200000000000004e-07
1459602013820,-9.83,3.6200000000000004e-07
1459602013830,-9.83,0.0
1459602013840,-9.83,3.6200000000000004e-07
1459602013850,-9.83,0.0
1459602013860,-9.83,3.6200000000000004e-07
1459602013870,-9.83,3.6200000000000004e-07
1459602013880,-9.83,0.0
1459602013890,-9.83,3.6200000000000004e-07
1459602013900,-9.83,0.0
1459602013910,-9.83,0.0
1459602013920,-9.83,3.6200000000000004e-07
1459602013930,-9.83,0.0
1459602013940,-9.83,3.6200000000000004e-07
1459602013950,-9.83,0.0
1459602013960,-9.83,0.0
1459602013970,-9.83,0.0
1459602013980,-9.83,0.0
1459602013990,-9.83,3.6200000000000004e-07
1459602014000,-9.83,0.0
1459602014010,-9.83,3.6200000000000004e-07
1459602014020,-9.83,7.240000000000001e-07
1459602014030,-9.83,3.6200000000000004e-07
1459602014040,-9.83,0.0
1459602014050,-9.83,7.240000000000001e-07
1459602014060,-9.83,7.240000000000001e-07
1459602014070,-9.83,3.6200000000000004e-07
1459602014080,-9.83,0.0
1459602014090,-9.83,0.0
1459602014100,-9.83,0.0
1459602014110,-9.83,0.0
1459602014120,-9.83,3.6200000000000004e-07
1459602014130,-9.83,3.6200000000000004e-07
1459602014140,-9.83,3.6200000000000004e-07
1459602014150,-9.83,0.0
1459602014160,-9.83,7.240000000000001e-07
1459602014170,-9.83,3.6200000000000004e-07
1459602014180,-9.83,3.6200000000000004e-07
1459602014190,-9.83,0.0
1459602014200,-9.83,3.6200000000000004e-07
1459602014210,-9.83,0.0
1459602014220,-9.83,0.0
1459602014230,-9.83,0.0
1459602014240,-9.83,0.0
1459602014250,-9.83,3.6200000000000004e-07
1459602014260,-9.83,3.6200000000000004e-07
1459602014270,-9.83,1.0859999999999999e-06
1459602014280,-9.83,0.0
1459602014290,-9.83,7.240000000000001e-07
1459602014300,-9.83,3.6200000000000004e-07
1459602014310,-9.83,1.0859999999999999e-06
1459602014320,-9.83,0.0
1459602014330,-9.83,3.6200000000000004e-07
1459602014340,-9.83,0.0
1459602014350,-9.83,3.6200000000000004e-07
1459602014360,-9.83,0.0
1459602014370,-9.83,3.6200000000000004e-07
1459602014380,-9.83,3.6200000000000004e-07
1459602014390,-9.83,3.6200000000000004e-07
1459602014400,-9.83,0.0
1459602014410,-9.83,3.6200000000000004e-07
1459602014420,-9.83,3.6200000000000004e-07
1459602014430,-9.83,7.240000000000001e-07
1459602014440,-9.83,0.0
1459602014450,-9.83,7.240000000000001e-07
1459602014460,-9.83,3.6200000000000004e-07
1459602014470,-9.83,1.0859999999999999e-06
1459602014480,-9.83,0.0
1459602014490,-9.83,3.6200000000000004e-07
1459602014500,-9.83,0.0
1459602014510,-9.83,1.0859999999999999e-06
1459602014520,-9.83,3.6200000000000004e-07
1459602014530,-9.83,0.0
1459602014540,-9.83,0.0
1459602014550,-9.83,3.6200000000000004e-07
1459602014560,-9.83,0.0
1459602014570,-9.83,3.6200000000000004e-07
1459602014580,-9.83,7.240000000000001e-07
1459602014590,-9.83,3.6200000000000004e-07
1459602014600,-9.83,3.6200000000000004e-07
1459602014610,-9.83,0.0
1459602014620,-9.83,0.0
1459602014630,-9.83,3.6200000000000004e-07
1459602014640,-9.83,0.0
1459602014650,-9.83,0.0
1459602014660,-9.83,0.0
1459602014670,-9.83,0.0
1459602014680,-9.83,7.240000000000001e-07
1459602014690,-9.83,3.6200000000000004e-07
1459602014700,-9.83,3.6200000000000004e-07
1459602014710,-9.83,7.240000000000001e-07
1459602014720,-9.83,1.0859999999999999e-06
1459602014730,-9.83,0.0
1459602014740,-9.83,3.6200000000000004e-07
1459602014750,-9.83,3.6200000000000004e-07
1459602014760,-9.83,3.6200000000000004e-07
1459602014770,-9.83,3.6200000000000004e-07
1459602014780,-9.83,0.0
1459602014790,-9.83,7.240000000000001e-07
1459602014800,-9.83,0.0
1459602014810,-9.83,3.6200000000000004e-07
1459602014820,-9.83,7.240000000000001e-07
1459602014830,-9.83,0.0
1459602014840,-9.83,0.0
1459602014850,-9.83,3.6200000000000004e-07
1459602014860,-9.83,0.0
1459602014870,-9.83,0.0
1459602014880,-9.83,7.240000000000001e-07
1459602014890,-9.83,0.0
1459602014900,-9.83,3.6200000000000004e-07
1459602014910,-9.83,3.6200000000000004e-07
1459602014920,-9.83,7.240000000000001e-07
1459602014930,-9.83,3.6200000000000004e-07
1459602014940,-9.83,0.0
1459602014950,-9.83,1.0859999999999999e-06
1459602014960,-9.83,0.0
1459602014970,-9.83,7.240000000000001e-07
1459602014980,-9.83,0.0
1459602014990,-9.83,7.240000000000001e-07
1459602015000,-9.83,0.0
1459602015010,-9.83,3.6200000000000004e-07
1459602015020,-9.83,0.0
1459602015030,-9.83,3.6200000000000004e-07
1459602015040,-9.83,3.6200000000000004e-07
1459602015050,-9.83,3.6200000000000004e-07
1459602015060,-9.83,3.6200000000000004e-07
1459602015070,-9.83,7.240000000000001e-07
1459602015080,-9.83,3.6200000000000004e-07
1459602015090,-9.83,3.6200000000000004e-07
1459602015100,-9.83,3.6200000000000004e-07
1459602015110,-9.83,0.0
1459602015120,-9.83,0.0
1459602015130,-9.83,7.240000000000001e-07
1459602015140,-9.83,0.0
1459602015150,-9.83,3.6200000000000004e-07
1459602015160,-9.83,3.6200000000000004e-07
1459602015170,-9.83,7.240000000000001e-07
1459602015180,-9.83,0.0
1459602015190,-9.83,3.6200000000000004e-07
1459602015200,-9.83,3.6200000000000004e-07
1459602015210,-9.83,3.6200000000000004e-07
1459602015220,-9.83,3.6200000000000004e-07
1459602015230,-9.83,7.240000000000001e-07
1459602015240,-9.83,0.0
