Timestamp,position,BLMTI.04L2.B1E10_TCTPH.4L2.B1
1459600200500,-9.185,3.6200000000000004e-07
1459600200510,-9.185,3.6200000000000004e-07
1459600200520,-9.185,0.0
1459600200530,-9.185,7.240000000000001e-07
1459600200540,-9.185,3.6200000000000004e-07
1459600200550,-9.185,7.240000000000001e-07
1459600200560,-9.185,0.0
1459600200570,-9.185,7.240000000000001e-07
1459600200580,-9.185,0.0
1459600200590,-9.185,3.6200000000000004e-07
1459600200600,-9.185,0.0
1459600200610,-9.185,7.240000000000001e-07
1459600200620,-9.185,0.0
1459600200630,-9.185,7.240000000000001e-07
1459600200640,-9.185,0.0
1459600200650,-9.185,0.0
1459600200660,-9.185,3.6200000000000004e-07
1459600200670,-9.185,3.6200000000000004e-07
1459600200680,-9.185,0.0
1459600200690,-9.185,7.240000000000001e-07
1459600200700,-9.185,7.240000000000001e-07
1459600200710,-9.185,3.6200000000000004e-07
1459600200720,-9.185,0.0
1459600200730,-9.185,7.240000000000001e-07
1459600200740,-9.185,0.0
1459600200750,-9.185,7.240000000000001e-07
1459600200760,-9.185,0.0
1459600200770,-9.185,1.0859999999999999e-06
1459600200780,-9.185,3.6200000000000004e-07
1459600200790,-9.185,3.6200000000000004e-07
1459600200800,-9.185,0.0
1459600200810,-9.185,7.240000000000001e-07
1459600200820,-9.185,0.0
1459600200830,-9.185,3.6200000000000004e-07
1459600200840,-9.185,0.0
1459600200850,-9.185,7.240000000000001e-07
1459600200860,-9.185,0.0
1459600200870,-9.185,3.6200000000000004e-07
1459600200880,-9.185,7.240000000000001e-07
1459600200890,-9.185,3.6200000000000004e-07
1459600200900,-9.185,0.0
1459600200910,-9.185,3.6200000000000004e-07
1459600200920,-9.185,7.240000000000001e-07
1459600200930,-9.185,3.6200000000000004e-07
1459600200940,-9.185,0.0
1459600200950,-9.185,3.6200000000000004e-07
1459600200960,-9.185,0.0
1459600200970,-9.185,3.6200000000000004e-07
1459600200980,-9.185,0.0
1459600200990,-9.185,3.6200000000000004e-07
1459600201000,-9.185,0.0
1459600201010,-9.185,7.240000000000001e-07
1459600201020,-9.185,3.6200000000000004e-07
1459600201030,-9.185,0.0
1459600201040,-9.185,0.0
1459600201050,-9.185,7.240000000000001e-07
1459600201060,-9.185,0.0
1459600201070,-9.185,7.240000000000001e-07
1459600201080,-9.185,3.6200000000000004e-07
1459600201090,-9.185,0.0
1459600201100,-9.185,3.6200000000000004e-07
1459600201110,-9.185,0.0
1459600201120,-9.185,1.0859999999999999e-06
1459600201130,-9.185,0.0
1459600201140,-9.185,3.6200000000000004e-07
1459600201150,-9.185,3.6200000000000004e-07
1459600201160,-9.185,3.6200000000000004e-07
1459600201170,-9.185,7.240000000000001e-07
1459600201180,-9.185,0.0
1459600201190,-9.185,3.6200000000000004e-07
1459600201200,-9.185,0.0
1459600201210,-9.185,7.240000000000001e-07
1459600201220,-9.185,3.6200000000000004e-07
1459600201230,-9.185,7.240000000000001e-07
1459600201240,-9.185,3.6200000000000004e-07
1459600201250,-9.185,3.6200000000000004e-07
1459600201260,-9.185,0.0
1459600201270,-9.185,1.0859999999999999e-06
1459600201280,-9.185,3.6200000000000004e-07
1459600201290,-9.185,3.6200000000000004e-07
1459600201300,-9.185,0.0
1459600201310,-9.185,3.6200000000000004e-07
1459600201320,-9.185,0.0
1459600201330,-9.185,0.0
1459600201340,-9.185,3.6200000000000004e-07
1459600201350,-9.185,0.0
1459600201360,-9.185,7.240000000000001e-07
1459600201370,-9.185,3.6200000000000004e-07
1459600201380,-9.185,3.6200000000000004e-07
1459600201390,-9.185,0.0
1459600201400,-9.185,0.0
1459600201410,-9.185,3.6200000000000004e-07
1459600201420,-9.185,3.6200000000000004e-07
1459600201430,-9.185,0.0
1459600201440,-9.185,7.240000000000001e-07
1459600201450,-9.185,0.0
1459600201460,-9.185,0.0
1459600201470,-9.185,7.240000000000001e-07
1459600201480,-9.185,3.6200000000000004e-07
1459600201490,-9.185,3.6200000000000004e-07
1459600201500,-9.185,3.6200000000000004e-07
1459600201510,-9.185,0.0
1459600201520,-9.185,3.6200000000000004e-07
1459600201530,-9.185,0.0
1459600201540,-9.185,0.0
1459600201550,-9.185,3.6200000000000004e-07
1459600201560,-9.185,3.6200000000000004e-07
1459600201570,-9.185,0.0
1459600201580,-9.185,3.6200000000000004e-07
1459600201590,-9.185,7.240000000000001e-07
1459600201600,-9.185,0.0
1459600201610,-9.185,3.6200000000000004e-07
1459600201620,-9.185,0.0
1459600201630,-9.185,7.240000000000001e-07
1459600201640,-9.185,0.0
1459600201650,-9.185,3.6200000000000004e-07
1459600201660,-9.185,3.6200000000000004e-07
1459600201670,-9.185,0.0
1459600201680,-9.185,3.6200000000000004e-07
1459600201690,-9.185,0.0
1459600201700,-9.185,3.6200000000000004e-07
1459600201710,-9.185,0.0
1459600201720,-9.185,3.6200000000000004e-07
1459600201730,-9.185,0.0
1459600201740,-9.185,7.240000000000001e-07
1459600201750,-9.185,3.6200000000000004e-07
1459600201760,-9.185,0.0
1459600201770,-9.185,0.0
1459600201780,-9.185,3.6200000000000004e-07
1459600201790,-9.185,3.6200000000000004e-07
1459600201800,-9.185,3.6200000000000004e-07
1459600201810,-9.185,7.240000000000001e-07
1459600201820,-9.185,3.6200000000000004e-07
1459600201830,-9.185,3.6200000000000004e-07
1459600201840,-9.185,0.0
1459600201850,-9.185,3.6200000000000004e-07
1459600201860,-9.185,0.0
1459600201870,-9.185,7.240000000000001e-07
1459600201880,-9.185,7.240000000000001e-07
1459600201890,-9.185,7.240000000000001e-07
1459600201900,-9.185,0.0
1459600201910,-9.185,0.0
1459600201920,-9.185,0.0
1459600201930,-9.185,3.6200000000000004e-07
1459600201940,-9.185,7.240000000000001e-07
1459600201950,-9.185,3.6200000000000004e-07
1459600201960,-9.185,3.6200000000000004e-07
1459600201970,-9.185,3.6200000000000004e-07
1459600201980,-9.185,3.6200000000000004e-07
1459600201990,-9.185,0.0
1459600202000,-9.185,0.0
1459600202010,-9.185,7.240000000000001e-07
1459600202020,-9.185,7.240000000000001e-07
1459600202030,-9.185,3.6200000000000004e-07
1459600202040,-9.185,0.0
1459600202050,-9.185,1.0859999999999999e-06
1459600202060,-9.185,0.0
1459600202070,-9.185,3.6200000000000004e-07
1459600202080,-9.185,0.0
1459600202090,-9.185,7.240000000000001e-07
1459600202100,-9.185,0.0
1459600202110,-9.185,0.0
1459600202120,-9.185,7.240000000000001e-07
1459600202130,-9.185,0.0
1459600202140,-9.185,7.240000000000001e-07
1459600202150,-9.185,3.6200000000000004e-07
1459600202160,-9.185,3.6200000000000004e-07
1459600202170,-9.185,7.240000000000001e-07
1459600202180,-9.185,0.0
1459600202190,-9.185,0.0
1459600202200,-9.185,3.6200000000000004e-07
1459600202210,-9.185,0.0
1459600202220,-9.185,0.0
1459600202230,-9.185,3.6200000000000004e-07
1459600202240,-9.185,7.240000000000001e-07
1459600202250,-9.185,0.0
1459600202260,-9.185,3.6200000000000004e-07
1459600202270,-9.185,3.6200000000000004e-07
1459600202280,-9.185,0.0
1459600202290,-9.185,3.6200000000000004e-07
1459600202300,-9.185,3.6200000000000004e-07
1459600202310,-9.185,0.0
1459600202320,-9.185,7.240000000000001e-07
1459600202330,-9.185,3.6200000000000004e-07
1459600202340,-9.185,7.240000000000001e-07
1459600202350,-9.185,0.0
1459600202360,-9.185,0.0
1459600202370,-9.185,7.240000000000001e-07
1459600202380,-9.185,0.0
1459600202390,-9.185,7.240000000000001e-07
1459600202400,-9.185,0.0
1459600202410,-9.185,3.6200000000000004e-07
1459600202420,-9.185,0.0
1459600202430,-9.185,7.240000000000001e-07
1459600202440,-9.185,0.0
1459600202450,-9.185,3.6200000000000004e-07
1459600202460,-9.185,0.0
1459600202470,-9.185,7.240000000000001e-07
1459600202480,-9.185,0.0
1459600202490,-9.185,3.6200000000000004e-07
1459600202500,-9.185,0.0
1459600202510,-9.185,7.240000000000001e-07
1459600202520,-9.185,3.6200000000000004e-07
1459600202530,-9.185,7.240000000000001e-07
1459600202540,-9.185,0.0
1459600202550,-9.185,3.6200000000000004e-07
1459600202560,-9.185,0.0
1459600202570,-9.185,3.6200000000000004e-07
1459600202580,-9.185,3.6200000000000004e-07
1459600202590,-9.185,3.6200000000000004e-07
1459600202600,-9.185,3.6200000000000004e-07
1459600202610,-9.185,7.240000000000001e-07
1459600202620,-9.185,0.0
1459600202630,-9.185,3.6200000000000004e-07
1459600202640,-9.185,1.81e-06
1459600202650,-9.185,0.0
1459600202660,-9.185,0.0
1459600202670,-9.185,0.0
1459600202680,-9.185,0.0
1459600202690,-9.185,0.0
1459600202700,-9.185,0.0
1459600202710,-9.185,0.0
1459600202720,-9.185,0.0
1459600202730,-9.185,0.0
1459600202740,-9.185,0.0
1459600202750,-9.185,0.0
1459600202760,-9.185,0.0
1459600202770,-9.185,0.0
1459600202780,-9.185,0.0
1459600202790,-9.185,0.0
1459600202800,-9.185,0.0
1459600202810,-9.185,0.0
1459600202820,-9.185,0.0
1459600202830,-9.185,0.0
1459600202840,-9.185,0.0
1459600202850,-9.185,0.0
1459600202860,-9.185,0.0
1459600202870,-9.185,0.0
1459600202880,-9.185,0.0
1459600202890,-9.185,0.0
1459600202900,-9.185,0.0
1459600202910,-9.185,0.0
1459600202920,-9.185,0.0
1459600202930,-9.185,0.0
1459600202940,-9.185,0.0
1459600202950,-9.185,0.0
1459600202960,-9.185,0.0
1459600202970,-9.185,0.0
1459600202980,-9.185,0.0
1459600202990,-9.185,0.0
1459600203000,-9.185,0.0
1459600203010,-9.185,0.0
1459600203020,-9.185,0.0
1459600203030,-9.185,0.0
1459600203040,-9.185,0.0
1459600203050,-9.185,0.0
1459600203060,-9.185,0.0
1459600203070,-9.185,0.0
1459600203080,-9.185,0.0
1459600203090,-9.185,0.0
1459600203100,-9.185,0.0
1459600203110,-9.185,0.0
1459600203120,-9.185,0.0
1459600203130,-9.185,0.0
1459600203140,-9.185,0.0
1459600203150,-9.185,0.0
1459600203160,-9.185,0.0
1459600203170,-9.185,0.0
1459600203180,-9.185,0.0
1459600203190,-9.185,0.0
1459600203200,-9.185,3.6200000000000004e-07
1459600203210,-9.185,3.6200000000000004e-07
1459600203220,-9.185,3.6200000000000004e-07
1459600203230,-9.185,3.6200000000000004e-07
1459600203240,-9.185,3.6200000000000004e-07
1459600203250,-9.185,0.0
1459600203260,-9.185,1.0859999999999999e-06
1459600203270,-9.185,0.0
1459600203280,-9.185,7.240000000000001e-07
1459600203290,-9.185,0.0
1459600203300,-9.185,3.6200000000000004e-07
1459600203310,-9.185,3.6200000000000004e-07
1459600203320,-9.185,0.0
1459600203330,-9.185,0.0
1459600203340,-9.185,0.0
1459600203350,-9.185,3.6200000000000004e-07
1459600203360,-9.185,3.6200000000000004e-07
1459600203370,-9.185,7.240000000000001e-07
1459600203380,-9.185,0.0
1459600203390,-9.185,0.0
1459600203400,-9.185,3.6200000000000004e-07
1459600203410,-9.185,7.240000000000001e-07
1459600203420,-9.185,0.0
1459600203430,-9.185,3.6200000000000004e-07
1459600203440,-9.185,3.6200000000000004e-07
1459600203450,-9.185,7.240000000000001e-07
1459600203460,-9.185,3.6200000000000004e-07
1459600203470,-9.185,3.6200000000000004e-07
1459600203480,-9.185,3.6200000000000004e-07
1459600203490,-9.185,0.0
1459600203500,-9.185,3.6200000000000004e-07
1459600203510,-9.185,0.0
1459600203520,-9.185,1.0859999999999999e-06
1459600203530,-9.185,0.0
1459600203540,-9.185,0.0
1459600203550,-9.185,0.0
1459600203560,-9.185,0.0
1459600203570,-9.185,3.6200000000000004e-07
1459600203580,-9.185,0.0
1459600203590,-9.185,3.6200000000000004e-07
1459600203600,-9.185,7.240000000000001e-07
1459600203610,-9.185,7.240000000000001e-07
1459600203620,-9.185,0.0
1459600203630,-9.185,0.0
1459600203640,-9.185,3.6200000000000004e-07
1459600203650,-9.185,3.6200000000000004e-07
1459600203660,-9.185,0.0
1459600203670,-9.185,7.240000000000001e-07
1459600203680,-9.185,3.6200000000000004e-07
1459600203690,-9.185,3.6200000000000004e-07
1459600203700,-9.185,0.0
1459600203710,-9.185,7.240000000000001e-07
1459600203720,-9.185,0.0
1459600203730,-9.185,3.6200000000000004e-07
1459600203740,-9.185,3.6200000000000004e-07
1459600203750,-9.185,0.0
1459600203760,-9.185,7.240000000000001e-07
1459600203770,-9.185,3.6200000000000004e-07
1459600203780,-9.185,3.6200000000000004e-07
1459600203790,-9.185,3.6200000000000004e-07
1459600203800,-9.185,0.0
1459600203810,-9.185,7.240000000000001e-07
1459600203820,-9.185,0.0
1459600203830,-9.185,3.6200000000000004e-07
1459600203840,-9.185,0.0
1459600203850,-9.185,7.240000000000001e-07
1459600203860,-9.185,3.6200000000000004e-07
1459600203870,-9.185,3.6200000000000004e-07
1459600203880,-9.185,0.0
1459600203890,-9.185,7.240000000000001e-07
1459600203900,-9.185,1.0859999999999999e-06
1459600203910,-9.185,0.0
1459600203920,-9.185,0.0
1459600203930,-9.185,3.6200000000000004e-07
1459600203940,-9.185,7.240000000000001e-07
1459600203950,-9.185,0.0
1459600203960,-9.185,7.240000000000001e-07
1459600203970,-9.185,0.0
1459600203980,-9.185,3.6200000000000004e-07
1459600203990,-9.185,7.240000000000001e-07
1459600204000,-9.185,0.0
1459600204010,-9.185,7.240000000000001e-07
1459600204020,-9.185,0.0
1459600204030,-9.185,7.240000000000001e-07
1459600204040,-9.185,3.6200000000000004e-07
1459600204050,-9.185,3.6200000000000004e-07
1459600204060,-9.185,3.6200000000000004e-07
1459600204070,-9.185,0.0
