Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607400760,-6.785,0.0
1459607400770,-6.785,3.6200000000000004e-07
1459607400780,-6.785,0.0
1459607400790,-6.785,1.0859999999999999e-06
1459607400800,-6.785,7.240000000000001e-07
1459607400810,-6.785,3.6200000000000004e-07
1459607400820,-6.785,0.0
1459607400830,-6.785,7.240000000000001e-07
1459607400840,-6.785,0.0
1459607400850,-6.785,7.240000000000001e-07
1459607400860,-6.785,0.0
1459607400870,-6.785,7.240000000000001e-07
1459607400880,-6.785,3.6200000000000004e-07
1459607400890,-6.785,7.240000000000001e-07
1459607400900,-6.785,3.6200000000000004e-07
1459607400910,-6.785,3.6200000000000004e-07
1459607400920,-6.785,3.6200000000000004e-07
1459607400930,-6.785,7.240000000000001e-07
1459607400940,-6.785,3.6200000000000004e-07
1459607400950,-6.785,0.0
1459607400960,-6.785,7.240000000000001e-07
1459607400970,-6.785,7.240000000000001e-07
1459607400980,-6.785,0.0
1459607400990,-6.785,7.240000000000001e-07
1459607401000,-6.785,0.0
1459607401010,-6.785,7.240000000000001e-07
1459607401020,-6.785,0.0
1459607401030,-6.785,7.240000000000001e-07
1459607401040,-6.785,0.0
1459607401050,-6.785,1.0859999999999999e-06
1459607401060,-6.785,0.0
1459607401070,-6.785,7.240000000000001e-07
1459607401080,-6.785,0.0
1459607401090,-6.785,7.240000000000001e-07
1459607401100,-6.785,0.0
1459607401110,-6.785,3.6200000000000004e-07
1459607401120,-6.785,3.6200000000000004e-07
1459607401130,-6.785,7.240000000000001e-07
1459607401140,-6.785,3.6200000000000004e-07
1459607401150,-6.785,3.6200000000000004e-07
1459607401160,-6.785,0.0
1459607401170,-6.785,7.240000000000001e-07
1459607401180,-6.785,0.0
1459607401190,-6.785,7.240000000000001e-07
1459607401200,-6.785,3.6200000000000004e-07
1459607401210,-6.785,7.240000000000001e-07
1459607401220,-6.785,3.6200000000000004e-07
1459607401230,-6.785,3.6200000000000004e-07
1459607401240,-6.785,3.6200000000000004e-07
1459607401250,-6.785,7.240000000000001e-07
1459607401260,-6.785,0.0
1459607401270,-6.785,1.0859999999999999e-06
1459607401280,-6.785,3.6200000000000004e-07
1459607401290,-6.785,7.240000000000001e-07
1459607401300,-6.785,0.0
1459607401310,-6.785,1.0859999999999999e-06
1459607401320,-6.785,0.0
1459607401330,-6.785,7.240000000000001e-07
1459607401340,-6.785,0.0
1459607401350,-6.785,7.240000000000001e-07
1459607401360,-6.785,0.0
1459607401370,-6.785,7.240000000000001e-07
1459607401380,-6.785,3.6200000000000004e-07
1459607401390,-6.785,3.6200000000000004e-07
1459607401400,-6.785,3.6200000000000004e-07
1459607401410,-6.785,1.81e-06
1459607401420,-6.785,0.0
1459607401430,-6.785,7.240000000000001e-07
1459607401440,-6.785,0.0
1459607401450,-6.785,7.240000000000001e-07
1459607401460,-6.785,0.0
1459607401470,-6.785,1.0859999999999999e-06
1459607401480,-6.785,0.0
1459607401490,-6.785,7.240000000000001e-07
1459607401500,-6.785,0.0
1459607401510,-6.785,7.240000000000001e-07
1459607401520,-6.785,3.6200000000000004e-07
1459607401530,-6.785,7.240000000000001e-07
1459607401540,-6.785,0.0
1459607401550,-6.785,1.0859999999999999e-06
1459607401560,-6.785,0.0
1459607401570,-6.785,7.240000000000001e-07
1459607401580,-6.785,0.0
1459607401590,-6.785,3.6200000000000004e-07
1459607401600,-6.785,3.6200000000000004e-07
1459607401610,-6.785,1.0859999999999999e-06
1459607401620,-6.785,0.0
1459607401630,-6.785,7.240000000000001e-07
1459607401640,-6.785,0.0
1459607401650,-6.785,7.240000000000001e-07
1459607401660,-6.785,0.0
1459607401670,-6.785,1.0859999999999999e-06
1459607401680,-6.785,0.0
1459607401690,-6.785,1.0859999999999999e-06
1459607401700,-6.785,0.0
1459607401710,-6.785,3.6200000000000004e-07
1459607401720,-6.785,0.0
1459607401730,-6.785,1.0859999999999999e-06
1459607401740,-6.785,0.0
1459607401750,-6.785,7.240000000000001e-07
1459607401760,-6.785,0.0
1459607401770,-6.785,1.4480000000000002e-06
1459607401780,-6.785,0.0
1459607401790,-6.785,0.0
1459607401800,-6.785,0.0
1459607401810,-6.785,7.240000000000001e-07
1459607401820,-6.785,3.6200000000000004e-07
1459607401830,-6.785,1.0859999999999999e-06
1459607401840,-6.785,0.0
1459607401850,-6.785,3.6200000000000004e-07
1459607401860,-6.785,0.0
1459607401870,-6.785,1.0859999999999999e-06
1459607401880,-6.785,0.0
1459607401890,-6.785,1.0859999999999999e-06
1459607401900,-6.785,0.0
1459607401910,-6.785,7.240000000000001e-07
1459607401920,-6.785,0.0
1459607401930,-6.785,3.6200000000000004e-07
1459607401940,-6.785,0.0
1459607401950,-6.785,3.6200000000000004e-07
