Timestamp,position,BLMTI.04L3.B2E10_TCSG.4L3.B2
1459602906090,9.005,0.0
1459602906100,9.005,3.6200000000000004e-07
1459602906110,9.005,1.0859999999999999e-06
1459602906120,9.005,0.0
1459602906130,9.005,0.0
1459602906140,9.005,0.0
1459602906150,9.005,1.4480000000000002e-06
1459602906160,9.005,0.0
1459602906170,9.005,3.6200000000000004e-07
1459602906180,9.005,1.0859999999999999e-06
1459602906190,9.005,3.6200000000000004e-07
1459602906200,9.005,0.0
1459602906210,9.005,3.6200000000000004e-07
1459602906220,9.005,0.0
1459602906230,9.005,1.4480000000000002e-06
1459602906240,9.005,0.0
1459602906250,9.005,3.6200000000000004e-07
1459602906260,9.005,3.6200000000000004e-07
1459602906270,9.005,3.6200000000000004e-07
1459602906280,9.005,7.240000000000001e-07
1459602906290,9.005,7.240000000000001e-07
1459602906300,9.005,3.6200000000000004e-07
1459602906310,9.005,0.0
1459602906320,9.005,7.240000000000001e-07
1459602906330,9.005,0.0
1459602906340,9.005,0.0
1459602906350,9.005,1.0859999999999999e-06
1459602906360,9.005,0.0
1459602906370,9.005,7.240000000000001e-07
1459602906380,9.005,3.6200000000000004e-07
1459602906390,9.005,0.0
1459602906400,9.005,3.6200000000000004e-07
1459602906410,9.005,7.240000000000001e-07
1459602906420,9.005,7.240000000000001e-07
1459602906430,9.005,0.0
1459602906440,9.005,3.6200000000000004e-07
1459602906450,9.005,3.6200000000000004e-07
1459602906460,9.005,3.6200000000000004e-07
1459602906470,9.005,0.0
1459602906480,9.005,7.240000000000001e-07
1459602906490,9.005,3.6200000000000004e-07
1459602906500,9.005,7.240000000000001e-07
1459602906510,9.005,0.0
1459602906520,9.005,0.0
1459602906530,9.005,7.240000000000001e-07
1459602906540,9.005,3.6200000000000004e-07
1459602906550,9.005,1.0859999999999999e-06
1459602906560,9.005,0.0
1459602906570,9.005,7.240000000000001e-07
1459602906580,9.005,3.6200000000000004e-07
1459602906590,9.005,0.0
1459602906600,9.005,3.6200000000000004e-07
1459602906610,9.005,7.240000000000001e-07
1459602906620,9.005,3.6200000000000004e-07
1459602906630,9.005,3.6200000000000004e-07
1459602906640,9.005,7.240000000000001e-07
1459602906650,9.005,7.240000000000001e-07
1459602906660,9.005,3.6200000000000004e-07
1459602906670,9.005,7.240000000000001e-07
1459602906680,9.005,0.0
1459602906690,9.005,0.0
1459602906700,9.005,7.240000000000001e-07
1459602906710,9.005,0.0
1459602906720,9.005,7.240000000000001e-07
1459602906730,9.005,7.240000000000001e-07
1459602906740,9.005,3.6200000000000004e-07
1459602906750,9.005,3.6200000000000004e-07
1459602906760,9.005,0.0
1459602906770,9.005,1.0859999999999999e-06
1459602906780,9.005,0.0
1459602906790,9.005,3.6200000000000004e-07
1459602906800,9.005,3.6200000000000004e-07
1459602906810,9.005,3.6200000000000004e-07
1459602906820,9.005,7.240000000000001e-07
1459602906830,9.005,0.0
1459602906840,9.005,0.0
1459602906850,9.005,7.240000000000001e-07
1459602906860,9.005,0.0
1459602906870,9.005,7.240000000000001e-07
1459602906880,9.005,3.6200000000000004e-07
1459602906890,9.005,0.0
1459602906900,9.005,3.6200000000000004e-07
1459602906910,9.005,3.6200000000000004e-07
1459602906920,9.005,0.0
1459602906930,9.005,7.240000000000001e-07
1459602906940,9.005,3.6200000000000004e-07
1459602906950,9.005,0.0
1459602906960,9.005,3.6200000000000004e-07
1459602906970,9.005,3.6200000000000004e-07
1459602906980,9.005,7.240000000000001e-07
1459602906990,9.005,7.240000000000001e-07
1459602907000,9.005,0.0
1459602907010,9.005,3.6200000000000004e-07
1459602907020,9.005,0.0
1459602907030,9.005,3.6200000000000004e-07
1459602907040,9.005,0.0
1459602907050,9.005,7.240000000000001e-07
1459602907060,9.005,0.0
1459602907070,9.005,7.240000000000001e-07
1459602907080,9.005,3.6200000000000004e-07
1459602907090,9.005,7.240000000000001e-07
1459602907100,9.005,7.240000000000001e-07
1459602907110,9.005,3.6200000000000004e-07
1459602907120,9.005,0.0
1459602907130,9.005,3.6200000000000004e-07
1459602907140,9.005,0.0
1459602907150,9.005,3.6200000000000004e-07
1459602907160,9.005,7.240000000000001e-07
1459602907170,9.005,3.6200000000000004e-07
1459602907180,9.005,0.0
1459602907190,9.005,3.6200000000000004e-07
1459602907200,9.005,3.6200000000000004e-07
1459602907210,9.005,3.6200000000000004e-07
1459602907220,9.005,0.0
1459602907230,9.005,7.240000000000001e-07
1459602907240,9.005,0.0
1459602907250,9.005,3.6200000000000004e-07
1459602907260,9.005,3.6200000000000004e-07
1459602907270,9.005,7.240000000000001e-07
1459602907280,9.005,0.0
1459602907290,9.005,7.240000000000001e-07
1459602907300,9.005,7.240000000000001e-07
1459602907310,9.005,3.6200000000000004e-07
1459602907320,9.005,0.0
1459602907330,9.005,3.6200000000000004e-07
1459602907340,9.005,0.0
1459602907350,9.005,1.0859999999999999e-06
1459602907360,9.005,7.240000000000001e-07
1459602907370,9.005,3.6200000000000004e-07
1459602907380,9.005,3.6200000000000004e-07
1459602907390,9.005,0.0
1459602907400,9.005,3.6200000000000004e-07
1459602907410,9.005,3.6200000000000004e-07
1459602907420,9.005,0.0
1459602907430,9.005,3.6200000000000004e-07
1459602907440,9.005,7.240000000000001e-07
1459602907450,9.005,0.0
1459602907460,9.005,1.0859999999999999e-06
1459602907470,9.005,3.6200000000000004e-07
1459602907480,9.005,3.6200000000000004e-07
1459602907490,9.005,3.6200000000000004e-07
1459602907500,9.005,0.0
1459602907510,9.005,3.6200000000000004e-07
1459602907520,9.005,0.0
1459602907530,9.005,7.240000000000001e-07
1459602907540,9.005,0.0
1459602907550,9.005,0.0
1459602907560,9.005,7.240000000000001e-07
1459602907570,9.005,3.6200000000000004e-07
1459602907580,9.005,0.0
1459602907590,9.005,3.6200000000000004e-07
1459602907600,9.005,3.6200000000000004e-07
1459602907610,9.005,3.6200000000000004e-07
1459602907620,9.005,0.0
1459602907630,9.005,0.0
1459602907640,9.005,7.240000000000001e-07
1459602907650,9.005,3.6200000000000004e-07
1459602907660,9.005,3.6200000000000004e-07
1459602907670,9.005,0.0
1459602907680,9.005,1.0859999999999999e-06
1459602907690,9.005,3.6200000000000004e-07
1459602907700,9.005,0.0
1459602907710,9.005,0.0
1459602907720,9.005,7.240000000000001e-07
1459602907730,9.005,0.0
1459602907740,9.005,3.6200000000000004e-07
1459602907750,9.005,1.0859999999999999e-06
1459602907760,9.005,0.0
1459602907770,9.005,0.0
1459602907780,9.005,7.240000000000001e-07
1459602907790,9.005,0.0
1459602907800,9.005,3.6200000000000004e-07
1459602907810,9.005,3.6200000000000004e-07
1459602907820,9.005,3.6200000000000004e-07
1459602907830,9.005,0.0
1459602907840,9.005,3.6200000000000004e-07
1459602907850,9.005,7.240000000000001e-07
1459602907860,9.005,3.6200000000000004e-07
1459602907870,9.005,0.0
1459602907880,9.005,7.240000000000001e-07
1459602907890,9.005,3.6200000000000004e-07
1459602907900,9.005,3.6200000000000004e-07
1459602907910,9.005,0.0
1459602907920,9.005,0.0
1459602907930,9.005,7.240000000000001e-07
1459602907940,9.005,0.0
1459602907950,9.005,1.0859999999999999e-06
1459602907960,9.005,3.6200000000000004e-07
1459602907970,9.005,1.0859999999999999e-06
1459602907980,9.005,0.0
1459602907990,9.005,7.240000000000001e-07
1459602908000,9.005,3.6200000000000004e-07
1459602908010,9.005,7.240000000000001e-07
1459602908020,9.005,0.0
1459602908030,9.005,3.6200000000000004e-07
1459602908040,9.005,3.6200000000000004e-07
1459602908050,9.005,1.0859999999999999e-06
1459602908060,9.005,0.0
1459602908070,9.005,3.6200000000000004e-07
1459602908080,9.005,3.6200000000000004e-07
1459602908090,9.005,3.6200000000000004e-07
1459602908100,9.005,0.0
1459602908110,9.005,3.6200000000000004e-07
1459602908120,9.005,3.6200000000000004e-07
1459602908130,9.005,3.6200000000000004e-07
1459602908140,9.005,0.0
1459602908150,9.005,0.0
1459602908160,9.005,7.240000000000001e-07
1459602908170,9.005,3.6200000000000004e-07
1459602908180,9.005,3.6200000000000004e-07
1459602908190,9.005,3.6200000000000004e-07
1459602908200,9.005,3.6200000000000004e-07
1459602908210,9.005,0.0
1459602908220,9.005,3.6200000000000004e-07
1459602908230,9.005,3.6200000000000004e-07
1459602908240,9.005,3.6200000000000004e-07
1459602908250,9.005,7.240000000000001e-07
1459602908260,9.005,0.0
1459602908270,9.005,0.0
1459602908280,9.005,7.240000000000001e-07
1459602908290,9.005,1.0859999999999999e-06
1459602908300,9.005,3.6200000000000004e-07
1459602908310,9.005,3.6200000000000004e-07
1459602908320,9.005,7.240000000000001e-07
1459602908330,9.005,0.0
1459602908340,9.005,3.6200000000000004e-07
1459602908350,9.005,7.240000000000001e-07
1459602908360,9.005,0.0
1459602908370,9.005,0.0
1459602908380,9.005,7.240000000000001e-07
1459602908390,9.005,0.0
1459602908400,9.005,3.6200000000000004e-07
1459602908410,9.005,3.6200000000000004e-07
1459602908420,9.005,3.6200000000000004e-07
1459602908430,9.005,7.240000000000001e-07
1459602908440,9.005,0.0
1459602908450,9.005,7.240000000000001e-07
1459602908460,9.005,0.0
1459602908470,9.005,3.6200000000000004e-07
1459602908480,9.005,0.0
1459602908490,9.005,0.0
1459602908500,9.005,3.6200000000000004e-07
1459602908510,9.005,1.0859999999999999e-06
1459602908520,9.005,3.6200000000000004e-07
1459602908530,9.005,0.0
1459602908540,9.005,3.6200000000000004e-07
1459602908550,9.005,0.0
1459602908560,9.005,3.6200000000000004e-07
1459602908570,9.005,7.240000000000001e-07
1459602908580,9.005,0.0
1459602908590,9.005,1.0859999999999999e-06
1459602908600,9.005,0.0
1459602908610,9.005,7.240000000000001e-07
1459602908620,9.005,0.0
1459602908630,9.005,7.240000000000001e-07
1459602908640,9.005,3.6200000000000004e-07
1459602908650,9.005,3.6200000000000004e-07
1459602908660,9.005,3.6200000000000004e-07
1459602908670,9.005,3.6200000000000004e-07
1459602908680,9.005,3.6200000000000004e-07
1459602908690,9.005,7.240000000000001e-07
1459602908700,9.005,3.6200000000000004e-07
1459602908710,9.005,0.0
1459602908720,9.005,3.6200000000000004e-07
1459602908730,9.005,7.240000000000001e-07
1459602908740,9.005,3.6200000000000004e-07
1459602908750,9.005,0.0
1459602908760,9.005,3.6200000000000004e-07
1459602908770,9.005,7.240000000000001e-07
1459602908780,9.005,3.6200000000000004e-07
1459602908790,9.005,3.6200000000000004e-07
1459602908800,9.005,0.0
1459602908810,9.005,3.6200000000000004e-07
1459602908820,9.005,3.6200000000000004e-07
1459602908830,9.005,3.6200000000000004e-07
1459602908840,9.005,7.240000000000001e-07
1459602908850,9.005,0.0
1459602908860,9.005,3.6200000000000004e-07
1459602908870,9.005,3.6200000000000004e-07
1459602908880,9.005,3.6200000000000004e-07
1459602908890,9.005,3.6200000000000004e-07
1459602908900,9.005,3.6200000000000004e-07
1459602908910,9.005,3.6200000000000004e-07
1459602908920,9.005,0.0
1459602908930,9.005,7.240000000000001e-07
1459602908940,9.005,0.0
1459602908950,9.005,0.0
1459602908960,9.005,0.0
1459602908970,9.005,3.6200000000000004e-07
1459602908980,9.005,3.6200000000000004e-07
