Timestamp,position,BLMTI.04R8.B2E10_TCTPH.4R8.B2
1459600200500,8.065,0.0
1459600200510,8.065,0.0
1459600200520,8.065,1.0859999999999999e-06
1459600200530,8.065,0.0
1459600200540,8.065,7.240000000000001e-07
1459600200550,8.065,0.0
1459600200560,8.065,7.240000000000001e-07
1459600200570,8.065,0.0
1459600200580,8.065,7.240000000000001e-07
1459600200590,8.065,0.0
1459600200600,8.065,3.6200000000000004e-07
1459600200610,8.065,0.0
1459600200620,8.065,1.0859999999999999e-06
1459600200630,8.065,0.0
1459600200640,8.065,7.240000000000001e-07
1459600200650,8.065,0.0
1459600200660,8.065,0.0
1459600200670,8.065,0.0
1459600200680,8.065,7.240000000000001e-07
1459600200690,8.065,0.0
1459600200700,8.065,0.0
1459600200710,8.065,0.0
1459600200720,8.065,7.240000000000001e-07
1459600200730,8.065,0.0
1459600200740,8.065,1.0859999999999999e-06
1459600200750,8.065,0.0
1459600200760,8.065,3.6200000000000004e-07
1459600200770,8.065,0.0
1459600200780,8.065,7.240000000000001e-07
1459600200790,8.065,0.0
1459600200800,8.065,1.0859999999999999e-06
1459600200810,8.065,0.0
1459600200820,8.065,1.0859999999999999e-06
1459600200830,8.065,0.0
1459600200840,8.065,7.240000000000001e-07
1459600200850,8.065,0.0
1459600200860,8.065,1.0859999999999999e-06
1459600200870,8.065,0.0
1459600200880,8.065,7.240000000000001e-07
1459600200890,8.065,0.0
1459600200900,8.065,7.240000000000001e-07
1459600200910,8.065,0.0
1459600200920,8.065,3.6200000000000004e-07
1459600200930,8.065,0.0
1459600200940,8.065,7.240000000000001e-07
1459600200950,8.065,0.0
1459600200960,8.065,7.240000000000001e-07
1459600200970,8.065,0.0
1459600200980,8.065,1.0859999999999999e-06
1459600200990,8.065,0.0
1459600201000,8.065,3.6200000000000004e-07
1459600201010,8.065,0.0
1459600201020,8.065,3.6200000000000004e-07
1459600201030,8.065,0.0
1459600201040,8.065,3.6200000000000004e-07
1459600201050,8.065,0.0
1459600201060,8.065,1.0859999999999999e-06
1459600201070,8.065,0.0
1459600201080,8.065,0.0
1459600201090,8.065,0.0
1459600201100,8.065,1.0859999999999999e-06
1459600201110,8.065,0.0
1459600201120,8.065,1.0859999999999999e-06
1459600201130,8.065,0.0
1459600201140,8.065,0.0
1459600201150,8.065,0.0
1459600201160,8.065,3.6200000000000004e-07
1459600201170,8.065,0.0
1459600201180,8.065,3.6200000000000004e-07
1459600201190,8.065,0.0
1459600201200,8.065,1.0859999999999999e-06
1459600201210,8.065,0.0
1459600201220,8.065,3.6200000000000004e-07
1459600201230,8.065,0.0
1459600201240,8.065,7.240000000000001e-07
1459600201250,8.065,0.0
1459600201260,8.065,3.6200000000000004e-07
1459600201270,8.065,0.0
1459600201280,8.065,1.0859999999999999e-06
1459600201290,8.065,0.0
1459600201300,8.065,7.240000000000001e-07
1459600201310,8.065,0.0
1459600201320,8.065,3.6200000000000004e-07
1459600201330,8.065,0.0
1459600201340,8.065,3.6200000000000004e-07
1459600201350,8.065,0.0
1459600201360,8.065,7.240000000000001e-07
1459600201370,8.065,0.0
1459600201380,8.065,1.0859999999999999e-06
1459600201390,8.065,0.0
1459600201400,8.065,3.6200000000000004e-07
1459600201410,8.065,0.0
1459600201420,8.065,1.0859999999999999e-06
1459600201430,8.065,0.0
1459600201440,8.065,7.240000000000001e-07
1459600201450,8.065,0.0
1459600201460,8.065,7.240000000000001e-07
1459600201470,8.065,0.0
1459600201480,8.065,7.240000000000001e-07
1459600201490,8.065,0.0
1459600201500,8.065,3.6200000000000004e-07
1459600201510,8.065,0.0
1459600201520,8.065,1.81e-06
1459600201530,8.065,0.0
1459600201540,8.065,3.6200000000000004e-07
1459600201550,8.065,0.0
1459600201560,8.065,7.240000000000001e-07
1459600201570,8.065,0.0
1459600201580,8.065,7.240000000000001e-07
1459600201590,8.065,0.0
1459600201600,8.065,3.6200000000000004e-07
1459600201610,8.065,0.0
1459600201620,8.065,7.240000000000001e-07
1459600201630,8.065,0.0
1459600201640,8.065,7.240000000000001e-07
1459600201650,8.065,0.0
1459600201660,8.065,3.6200000000000004e-07
1459600201670,8.065,0.0
1459600201680,8.065,3.6200000000000004e-07
1459600201690,8.065,0.0
1459600201700,8.065,7.240000000000001e-07
1459600201710,8.065,0.0
1459600201720,8.065,3.6200000000000004e-07
1459600201730,8.065,0.0
1459600201740,8.065,1.0859999999999999e-06
1459600201750,8.065,0.0
1459600201760,8.065,7.240000000000001e-07
1459600201770,8.065,0.0
1459600201780,8.065,7.240000000000001e-07
1459600201790,8.065,0.0
1459600201800,8.065,7.240000000000001e-07
1459600201810,8.065,0.0
1459600201820,8.065,3.6200000000000004e-07
1459600201830,8.065,0.0
1459600201840,8.065,3.6200000000000004e-07
1459600201850,8.065,0.0
1459600201860,8.065,3.6200000000000004e-07
1459600201870,8.065,0.0
1459600201880,8.065,7.240000000000001e-07
1459600201890,8.065,0.0
1459600201900,8.065,7.240000000000001e-07
1459600201910,8.065,0.0
1459600201920,8.065,3.6200000000000004e-07
1459600201930,8.065,0.0
1459600201940,8.065,3.6200000000000004e-07
1459600201950,8.065,0.0
1459600201960,8.065,3.6200000000000004e-07
1459600201970,8.065,0.0
1459600201980,8.065,7.240000000000001e-07
1459600201990,8.065,0.0
1459600202000,8.065,7.240000000000001e-07
1459600202010,8.065,0.0
1459600202020,8.065,3.6200000000000004e-07
1459600202030,8.065,0.0
1459600202040,8.065,3.6200000000000004e-07
1459600202050,8.065,0.0
1459600202060,8.065,1.4480000000000002e-06
1459600202070,8.065,0.0
1459600202080,8.065,3.6200000000000004e-07
1459600202090,8.065,0.0
1459600202100,8.065,1.0859999999999999e-06
1459600202110,8.065,0.0
1459600202120,8.065,0.0
1459600202130,8.065,0.0
1459600202140,8.065,1.0859999999999999e-06
1459600202150,8.065,0.0
1459600202160,8.065,0.0
1459600202170,8.065,0.0
1459600202180,8.065,1.0859999999999999e-06
1459600202190,8.065,0.0
1459600202200,8.065,1.0859999999999999e-06
1459600202210,8.065,0.0
1459600202220,8.065,7.240000000000001e-07
1459600202230,8.065,0.0
1459600202240,8.065,1.0859999999999999e-06
1459600202250,8.065,0.0
1459600202260,8.065,7.240000000000001e-07
1459600202270,8.065,0.0
1459600202280,8.065,3.6200000000000004e-07
1459600202290,8.065,0.0
1459600202300,8.065,1.4480000000000002e-06
1459600202310,8.065,0.0
1459600202320,8.065,7.240000000000001e-07
1459600202330,8.065,0.0
1459600202340,8.065,3.6200000000000004e-07
1459600202350,8.065,0.0
1459600202360,8.065,7.240000000000001e-07
1459600202370,8.065,0.0
1459600202380,8.065,3.6200000000000004e-07
1459600202390,8.065,0.0
1459600202400,8.065,7.240000000000001e-07
1459600202410,8.065,0.0
1459600202420,8.065,3.6200000000000004e-07
1459600202430,8.065,0.0
1459600202440,8.065,3.6200000000000004e-07
1459600202450,8.065,0.0
1459600202460,8.065,7.240000000000001e-07
1459600202470,8.065,0.0
1459600202480,8.065,1.0859999999999999e-06
1459600202490,8.065,0.0
1459600202500,8.065,3.6200000000000004e-07
1459600202510,8.065,0.0
1459600202520,8.065,7.240000000000001e-07
1459600202530,8.065,0.0
1459600202540,8.065,3.6200000000000004e-07
1459600202550,8.065,0.0
1459600202560,8.065,7.240000000000001e-07
1459600202570,8.065,0.0
1459600202580,8.065,7.240000000000001e-07
1459600202590,8.065,0.0
1459600202600,8.065,3.6200000000000004e-07
1459600202610,8.065,0.0
1459600202620,8.065,7.240000000000001e-07
1459600202630,8.065,0.0
1459600202640,8.065,3.6200000000000004e-07
1459600202650,8.065,0.0
1459600202660,8.065,3.6200000000000004e-07
1459600202670,8.065,0.0
1459600202680,8.065,7.240000000000001e-07
1459600202690,8.065,0.0
1459600202700,8.065,7.240000000000001e-07
1459600202710,8.065,0.0
1459600202720,8.065,0.0
1459600202730,8.065,0.0
1459600202740,8.065,7.240000000000001e-07
1459600202750,8.065,0.0
1459600202760,8.065,3.6200000000000004e-07
1459600202770,8.065,0.0
1459600202780,8.065,7.240000000000001e-07
1459600202790,8.065,0.0
1459600202800,8.065,7.240000000000001e-07
1459600202810,8.065,0.0
1459600202820,8.065,7.240000000000001e-07
1459600202830,8.065,0.0
1459600202840,8.065,3.6200000000000004e-07
1459600202850,8.065,0.0
1459600202860,8.065,3.6200000000000004e-07
1459600202870,8.065,7.240000000000001e-07
1459600202880,8.065,7.240000000000001e-07
1459600202890,8.065,0.0
1459600202900,8.065,3.6200000000000004e-07
1459600202910,8.065,0.0
1459600202920,8.065,3.6200000000000004e-07
1459600202930,8.065,0.0
1459600202940,8.065,1.4480000000000002e-06
1459600202950,8.065,0.0
1459600202960,8.065,7.240000000000001e-07
1459600202970,8.065,0.0
1459600202980,8.065,3.6200000000000004e-07
1459600202990,8.065,0.0
1459600203000,8.065,7.240000000000001e-07
1459600203010,8.065,0.0
1459600203020,8.065,3.6200000000000004e-07
1459600203030,8.065,0.0
1459600203040,8.065,7.240000000000001e-07
1459600203050,8.065,0.0
1459600203060,8.065,7.240000000000001e-07
1459600203070,8.065,0.0
1459600203080,8.065,7.240000000000001e-07
1459600203090,8.065,3.6200000000000004e-07
1459600203100,8.065,3.6200000000000004e-07
1459600203110,8.065,0.0
1459600203120,8.065,3.6200000000000004e-07
1459600203130,8.065,0.0
1459600203140,8.065,7.240000000000001e-07
1459600203150,8.065,0.0
1459600203160,8.065,1.0859999999999999e-06
1459600203170,8.065,0.0
1459600203180,8.065,1.0859999999999999e-06
1459600203190,8.065,0.0
1459600203200,8.065,7.240000000000001e-07
1459600203210,8.065,0.0
1459600203220,8.065,3.6200000000000004e-07
1459600203230,8.065,0.0
1459600203240,8.065,0.0
1459600203250,8.065,0.0
1459600203260,8.065,7.240000000000001e-07
1459600203270,8.065,0.0
1459600203280,8.065,3.6200000000000004e-07
1459600203290,8.065,0.0
