Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607400760,7.45,0.0
1459607400770,7.45,3.6200000000000004e-07
1459607400780,7.45,0.0
1459607400790,7.45,1.0859999999999999e-06
1459607400800,7.45,7.240000000000001e-07
1459607400810,7.45,3.6200000000000004e-07
1459607400820,7.45,0.0
1459607400830,7.45,7.240000000000001e-07
1459607400840,7.45,0.0
1459607400850,7.45,7.240000000000001e-07
1459607400860,7.45,0.0
1459607400870,7.45,7.240000000000001e-07
1459607400880,7.45,3.6200000000000004e-07
1459607400890,7.45,7.240000000000001e-07
1459607400900,7.45,3.6200000000000004e-07
1459607400910,7.45,3.6200000000000004e-07
1459607400920,7.45,3.6200000000000004e-07
1459607400930,7.45,7.240000000000001e-07
1459607400940,7.45,3.6200000000000004e-07
1459607400950,7.45,0.0
1459607400960,7.45,7.240000000000001e-07
1459607400970,7.45,7.240000000000001e-07
1459607400980,7.45,0.0
1459607400990,7.45,7.240000000000001e-07
1459607401000,7.45,0.0
1459607401010,7.45,7.240000000000001e-07
1459607401020,7.45,0.0
1459607401030,7.45,7.240000000000001e-07
1459607401040,7.45,0.0
1459607401050,7.45,1.0859999999999999e-06
1459607401060,7.45,0.0
1459607401070,7.45,7.240000000000001e-07
1459607401080,7.45,0.0
1459607401090,7.45,7.240000000000001e-07
1459607401100,7.45,0.0
1459607401110,7.45,3.6200000000000004e-07
1459607401120,7.45,3.6200000000000004e-07
1459607401130,7.45,7.240000000000001e-07
1459607401140,7.45,3.6200000000000004e-07
1459607401150,7.45,3.6200000000000004e-07
1459607401160,7.45,0.0
1459607401170,7.45,7.240000000000001e-07
1459607401180,7.45,0.0
1459607401190,7.45,7.240000000000001e-07
1459607401200,7.45,3.6200000000000004e-07
1459607401210,7.45,7.240000000000001e-07
1459607401220,7.45,3.6200000000000004e-07
1459607401230,7.45,3.6200000000000004e-07
1459607401240,7.45,3.6200000000000004e-07
1459607401250,7.45,7.240000000000001e-07
1459607401260,7.45,0.0
1459607401270,7.45,1.0859999999999999e-06
1459607401280,7.45,3.6200000000000004e-07
1459607401290,7.45,7.240000000000001e-07
1459607401300,7.45,0.0
1459607401310,7.45,1.0859999999999999e-06
1459607401320,7.45,0.0
1459607401330,7.45,7.240000000000001e-07
1459607401340,7.45,0.0
1459607401350,7.45,7.240000000000001e-07
1459607401360,7.45,0.0
1459607401370,7.45,7.240000000000001e-07
1459607401380,7.45,3.6200000000000004e-07
1459607401390,7.45,3.6200000000000004e-07
1459607401400,7.45,3.6200000000000004e-07
1459607401410,7.45,1.81e-06
1459607401420,7.45,0.0
1459607401430,7.45,7.240000000000001e-07
1459607401440,7.45,0.0
1459607401450,7.45,7.240000000000001e-07
1459607401460,7.45,0.0
1459607401470,7.45,1.0859999999999999e-06
1459607401480,7.45,0.0
1459607401490,7.45,7.240000000000001e-07
1459607401500,7.45,0.0
1459607401510,7.45,7.240000000000001e-07
1459607401520,7.45,3.6200000000000004e-07
1459607401530,7.45,7.240000000000001e-07
1459607401540,7.45,0.0
1459607401550,7.45,1.0859999999999999e-06
1459607401560,7.45,0.0
1459607401570,7.45,7.240000000000001e-07
1459607401580,7.45,0.0
1459607401590,7.45,3.6200000000000004e-07
1459607401600,7.45,3.6200000000000004e-07
1459607401610,7.45,1.0859999999999999e-06
1459607401620,7.45,0.0
1459607401630,7.45,7.240000000000001e-07
1459607401640,7.45,0.0
1459607401650,7.45,7.240000000000001e-07
1459607401660,7.45,0.0
1459607401670,7.45,1.0859999999999999e-06
1459607401680,7.45,0.0
1459607401690,7.45,1.0859999999999999e-06
1459607401700,7.45,0.0
1459607401710,7.45,3.6200000000000004e-07
1459607401720,7.45,0.0
1459607401730,7.45,1.0859999999999999e-06
1459607401740,7.45,0.0
1459607401750,7.45,7.240000000000001e-07
1459607401760,7.45,0.0
1459607401770,7.45,1.4480000000000002e-06
1459607401780,7.45,0.0
1459607401790,7.45,0.0
1459607401800,7.45,0.0
1459607401810,7.45,7.240000000000001e-07
1459607401820,7.45,3.6200000000000004e-07
1459607401830,7.45,1.0859999999999999e-06
1459607401840,7.45,0.0
1459607401850,7.45,3.6200000000000004e-07
1459607401860,7.45,0.0
1459607401870,7.45,1.0859999999999999e-06
1459607401880,7.45,0.0
1459607401890,7.45,1.0859999999999999e-06
1459607401900,7.45,0.0
1459607401910,7.45,7.240000000000001e-07
1459607401920,7.45,0.0
1459607401930,7.45,3.6200000000000004e-07
1459607401940,7.45,0.0
1459607401950,7.45,3.6200000000000004e-07
1459607401960,7.45,3.6200000000000004e-07
1459607401970,7.45,1.0859999999999999e-06
1459607401980,7.45,0.0
1459607401990,7.45,7.240000000000001e-07
1459607402000,7.45,0.0
1459607402010,7.45,3.6200000000000004e-07
1459607402020,7.45,3.6200000000000004e-07
1459607402030,7.45,1.0859999999999999e-06
1459607402040,7.45,3.6200000000000004e-07
1459607402050,7.45,3.6200000000000004e-07
1459607402060,7.45,0.0
1459607402070,7.45,1.0859999999999999e-06
1459607402080,7.45,0.0
1459607402090,7.45,3.6200000000000004e-07
1459607402100,7.45,0.0
1459607402110,7.45,7.240000000000001e-07
1459607402120,7.45,3.6200000000000004e-07
1459607402130,7.45,7.240000000000001e-07
1459607402140,7.45,0.0
1459607402150,7.45,7.240000000000001e-07
1459607402160,7.45,3.6200000000000004e-07
1459607402170,7.45,1.0859999999999999e-06
1459607402180,7.45,0.0
1459607402190,7.45,7.240000000000001e-07
