Timestamp,position,BLMTI.04R2.B1I10_TCLIA.4R2
1459606061280,-8.66,2.1719999999999997e-06
1459606061290,-8.66,7.240000000000001e-07
1459606061300,-8.66,2.1719999999999997e-06
1459606061310,-8.66,1.0859999999999999e-06
1459606061320,-8.66,1.81e-06
1459606061330,-8.66,1.0859999999999999e-06
1459606061340,-8.66,2.1719999999999997e-06
1459606061350,-8.66,3.6200000000000004e-07
1459606061360,-8.66,1.4480000000000002e-06
1459606061370,-8.66,1.0859999999999999e-06
1459606061380,-8.66,7.240000000000001e-07
1459606061390,-8.66,7.240000000000001e-07
1459606061400,-8.66,1.0859999999999999e-06
1459606061410,-8.66,3.6200000000000004e-07
1459606061420,-8.66,1.0859999999999999e-06
1459606061430,-8.66,7.240000000000001e-07
1459606061440,-8.66,0.0
1459606061450,-8.66,1.0859999999999999e-06
1459606061460,-8.66,7.240000000000001e-07
1459606061470,-8.66,1.0859999999999999e-06
1459606061480,-8.66,7.240000000000001e-07
1459606061490,-8.66,1.0859999999999999e-06
1459606061500,-8.66,1.0859999999999999e-06
1459606061510,-8.66,7.240000000000001e-07
1459606061520,-8.66,1.0859999999999999e-06
1459606061530,-8.66,0.0
1459606061540,-8.66,1.0859999999999999e-06
1459606061550,-8.66,7.240000000000001e-07
1459606061560,-8.66,3.6200000000000004e-07
1459606061570,-8.66,3.6200000000000004e-07
1459606061580,-8.66,3.6200000000000004e-07
1459606061590,-8.66,7.240000000000001e-07
1459606061600,-8.66,7.240000000000001e-07
1459606061610,-8.66,7.240000000000001e-07
1459606061620,-8.66,1.4480000000000002e-06
1459606061630,-8.66,1.0859999999999999e-06
1459606061640,-8.66,3.62e-06
1459606061650,-8.66,6.154e-06
1459606061660,-8.66,5.43e-06
1459606061670,-8.66,6.516e-06
1459606061680,-8.66,3.62e-06
1459606061690,-8.66,5.0680000000000004e-06
1459606061700,-8.66,5.0680000000000004e-06
1459606061710,-8.66,5.0680000000000004e-06
1459606061720,-8.66,5.0680000000000004e-06
1459606061730,-8.66,3.258e-06
1459606061740,-8.66,4.343999999999999e-06
1459606061750,-8.66,4.706e-06
1459606061760,-8.66,3.258e-06
1459606061770,-8.66,7.240000000000001e-07
1459606061780,-8.66,0.0
1459606061790,-8.66,0.0
1459606061800,-8.66,3.6200000000000004e-07
1459606061810,-8.66,7.240000000000001e-07
1459606061820,-8.66,1.4480000000000002e-06
1459606061830,-8.66,1.4480000000000002e-06
1459606061840,-8.66,2.1719999999999997e-06
1459606061850,-8.66,3.258e-06
1459606061860,-8.66,3.258e-06
1459606061870,-8.66,5.792000000000001e-06
1459606061880,-8.66,7.602e-06
1459606061890,-8.66,1.3032e-05
1459606061900,-8.66,9.05e-06
1459606061910,-8.66,9.774e-06
1459606061920,-8.66,1.0498e-05
1459606061930,-8.66,1.086e-05
1459606061940,-8.66,1.0136000000000001e-05
1459606061950,-8.66,7.602e-06
1459606061960,-8.66,7.602e-06
1459606061970,-8.66,6.877999999999999e-06
1459606061980,-8.66,6.154e-06
1459606061990,-8.66,4.706e-06
1459606062000,-8.66,3.62e-06
1459606062010,-8.66,2.8960000000000003e-06
1459606062020,-8.66,2.5340000000000002e-06
1459606062030,-8.66,1.81e-06
1459606062040,-8.66,1.81e-06
1459606062050,-8.66,3.6200000000000004e-07
1459606062060,-8.66,1.81e-06
1459606062070,-8.66,1.81e-06
1459606062080,-8.66,1.4480000000000002e-06
1459606062090,-8.66,1.0859999999999999e-06
1459606062100,-8.66,1.0859999999999999e-06
1459606062110,-8.66,1.0859999999999999e-06
1459606062120,-8.66,3.6200000000000004e-07
1459606062130,-8.66,7.240000000000001e-07
1459606062140,-8.66,7.240000000000001e-07
1459606062150,-8.66,1.4480000000000002e-06
1459606062160,-8.66,1.81e-06
1459606062170,-8.66,2.1719999999999997e-06
1459606062180,-8.66,2.8960000000000003e-06
1459606062190,-8.66,3.258e-06
1459606062200,-8.66,3.982e-06
1459606062210,-8.66,5.43e-06
1459606062220,-8.66,3.982e-06
1459606062230,-8.66,3.62e-06
1459606062240,-8.66,3.982e-06
1459606062250,-8.66,2.8960000000000003e-06
1459606062260,-8.66,2.1719999999999997e-06
1459606062270,-8.66,1.4480000000000002e-06
1459606062280,-8.66,1.0859999999999999e-06
1459606062290,-8.66,2.1719999999999997e-06
1459606062300,-8.66,2.1719999999999997e-06
1459606062310,-8.66,7.240000000000001e-07
1459606062320,-8.66,1.0859999999999999e-06
1459606062330,-8.66,7.240000000000001e-07
1459606062340,-8.66,7.240000000000001e-07
1459606062350,-8.66,3.6200000000000004e-07
1459606062360,-8.66,1.0859999999999999e-06
1459606062370,-8.66,3.6200000000000004e-07
1459606062380,-8.66,1.4480000000000002e-06
1459606062390,-8.66,1.0859999999999999e-06
1459606062400,-8.66,1.0859999999999999e-06
1459606062410,-8.66,1.4480000000000002e-06
1459606062420,-8.66,2.5340000000000002e-06
1459606062430,-8.66,3.62e-06
1459606062440,-8.66,5.43e-06
1459606062450,-8.66,5.792000000000001e-06
1459606062460,-8.66,7.602e-06
1459606062470,-8.66,5.0680000000000004e-06
1459606062480,-8.66,4.706e-06
1459606062490,-8.66,3.258e-06
1459606062500,-8.66,2.8960000000000003e-06
1459606062510,-8.66,2.8960000000000003e-06
1459606062520,-8.66,2.5340000000000002e-06
