Timestamp,position,BLMTI.06R7.B1E10_TCLA.D6R7.B1
1459602875170,-8.76,7.240000000000001e-07
1459602875180,-8.76,0.0
1459602875190,-8.76,7.240000000000001e-07
1459602875200,-8.76,0.0
1459602875210,-8.76,3.6200000000000004e-07
1459602875220,-8.76,3.6200000000000004e-07
1459602875230,-8.76,3.6200000000000004e-07
1459602875240,-8.76,0.0
1459602875250,-8.76,1.0859999999999999e-06
1459602875260,-8.76,0.0
1459602875270,-8.76,0.0
1459602875280,-8.76,0.0
1459602875290,-8.76,7.240000000000001e-07
1459602875300,-8.76,0.0
1459602875310,-8.76,7.240000000000001e-07
1459602875320,-8.76,0.0
1459602875330,-8.76,1.0859999999999999e-06
1459602875340,-8.76,0.0
1459602875350,-8.76,3.6200000000000004e-07
1459602875360,-8.76,7.240000000000001e-07
1459602875370,-8.76,0.0
1459602875380,-8.76,0.0
1459602875390,-8.76,3.6200000000000004e-07
1459602875400,-8.76,0.0
1459602875410,-8.76,1.4480000000000002e-06
1459602875420,-8.76,0.0
1459602875430,-8.76,0.0
1459602875440,-8.76,0.0
1459602875450,-8.76,3.6200000000000004e-07
1459602875460,-8.76,0.0
1459602875470,-8.76,7.240000000000001e-07
1459602875480,-8.76,0.0
1459602875490,-8.76,0.0
1459602875500,-8.76,0.0
1459602875510,-8.76,3.6200000000000004e-07
1459602875520,-8.76,3.6200000000000004e-07
1459602875530,-8.76,7.240000000000001e-07
1459602875540,-8.76,0.0
1459602875550,-8.76,3.6200000000000004e-07
1459602875560,-8.76,0.0
1459602875570,-8.76,3.6200000000000004e-07
1459602875580,-8.76,0.0
1459602875590,-8.76,1.0859999999999999e-06
1459602875600,-8.76,0.0
1459602875610,-8.76,3.6200000000000004e-07
1459602875620,-8.76,3.6200000000000004e-07
1459602875630,-8.76,3.6200000000000004e-07
1459602875640,-8.76,3.6200000000000004e-07
1459602875650,-8.76,3.6200000000000004e-07
1459602875660,-8.76,0.0
1459602875670,-8.76,7.240000000000001e-07
1459602875680,-8.76,0.0
1459602875690,-8.76,3.6200000000000004e-07
1459602875700,-8.76,3.6200000000000004e-07
1459602875710,-8.76,0.0
1459602875720,-8.76,3.6200000000000004e-07
1459602875730,-8.76,7.240000000000001e-07
1459602875740,-8.76,0.0
1459602875750,-8.76,7.240000000000001e-07
1459602875760,-8.76,0.0
1459602875770,-8.76,3.6200000000000004e-07
1459602875780,-8.76,3.6200000000000004e-07
1459602875790,-8.76,3.6200000000000004e-07
1459602875800,-8.76,3.6200000000000004e-07
1459602875810,-8.76,7.240000000000001e-07
1459602875820,-8.76,0.0
1459602875830,-8.76,0.0
1459602875840,-8.76,3.6200000000000004e-07
1459602875850,-8.76,3.6200000000000004e-07
1459602875860,-8.76,3.6200000000000004e-07
1459602875870,-8.76,7.240000000000001e-07
1459602875880,-8.76,0.0
1459602875890,-8.76,3.6200000000000004e-07
1459602875900,-8.76,0.0
1459602875910,-8.76,3.6200000000000004e-07
1459602875920,-8.76,3.6200000000000004e-07
1459602875930,-8.76,7.240000000000001e-07
1459602875940,-8.76,0.0
1459602875950,-8.76,3.6200000000000004e-07
1459602875960,-8.76,7.240000000000001e-07
1459602875970,-8.76,0.0
1459602875980,-8.76,3.6200000000000004e-07
1459602875990,-8.76,7.240000000000001e-07
1459602876000,-8.76,0.0
1459602876010,-8.76,7.240000000000001e-07
1459602876020,-8.76,0.0
1459602876030,-8.76,0.0
1459602876040,-8.76,3.6200000000000004e-07
1459602876050,-8.76,7.240000000000001e-07
1459602876060,-8.76,0.0
1459602876070,-8.76,3.6200000000000004e-07
1459602876080,-8.76,0.0
1459602876090,-8.76,0.0
1459602876100,-8.76,0.0
1459602876110,-8.76,3.6200000000000004e-07
1459602876120,-8.76,7.240000000000001e-07
1459602876130,-8.76,7.240000000000001e-07
1459602876140,-8.76,0.0
1459602876150,-8.76,3.6200000000000004e-07
1459602876160,-8.76,0.0
1459602876170,-8.76,3.6200000000000004e-07
1459602876180,-8.76,3.6200000000000004e-07
1459602876190,-8.76,3.6200000000000004e-07
1459602876200,-8.76,0.0
1459602876210,-8.76,7.240000000000001e-07
1459602876220,-8.76,0.0
1459602876230,-8.76,3.6200000000000004e-07
1459602876240,-8.76,7.240000000000001e-07
1459602876250,-8.76,7.240000000000001e-07
1459602876260,-8.76,0.0
1459602876270,-8.76,7.240000000000001e-07
1459602876280,-8.76,0.0
1459602876290,-8.76,7.240000000000001e-07
1459602876300,-8.76,0.0
1459602876310,-8.76,1.0859999999999999e-06
1459602876320,-8.76,0.0
1459602876330,-8.76,7.240000000000001e-07
1459602876340,-8.76,0.0
1459602876350,-8.76,3.6200000000000004e-07
1459602876360,-8.76,0.0
1459602876370,-8.76,1.0859999999999999e-06
1459602876380,-8.76,0.0
1459602876390,-8.76,0.0
1459602876400,-8.76,0.0
1459602876410,-8.76,7.240000000000001e-07
1459602876420,-8.76,3.6200000000000004e-07
1459602876430,-8.76,1.0859999999999999e-06
1459602876440,-8.76,0.0
1459602876450,-8.76,3.6200000000000004e-07
1459602876460,-8.76,0.0
1459602876470,-8.76,7.240000000000001e-07
1459602876480,-8.76,0.0
1459602876490,-8.76,1.0859999999999999e-06
1459602876500,-8.76,0.0
1459602876510,-8.76,7.240000000000001e-07
1459602876520,-8.76,0.0
1459602876530,-8.76,3.6200000000000004e-07
1459602876540,-8.76,0.0
1459602876550,-8.76,7.240000000000001e-07
1459602876560,-8.76,0.0
1459602876570,-8.76,0.0
1459602876580,-8.76,0.0
1459602876590,-8.76,3.6200000000000004e-07
1459602876600,-8.76,0.0
1459602876610,-8.76,7.240000000000001e-07
1459602876620,-8.76,0.0
1459602876630,-8.76,1.0859999999999999e-06
1459602876640,-8.76,0.0
1459602876650,-8.76,1.4480000000000002e-06
1459602876660,-8.76,0.0
1459602876670,-8.76,3.6200000000000004e-07
1459602876680,-8.76,0.0
1459602876690,-8.76,3.6200000000000004e-07
1459602876700,-8.76,3.6200000000000004e-07
1459602876710,-8.76,0.0
1459602876720,-8.76,0.0
1459602876730,-8.76,1.0859999999999999e-06
1459602876740,-8.76,0.0
1459602876750,-8.76,3.6200000000000004e-07
1459602876760,-8.76,0.0
1459602876770,-8.76,3.6200000000000004e-07
1459602876780,-8.76,0.0
1459602876790,-8.76,1.0859999999999999e-06
1459602876800,-8.76,0.0
1459602876810,-8.76,0.0
1459602876820,-8.76,0.0
1459602876830,-8.76,7.240000000000001e-07
1459602876840,-8.76,3.6200000000000004e-07
1459602876850,-8.76,7.240000000000001e-07
1459602876860,-8.76,0.0
1459602876870,-8.76,3.6200000000000004e-07
1459602876880,-8.76,0.0
1459602876890,-8.76,1.0859999999999999e-06
1459602876900,-8.76,0.0
1459602876910,-8.76,3.6200000000000004e-07
1459602876920,-8.76,0.0
1459602876930,-8.76,1.0859999999999999e-06
1459602876940,-8.76,0.0
1459602876950,-8.76,3.6200000000000004e-07
1459602876960,-8.76,0.0
1459602876970,-8.76,1.0859999999999999e-06
1459602876980,-8.76,0.0
1459602876990,-8.76,0.0
1459602877000,-8.76,0.0
1459602877010,-8.76,7.240000000000001e-07
1459602877020,-8.76,0.0
1459602877030,-8.76,3.6200000000000004e-07
1459602877040,-8.76,0.0
1459602877050,-8.76,7.240000000000001e-07
1459602877060,-8.76,3.6200000000000004e-07
1459602877070,-8.76,3.6200000000000004e-07
1459602877080,-8.76,0.0
1459602877090,-8.76,0.0
1459602877100,-8.76,0.0
1459602877110,-8.76,7.240000000000001e-07
1459602877120,-8.76,0.0
1459602877130,-8.76,3.6200000000000004e-07
1459602877140,-8.76,0.0
1459602877150,-8.76,1.0859999999999999e-06
1459602877160,-8.76,0.0
1459602877170,-8.76,1.0859999999999999e-06
1459602877180,-8.76,0.0
1459602877190,-8.76,7.240000000000001e-07
1459602877200,-8.76,0.0
1459602877210,-8.76,3.6200000000000004e-07
1459602877220,-8.76,0.0
1459602877230,-8.76,3.6200000000000004e-07
1459602877240,-8.76,0.0
1459602877250,-8.76,7.240000000000001e-07
1459602877260,-8.76,0.0
1459602877270,-8.76,3.6200000000000004e-07
1459602877280,-8.76,0.0
1459602877290,-8.76,3.6200000000000004e-07
1459602877300,-8.76,3.6200000000000004e-07
1459602877310,-8.76,3.6200000000000004e-07
1459602877320,-8.76,0.0
1459602877330,-8.76,7.240000000000001e-07
1459602877340,-8.76,0.0
1459602877350,-8.76,0.0
1459602877360,-8.76,0.0
1459602877370,-8.76,1.0859999999999999e-06
1459602877380,-8.76,0.0
1459602877390,-8.76,0.0
1459602877400,-8.76,0.0
1459602877410,-8.76,1.0859999999999999e-06
1459602877420,-8.76,3.6200000000000004e-07
1459602877430,-8.76,3.6200000000000004e-07
1459602877440,-8.76,0.0
1459602877450,-8.76,3.6200000000000004e-07
1459602877460,-8.76,0.0
1459602877470,-8.76,3.6200000000000004e-07
1459602877480,-8.76,0.0
1459602877490,-8.76,3.6200000000000004e-07
1459602877500,-8.76,0.0
1459602877510,-8.76,7.240000000000001e-07
1459602877520,-8.76,0.0
1459602877530,-8.76,3.6200000000000004e-07
1459602877540,-8.76,0.0
1459602877550,-8.76,0.0
1459602877560,-8.76,3.6200000000000004e-07
1459602877570,-8.76,7.240000000000001e-07
1459602877580,-8.76,0.0
1459602877590,-8.76,3.6200000000000004e-07
1459602877600,-8.76,0.0
1459602877610,-8.76,7.240000000000001e-07
1459602877620,-8.76,0.0
1459602877630,-8.76,0.0
1459602877640,-8.76,0.0
1459602877650,-8.76,7.240000000000001e-07
1459602877660,-8.76,0.0
1459602877670,-8.76,7.240000000000001e-07
1459602877680,-8.76,0.0
1459602877690,-8.76,7.240000000000001e-07
1459602877700,-8.76,0.0
1459602877710,-8.76,3.6200000000000004e-07
1459602877720,-8.76,3.6200000000000004e-07
1459602877730,-8.76,3.6200000000000004e-07
1459602877740,-8.76,3.6200000000000004e-07
1459602877750,-8.76,7.240000000000001e-07
