Timestamp,position,BLMTI.06R7.B1E10_TCLA.C6R7.B1
1459607001420,-8.275,3.6200000000000004e-07
1459607001430,-8.275,7.240000000000001e-07
1459607001440,-8.275,0.0
1459607001450,-8.275,1.0859999999999999e-06
1459607001460,-8.275,0.0
1459607001470,-8.275,3.6200000000000004e-07
1459607001480,-8.275,3.6200000000000004e-07
1459607001490,-8.275,7.240000000000001e-07
1459607001500,-8.275,0.0
1459607001510,-8.275,7.240000000000001e-07
1459607001520,-8.275,0.0
1459607001530,-8.275,1.0859999999999999e-06
1459607001540,-8.275,0.0
1459607001550,-8.275,3.6200000000000004e-07
1459607001560,-8.275,7.240000000000001e-07
1459607001570,-8.275,3.6200000000000004e-07
1459607001580,-8.275,1.0859999999999999e-06
1459607001590,-8.275,3.6200000000000004e-07
1459607001600,-8.275,7.240000000000001e-07
1459607001610,-8.275,3.6200000000000004e-07
1459607001620,-8.275,7.240000000000001e-07
1459607001630,-8.275,3.6200000000000004e-07
1459607001640,-8.275,7.240000000000001e-07
1459607001650,-8.275,3.6200000000000004e-07
1459607001660,-8.275,0.0
1459607001670,-8.275,1.0859999999999999e-06
1459607001680,-8.275,0.0
1459607001690,-8.275,7.240000000000001e-07
1459607001700,-8.275,0.0
1459607001710,-8.275,7.240000000000001e-07
1459607001720,-8.275,3.6200000000000004e-07
1459607001730,-8.275,1.0859999999999999e-06
1459607001740,-8.275,0.0
1459607001750,-8.275,1.0859999999999999e-06
1459607001760,-8.275,0.0
1459607001770,-8.275,3.6200000000000004e-07
1459607001780,-8.275,3.6200000000000004e-07
1459607001790,-8.275,3.6200000000000004e-07
1459607001800,-8.275,3.6200000000000004e-07
1459607001810,-8.275,3.6200000000000004e-07
1459607001820,-8.275,3.6200000000000004e-07
1459607001830,-8.275,3.6200000000000004e-07
1459607001840,-8.275,7.240000000000001e-07
1459607001850,-8.275,3.6200000000000004e-07
1459607001860,-8.275,0.0
1459607001870,-8.275,7.240000000000001e-07
1459607001880,-8.275,0.0
1459607001890,-8.275,1.0859999999999999e-06
1459607001900,-8.275,0.0
1459607001910,-8.275,7.240000000000001e-07
1459607001920,-8.275,3.6200000000000004e-07
1459607001930,-8.275,1.0859999999999999e-06
1459607001940,-8.275,0.0
1459607001950,-8.275,7.240000000000001e-07
1459607001960,-8.275,7.240000000000001e-07
1459607001970,-8.275,1.0859999999999999e-06
1459607001980,-8.275,0.0
1459607001990,-8.275,1.0859999999999999e-06
1459607002000,-8.275,1.0859999999999999e-06
1459607002010,-8.275,3.6200000000000004e-07
1459607002020,-8.275,7.240000000000001e-07
1459607002030,-8.275,3.6200000000000004e-07
1459607002040,-8.275,3.6200000000000004e-07
1459607002050,-8.275,1.0859999999999999e-06
1459607002060,-8.275,0.0
1459607002070,-8.275,7.240000000000001e-07
1459607002080,-8.275,7.240000000000001e-07
1459607002090,-8.275,7.240000000000001e-07
1459607002100,-8.275,3.6200000000000004e-07
1459607002110,-8.275,1.0859999999999999e-06
1459607002120,-8.275,7.240000000000001e-07
1459607002130,-8.275,1.0859999999999999e-06
1459607002140,-8.275,3.6200000000000004e-07
1459607002150,-8.275,3.6200000000000004e-07
1459607002160,-8.275,0.0
1459607002170,-8.275,7.240000000000001e-07
1459607002180,-8.275,7.240000000000001e-07
1459607002190,-8.275,0.0
1459607002200,-8.275,7.240000000000001e-07
1459607002210,-8.275,3.6200000000000004e-07
1459607002220,-8.275,3.6200000000000004e-07
1459607002230,-8.275,7.240000000000001e-07
1459607002240,-8.275,0.0
1459607002250,-8.275,7.240000000000001e-07
1459607002260,-8.275,3.6200000000000004e-07
1459607002270,-8.275,3.6200000000000004e-07
1459607002280,-8.275,0.0
1459607002290,-8.275,1.4480000000000002e-06
1459607002300,-8.275,0.0
1459607002310,-8.275,1.0859999999999999e-06
1459607002320,-8.275,0.0
1459607002330,-8.275,1.4480000000000002e-06
1459607002340,-8.275,0.0
1459607002350,-8.275,7.240000000000001e-07
1459607002360,-8.275,3.6200000000000004e-07
1459607002370,-8.275,7.240000000000001e-07
1459607002380,-8.275,3.6200000000000004e-07
1459607002390,-8.275,3.6200000000000004e-07
1459607002400,-8.275,1.0859999999999999e-06
1459607002410,-8.275,1.0859999999999999e-06
1459607002420,-8.275,0.0
1459607002430,-8.275,7.240000000000001e-07
1459607002440,-8.275,3.6200000000000004e-07
1459607002450,-8.275,3.6200000000000004e-07
1459607002460,-8.275,3.6200000000000004e-07
1459607002470,-8.275,3.6200000000000004e-07
1459607002480,-8.275,0.0
1459607002490,-8.275,7.240000000000001e-07
1459607002500,-8.275,3.6200000000000004e-07
1459607002510,-8.275,0.0
1459607002520,-8.275,7.240000000000001e-07
1459607002530,-8.275,7.240000000000001e-07
1459607002540,-8.275,3.6200000000000004e-07
1459607002550,-8.275,7.240000000000001e-07
1459607002560,-8.275,3.6200000000000004e-07
1459607002570,-8.275,3.6200000000000004e-07
1459607002580,-8.275,7.240000000000001e-07
1459607002590,-8.275,7.240000000000001e-07
1459607002600,-8.275,7.240000000000001e-07
1459607002610,-8.275,3.6200000000000004e-07
1459607002620,-8.275,3.6200000000000004e-07
1459607002630,-8.275,1.0859999999999999e-06
1459607002640,-8.275,3.6200000000000004e-07
1459607002650,-8.275,7.240000000000001e-07
1459607002660,-8.275,7.240000000000001e-07
1459607002670,-8.275,1.4480000000000002e-06
1459607002680,-8.275,0.0
1459607002690,-8.275,3.6200000000000004e-07
1459607002700,-8.275,7.240000000000001e-07
1459607002710,-8.275,3.6200000000000004e-07
1459607002720,-8.275,3.6200000000000004e-07
1459607002730,-8.275,7.240000000000001e-07
1459607002740,-8.275,0.0
1459607002750,-8.275,7.240000000000001e-07
1459607002760,-8.275,3.6200000000000004e-07
1459607002770,-8.275,3.6200000000000004e-07
1459607002780,-8.275,3.6200000000000004e-07
1459607002790,-8.275,7.240000000000001e-07
1459607002800,-8.275,3.6200000000000004e-07
1459607002810,-8.275,1.0859999999999999e-06
1459607002820,-8.275,0.0
1459607002830,-8.275,1.0859999999999999e-06
1459607002840,-8.275,0.0
1459607002850,-8.275,7.240000000000001e-07
1459607002860,-8.275,3.6200000000000004e-07
1459607002870,-8.275,7.240000000000001e-07
1459607002880,-8.275,3.6200000000000004e-07
1459607002890,-8.275,3.6200000000000004e-07
1459607002900,-8.275,3.6200000000000004e-07
1459607002910,-8.275,0.0
1459607002920,-8.275,3.6200000000000004e-07
1459607002930,-8.275,7.240000000000001e-07
1459607002940,-8.275,0.0
1459607002950,-8.275,3.6200000000000004e-07
1459607002960,-8.275,1.0859999999999999e-06
1459607002970,-8.275,0.0
1459607002980,-8.275,3.6200000000000004e-07
1459607002990,-8.275,0.0
1459607003000,-8.275,7.240000000000001e-07
1459607003010,-8.275,3.6200000000000004e-07
1459607003020,-8.275,1.0859999999999999e-06
1459607003030,-8.275,1.0859999999999999e-06
1459607003040,-8.275,0.0
1459607003050,-8.275,7.240000000000001e-07
1459607003060,-8.275,3.6200000000000004e-07
1459607003070,-8.275,1.4480000000000002e-06
1459607003080,-8.275,0.0
1459607003090,-8.275,7.240000000000001e-07
1459607003100,-8.275,3.6200000000000004e-07
1459607003110,-8.275,7.240000000000001e-07
1459607003120,-8.275,0.0
1459607003130,-8.275,0.0
1459607003140,-8.275,1.0859999999999999e-06
1459607003150,-8.275,7.240000000000001e-07
1459607003160,-8.275,7.240000000000001e-07
1459607003170,-8.275,3.6200000000000004e-07
1459607003180,-8.275,1.0859999999999999e-06
1459607003190,-8.275,1.0859999999999999e-06
1459607003200,-8.275,3.6200000000000004e-07
1459607003210,-8.275,3.6200000000000004e-07
1459607003220,-8.275,7.240000000000001e-07
1459607003230,-8.275,1.0859999999999999e-06
1459607003240,-8.275,0.0
1459607003250,-8.275,7.240000000000001e-07
1459607003260,-8.275,3.6200000000000004e-07
1459607003270,-8.275,1.0859999999999999e-06
1459607003280,-8.275,3.6200000000000004e-07
1459607003290,-8.275,7.240000000000001e-07
1459607003300,-8.275,0.0
1459607003310,-8.275,1.0859999999999999e-06
