Timestamp,position,BLMTI.06L3.B2E10_TCLA.6L3.B2
1459601802480,-6.785,0.0
1459601802490,-6.785,7.240000000000001e-07
1459601802500,-6.785,0.0
1459601802510,-6.785,3.6200000000000004e-07
1459601802520,-6.785,0.0
1459601802530,-6.785,3.6200000000000004e-07
1459601802540,-6.785,7.240000000000001e-07
1459601802550,-6.785,3.6200000000000004e-07
1459601802560,-6.785,3.6200000000000004e-07
1459601802570,-6.785,0.0
1459601802580,-6.785,7.240000000000001e-07
1459601802590,-6.785,0.0
1459601802600,-6.785,3.6200000000000004e-07
1459601802610,-6.785,0.0
1459601802620,-6.785,3.6200000000000004e-07
1459601802630,-6.785,3.6200000000000004e-07
1459601802640,-6.785,0.0
1459601802650,-6.785,7.240000000000001e-07
1459601802660,-6.785,0.0
1459601802670,-6.785,3.6200000000000004e-07
1459601802680,-6.785,0.0
1459601802690,-6.785,3.6200000000000004e-07
1459601802700,-6.785,0.0
1459601802710,-6.785,0.0
1459601802720,-6.785,0.0
1459601802730,-6.785,0.0
1459601802740,-6.785,0.0
1459601802750,-6.785,7.240000000000001e-07
1459601802760,-6.785,0.0
1459601802770,-6.785,3.6200000000000004e-07
1459601802780,-6.785,3.6200000000000004e-07
1459601802790,-6.785,0.0
1459601802800,-6.785,3.6200000000000004e-07
1459601802810,-6.785,0.0
1459601802820,-6.785,1.0859999999999999e-06
1459601802830,-6.785,0.0
1459601802840,-6.785,0.0
1459601802850,-6.785,3.6200000000000004e-07
1459601802860,-6.785,7.240000000000001e-07
1459601802870,-6.785,3.6200000000000004e-07
1459601802880,-6.785,0.0
1459601802890,-6.785,3.6200000000000004e-07
1459601802900,-6.785,0.0
1459601802910,-6.785,3.6200000000000004e-07
1459601802920,-6.785,3.6200000000000004e-07
1459601802930,-6.785,7.240000000000001e-07
1459601802940,-6.785,0.0
1459601802950,-6.785,3.6200000000000004e-07
1459601802960,-6.785,0.0
1459601802970,-6.785,3.6200000000000004e-07
1459601802980,-6.785,0.0
1459601802990,-6.785,0.0
1459601803000,-6.785,1.0859999999999999e-06
1459601803010,-6.785,0.0
1459601803020,-6.785,3.6200000000000004e-07
1459601803030,-6.785,0.0
1459601803040,-6.785,7.240000000000001e-07
1459601803050,-6.785,3.6200000000000004e-07
1459601803060,-6.785,3.6200000000000004e-07
1459601803070,-6.785,7.240000000000001e-07
1459601803080,-6.785,0.0
1459601803090,-6.785,0.0
1459601803100,-6.785,0.0
1459601803110,-6.785,0.0
1459601803120,-6.785,3.6200000000000004e-07
1459601803130,-6.785,1.0859999999999999e-06
1459601803140,-6.785,0.0
1459601803150,-6.785,3.6200000000000004e-07
1459601803160,-6.785,0.0
1459601803170,-6.785,0.0
1459601803180,-6.785,3.6200000000000004e-07
1459601803190,-6.785,3.6200000000000004e-07
1459601803200,-6.785,0.0
1459601803210,-6.785,3.6200000000000004e-07
1459601803220,-6.785,3.6200000000000004e-07
1459601803230,-6.785,0.0
1459601803240,-6.785,7.240000000000001e-07
1459601803250,-6.785,3.6200000000000004e-07
1459601803260,-6.785,3.6200000000000004e-07
1459601803270,-6.785,0.0
1459601803280,-6.785,0.0
1459601803290,-6.785,0.0
1459601803300,-6.785,3.6200000000000004e-07
1459601803310,-6.785,0.0
1459601803320,-6.785,3.6200000000000004e-07
1459601803330,-6.785,3.6200000000000004e-07
1459601803340,-6.785,0.0
1459601803350,-6.785,7.240000000000001e-07
1459601803360,-6.785,3.6200000000000004e-07
1459601803370,-6.785,7.240000000000001e-07
1459601803380,-6.785,0.0
1459601803390,-6.785,1.0859999999999999e-06
1459601803400,-6.785,0.0
1459601803410,-6.785,3.6200000000000004e-07
1459601803420,-6.785,0.0
1459601803430,-6.785,0.0
1459601803440,-6.785,3.6200000000000004e-07
1459601803450,-6.785,3.6200000000000004e-07
1459601803460,-6.785,3.6200000000000004e-07
1459601803470,-6.785,3.6200000000000004e-07
1459601803480,-6.785,0.0
1459601803490,-6.785,3.6200000000000004e-07
1459601803500,-6.785,3.6200000000000004e-07
1459601803510,-6.785,0.0
1459601803520,-6.785,0.0
1459601803530,-6.785,3.6200000000000004e-07
1459601803540,-6.785,1.0859999999999999e-06
1459601803550,-6.785,3.6200000000000004e-07
1459601803560,-6.785,0.0
1459601803570,-6.785,7.240000000000001e-07
1459601803580,-6.785,3.6200000000000004e-07
1459601803590,-6.785,7.240000000000001e-07
1459601803600,-6.785,0.0
1459601803610,-6.785,0.0
1459601803620,-6.785,3.6200000000000004e-07
1459601803630,-6.785,0.0
1459601803640,-6.785,0.0
1459601803650,-6.785,0.0
1459601803660,-6.785,3.6200000000000004e-07
1459601803670,-6.785,0.0
1459601803680,-6.785,7.240000000000001e-07
1459601803690,-6.785,0.0
1459601803700,-6.785,7.240000000000001e-07
1459601803710,-6.785,3.6200000000000004e-07
1459601803720,-6.785,0.0
1459601803730,-6.785,0.0
1459601803740,-6.785,3.6200000000000004e-07
1459601803750,-6.785,0.0
1459601803760,-6.785,7.240000000000001e-07
1459601803770,-6.785,0.0
1459601803780,-6.785,3.6200000000000004e-07
1459601803790,-6.785,7.240000000000001e-07
1459601803800,-6.785,0.0
1459601803810,-6.785,3.6200000000000004e-07
1459601803820,-6.785,0.0
1459601803830,-6.785,7.240000000000001e-07
1459601803840,-6.785,0.0
1459601803850,-6.785,7.240000000000001e-07
1459601803860,-6.785,3.6200000000000004e-07
1459601803870,-6.785,3.6200000000000004e-07
1459601803880,-6.785,0.0
1459601803890,-6.785,3.6200000000000004e-07
1459601803900,-6.785,7.240000000000001e-07
1459601803910,-6.785,0.0
1459601803920,-6.785,7.240000000000001e-07
1459601803930,-6.785,0.0
1459601803940,-6.785,1.0859999999999999e-06
1459601803950,-6.785,0.0
1459601803960,-6.785,0.0
1459601803970,-6.785,0.0
1459601803980,-6.785,3.6200000000000004e-07
1459601803990,-6.785,3.6200000000000004e-07
1459601804000,-6.785,3.6200000000000004e-07
1459601804010,-6.785,0.0
1459601804020,-6.785,0.0
1459601804030,-6.785,3.6200000000000004e-07
1459601804040,-6.785,7.240000000000001e-07
1459601804050,-6.785,0.0
1459601804060,-6.785,0.0
1459601804070,-6.785,0.0
1459601804080,-6.785,0.0
1459601804090,-6.785,3.6200000000000004e-07
1459601804100,-6.785,0.0
1459601804110,-6.785,3.6200000000000004e-07
1459601804120,-6.785,0.0
1459601804130,-6.785,0.0
1459601804140,-6.785,3.6200000000000004e-07
1459601804150,-6.785,0.0
1459601804160,-6.785,7.240000000000001e-07
1459601804170,-6.785,3.6200000000000004e-07
1459601804180,-6.785,1.0859999999999999e-06
1459601804190,-6.785,0.0
1459601804200,-6.785,0.0
1459601804210,-6.785,0.0
1459601804220,-6.785,0.0
1459601804230,-6.785,0.0
1459601804240,-6.785,7.240000000000001e-07
1459601804250,-6.785,3.6200000000000004e-07
1459601804260,-6.785,1.0859999999999999e-06
1459601804270,-6.785,7.240000000000001e-07
1459601804280,-6.785,0.0
1459601804290,-6.785,7.240000000000001e-07
1459601804300,-6.785,0.0
1459601804310,-6.785,1.0859999999999999e-06
1459601804320,-6.785,0.0
1459601804330,-6.785,0.0
1459601804340,-6.785,0.0
1459601804350,-6.785,7.240000000000001e-07
1459601804360,-6.785,0.0
1459601804370,-6.785,7.240000000000001e-07
1459601804380,-6.785,7.240000000000001e-07
1459601804390,-6.785,0.0
1459601804400,-6.785,7.240000000000001e-07
1459601804410,-6.785,0.0
1459601804420,-6.785,0.0
1459601804430,-6.785,0.0
1459601804440,-6.785,3.6200000000000004e-07
1459601804450,-6.785,0.0
1459601804460,-6.785,0.0
1459601804470,-6.785,0.0
1459601804480,-6.785,1.0859999999999999e-06
1459601804490,-6.785,7.240000000000001e-07
1459601804500,-6.785,3.6200000000000004e-07
1459601804510,-6.785,3.6200000000000004e-07
1459601804520,-6.785,0.0
1459601804530,-6.785,1.0859999999999999e-06
1459601804540,-6.785,0.0
1459601804550,-6.785,7.240000000000001e-07
1459601804560,-6.785,0.0
1459601804570,-6.785,0.0
1459601804580,-6.785,0.0
1459601804590,-6.785,0.0
1459601804600,-6.785,0.0
1459601804610,-6.785,7.240000000000001e-07
1459601804620,-6.785,7.240000000000001e-07
1459601804630,-6.785,0.0
1459601804640,-6.785,7.240000000000001e-07
1459601804650,-6.785,0.0
1459601804660,-6.785,3.6200000000000004e-07
1459601804670,-6.785,3.6200000000000004e-07
1459601804680,-6.785,0.0
1459601804690,-6.785,0.0
1459601804700,-6.785,0.0
1459601804710,-6.785,7.240000000000001e-07
1459601804720,-6.785,7.240000000000001e-07
1459601804730,-6.785,7.240000000000001e-07
1459601804740,-6.785,0.0
