Timestamp,position,BLMTI.04L2.B1E10_TCTPV.4L2.B1
1459604793590,-9.75,1.0859999999999999e-06
1459604793600,-9.75,0.0
1459604793610,-9.75,0.0
1459604793620,-9.75,0.0
1459604793630,-9.75,0.0
1459604793640,-9.75,3.6200000000000004e-07
1459604793650,-9.75,0.0
1459604793660,-9.75,7.240000000000001e-07
1459604793670,-9.75,0.0
1459604793680,-9.75,7.240000000000001e-07
1459604793690,-9.75,0.0
1459604793700,-9.75,0.0
1459604793710,-9.75,3.6200000000000004e-07
1459604793720,-9.75,0.0
1459604793730,-9.75,1.0859999999999999e-06
1459604793740,-9.75,0.0
1459604793750,-9.75,7.240000000000001e-07
1459604793760,-9.75,0.0
1459604793770,-9.75,3.6200000000000004e-07
1459604793780,-9.75,0.0
1459604793790,-9.75,1.4480000000000002e-06
1459604793800,-9.75,0.0
1459604793810,-9.75,0.0
1459604793820,-9.75,0.0
1459604793830,-9.75,0.0
1459604793840,-9.75,3.6200000000000004e-07
1459604793850,-9.75,0.0
1459604793860,-9.75,3.6200000000000004e-07
1459604793870,-9.75,0.0
1459604793880,-9.75,7.240000000000001e-07
1459604793890,-9.75,0.0
1459604793900,-9.75,1.0859999999999999e-06
1459604793910,-9.75,0.0
1459604793920,-9.75,0.0
1459604793930,-9.75,3.6200000000000004e-07
1459604793940,-9.75,3.6200000000000004e-07
1459604793950,-9.75,0.0
1459604793960,-9.75,0.0
1459604793970,-9.75,1.4480000000000002e-06
1459604793980,-9.75,0.0
1459604793990,-9.75,7.240000000000001e-07
1459604794000,-9.75,0.0
1459604794010,-9.75,3.6200000000000004e-07
1459604794020,-9.75,0.0
1459604794030,-9.75,0.0
1459604794040,-9.75,7.240000000000001e-07
1459604794050,-9.75,0.0
1459604794060,-9.75,3.6200000000000004e-07
1459604794070,-9.75,0.0
1459604794080,-9.75,7.240000000000001e-07
1459604794090,-9.75,0.0
1459604794100,-9.75,7.240000000000001e-07
1459604794110,-9.75,0.0
1459604794120,-9.75,0.0
1459604794130,-9.75,3.6200000000000004e-07
1459604794140,-9.75,0.0
1459604794150,-9.75,7.240000000000001e-07
1459604794160,-9.75,0.0
1459604794170,-9.75,3.6200000000000004e-07
1459604794180,-9.75,3.6200000000000004e-07
1459604794190,-9.75,1.4480000000000002e-06
1459604794200,-9.75,0.0
1459604794210,-9.75,3.6200000000000004e-07
1459604794220,-9.75,0.0
1459604794230,-9.75,3.6200000000000004e-07
1459604794240,-9.75,3.6200000000000004e-07
1459604794250,-9.75,3.6200000000000004e-07
1459604794260,-9.75,7.240000000000001e-07
1459604794270,-9.75,0.0
1459604794280,-9.75,3.6200000000000004e-07
1459604794290,-9.75,0.0
1459604794300,-9.75,7.240000000000001e-07
1459604794310,-9.75,0.0
1459604794320,-9.75,3.6200000000000004e-07
1459604794330,-9.75,7.240000000000001e-07
1459604794340,-9.75,0.0
1459604794350,-9.75,3.6200000000000004e-07
1459604794360,-9.75,0.0
1459604794370,-9.75,7.240000000000001e-07
1459604794380,-9.75,0.0
