Timestamp,position,BLMTI.06L8.B2I10_TCLIB.6L8.B2
1459605083090,-8.835,7.240000000000001e-07
1459605083100,-8.835,0.0
1459605083110,-8.835,0.0
1459605083120,-8.835,0.0
1459605083130,-8.835,0.0
1459605083140,-8.835,3.6200000000000004e-07
1459605083150,-8.835,3.6200000000000004e-07
1459605083160,-8.835,3.6200000000000004e-07
1459605083170,-8.835,0.0
1459605083180,-8.835,3.6200000000000004e-07
1459605083190,-8.835,3.6200000000000004e-07
1459605083200,-8.835,0.0
1459605083210,-8.835,0.0
1459605083220,-8.835,0.0
1459605083230,-8.835,7.240000000000001e-07
1459605083240,-8.835,0.0
1459605083250,-8.835,3.6200000000000004e-07
1459605083260,-8.835,0.0
1459605083270,-8.835,3.6200000000000004e-07
1459605083280,-8.835,0.0
1459605083290,-8.835,1.4480000000000002e-06
1459605083300,-8.835,0.0
1459605083310,-8.835,0.0
1459605083320,-8.835,1.0859999999999999e-06
1459605083330,-8.835,0.0
1459605083340,-8.835,7.240000000000001e-07
1459605083350,-8.835,3.6200000000000004e-07
1459605083360,-8.835,3.6200000000000004e-07
1459605083370,-8.835,0.0
1459605083380,-8.835,3.6200000000000004e-07
1459605083390,-8.835,7.240000000000001e-07
1459605083400,-8.835,0.0
1459605083410,-8.835,0.0
1459605083420,-8.835,3.6200000000000004e-07
1459605083430,-8.835,0.0
1459605083440,-8.835,3.6200000000000004e-07
1459605083450,-8.835,3.6200000000000004e-07
1459605083460,-8.835,3.6200000000000004e-07
1459605083470,-8.835,3.6200000000000004e-07
1459605083480,-8.835,0.0
1459605083490,-8.835,3.6200000000000004e-07
1459605083500,-8.835,3.6200000000000004e-07
1459605083510,-8.835,0.0
1459605083520,-8.835,3.6200000000000004e-07
1459605083530,-8.835,3.6200000000000004e-07
1459605083540,-8.835,3.6200000000000004e-07
1459605083550,-8.835,0.0
1459605083560,-8.835,0.0
1459605083570,-8.835,3.6200000000000004e-07
1459605083580,-8.835,3.6200000000000004e-07
1459605083590,-8.835,3.6200000000000004e-07
1459605083600,-8.835,7.240000000000001e-07
1459605083610,-8.835,0.0
1459605083620,-8.835,0.0
1459605083630,-8.835,7.240000000000001e-07
1459605083640,-8.835,0.0
1459605083650,-8.835,7.240000000000001e-07
1459605083660,-8.835,0.0
1459605083670,-8.835,3.6200000000000004e-07
1459605083680,-8.835,3.6200000000000004e-07
1459605083690,-8.835,7.240000000000001e-07
1459605083700,-8.835,7.240000000000001e-07
1459605083710,-8.835,7.240000000000001e-07
1459605083720,-8.835,0.0
