Timestamp,position,BLMTI.04R2.B2E10_TCTPV.4R2.B2
1459604837880,-8.68,7.240000000000001e-07
1459604837890,-8.68,3.6200000000000004e-07
1459604837900,-8.68,0.0
1459604837910,-8.68,7.240000000000001e-07
1459604837920,-8.68,0.0
1459604837930,-8.68,3.6200000000000004e-07
1459604837940,-8.68,0.0
1459604837950,-8.68,3.6200000000000004e-07
1459604837960,-8.68,0.0
1459604837970,-8.68,3.6200000000000004e-07
1459604837980,-8.68,3.6200000000000004e-07
1459604837990,-8.68,1.0859999999999999e-06
1459604838000,-8.68,0.0
1459604838010,-8.68,3.6200000000000004e-07
1459604838020,-8.68,0.0
1459604838030,-8.68,3.6200000000000004e-07
1459604838040,-8.68,3.6200000000000004e-07
1459604838050,-8.68,3.6200000000000004e-07
1459604838060,-8.68,3.6200000000000004e-07
1459604838070,-8.68,3.6200000000000004e-07
1459604838080,-8.68,0.0
1459604838090,-8.68,7.240000000000001e-07
1459604838100,-8.68,3.6200000000000004e-07
1459604838110,-8.68,0.0
1459604838120,-8.68,3.6200000000000004e-07
1459604838130,-8.68,7.240000000000001e-07
1459604838140,-8.68,0.0
1459604838150,-8.68,7.240000000000001e-07
1459604838160,-8.68,7.240000000000001e-07
1459604838170,-8.68,7.240000000000001e-07
1459604838180,-8.68,3.6200000000000004e-07
1459604838190,-8.68,3.6200000000000004e-07
1459604838200,-8.68,0.0
1459604838210,-8.68,0.0
1459604838220,-8.68,7.240000000000001e-07
1459604838230,-8.68,3.6200000000000004e-07
1459604838240,-8.68,7.240000000000001e-07
1459604838250,-8.68,0.0
1459604838260,-8.68,7.240000000000001e-07
1459604838270,-8.68,3.6200000000000004e-07
1459604838280,-8.68,3.6200000000000004e-07
1459604838290,-8.68,0.0
1459604838300,-8.68,0.0
1459604838310,-8.68,7.240000000000001e-07
1459604838320,-8.68,3.6200000000000004e-07
1459604838330,-8.68,7.240000000000001e-07
1459604838340,-8.68,0.0
1459604838350,-8.68,7.240000000000001e-07
1459604838360,-8.68,0.0
1459604838370,-8.68,7.240000000000001e-07
1459604838380,-8.68,0.0
1459604838390,-8.68,7.240000000000001e-07
1459604838400,-8.68,0.0
1459604838410,-8.68,0.0
1459604838420,-8.68,7.240000000000001e-07
1459604838430,-8.68,0.0
1459604838440,-8.68,0.0
1459604838450,-8.68,7.240000000000001e-07
1459604838460,-8.68,3.6200000000000004e-07
1459604838470,-8.68,0.0
1459604838480,-8.68,3.6200000000000004e-07
1459604838490,-8.68,3.6200000000000004e-07
1459604838500,-8.68,7.240000000000001e-07
1459604838510,-8.68,3.6200000000000004e-07
1459604838520,-8.68,1.81e-06
1459604838530,-8.68,0.0
1459604838540,-8.68,0.0
1459604838550,-8.68,0.0
1459604838560,-8.68,0.0
1459604838570,-8.68,7.240000000000001e-07
1459604838580,-8.68,0.0
1459604838590,-8.68,7.240000000000001e-07
1459604838600,-8.68,0.0
1459604838610,-8.68,7.240000000000001e-07
1459604838620,-8.68,3.6200000000000004e-07
1459604838630,-8.68,1.0859999999999999e-06
1459604838640,-8.68,0.0
1459604838650,-8.68,0.0
1459604838660,-8.68,3.6200000000000004e-07
1459604838670,-8.68,0.0
1459604838680,-8.68,1.0859999999999999e-06
1459604838690,-8.68,1.0859999999999999e-06
1459604838700,-8.68,0.0
1459604838710,-8.68,3.6200000000000004e-07
1459604838720,-8.68,3.6200000000000004e-07
1459604838730,-8.68,3.6200000000000004e-07
1459604838740,-8.68,0.0
1459604838750,-8.68,1.0859999999999999e-06
1459604838760,-8.68,0.0
1459604838770,-8.68,0.0
1459604838780,-8.68,7.240000000000001e-07
1459604838790,-8.68,3.6200000000000004e-07
1459604838800,-8.68,3.6200000000000004e-07
1459604838810,-8.68,3.6200000000000004e-07
1459604838820,-8.68,3.6200000000000004e-07
1459604838830,-8.68,7.240000000000001e-07
1459604838840,-8.68,0.0
1459604838850,-8.68,3.6200000000000004e-07
1459604838860,-8.68,3.6200000000000004e-07
1459604838870,-8.68,3.6200000000000004e-07
1459604838880,-8.68,7.240000000000001e-07
1459604838890,-8.68,0.0
1459604838900,-8.68,3.6200000000000004e-07
1459604838910,-8.68,3.6200000000000004e-07
1459604838920,-8.68,3.6200000000000004e-07
1459604838930,-8.68,3.6200000000000004e-07
1459604838940,-8.68,3.6200000000000004e-07
1459604838950,-8.68,0.0
1459604838960,-8.68,3.6200000000000004e-07
1459604838970,-8.68,3.6200000000000004e-07
1459604838980,-8.68,3.6200000000000004e-07
1459604838990,-8.68,3.6200000000000004e-07
1459604839000,-8.68,1.0859999999999999e-06
1459604839010,-8.68,7.240000000000001e-07
1459604839020,-8.68,0.0
1459604839030,-8.68,3.6200000000000004e-07
1459604839040,-8.68,0.0
1459604839050,-8.68,3.6200000000000004e-07
1459604839060,-8.68,0.0
1459604839070,-8.68,3.6200000000000004e-07
1459604839080,-8.68,7.240000000000001e-07
1459604839090,-8.68,0.0
1459604839100,-8.68,0.0
1459604839110,-8.68,7.240000000000001e-07
1459604839120,-8.68,0.0
1459604839130,-8.68,0.0
1459604839140,-8.68,7.240000000000001e-07
1459604839150,-8.68,0.0
1459604839160,-8.68,3.6200000000000004e-07
1459604839170,-8.68,0.0
1459604839180,-8.68,7.240000000000001e-07
1459604839190,-8.68,3.6200000000000004e-07
1459604839200,-8.68,7.240000000000001e-07
1459604839210,-8.68,0.0
1459604839220,-8.68,3.6200000000000004e-07
1459604839230,-8.68,7.240000000000001e-07
1459604839240,-8.68,0.0
1459604839250,-8.68,0.0
1459604839260,-8.68,1.0859999999999999e-06
1459604839270,-8.68,0.0
1459604839280,-8.68,0.0
1459604839290,-8.68,3.6200000000000004e-07
