Timestamp,position,BLMTI.04R5.B2I10_TCTPH.4R5.B2
1459600200500,-9.06,3.6200000000000004e-07
1459600200510,-9.06,0.0
1459600200520,-9.06,7.240000000000001e-07
1459600200530,-9.06,0.0
1459600200540,-9.06,3.6200000000000004e-07
1459600200550,-9.06,0.0
1459600200560,-9.06,7.240000000000001e-07
1459600200570,-9.06,0.0
1459600200580,-9.06,3.6200000000000004e-07
1459600200590,-9.06,3.6200000000000004e-07
1459600200600,-9.06,0.0
1459600200610,-9.06,0.0
1459600200620,-9.06,1.0859999999999999e-06
1459600200630,-9.06,0.0
1459600200640,-9.06,3.6200000000000004e-07
1459600200650,-9.06,7.240000000000001e-07
1459600200660,-9.06,3.6200000000000004e-07
1459600200670,-9.06,0.0
1459600200680,-9.06,3.6200000000000004e-07
1459600200690,-9.06,3.6200000000000004e-07
1459600200700,-9.06,3.6200000000000004e-07
1459600200710,-9.06,0.0
1459600200720,-9.06,7.240000000000001e-07
1459600200730,-9.06,0.0
1459600200740,-9.06,0.0
1459600200750,-9.06,0.0
1459600200760,-9.06,7.240000000000001e-07
1459600200770,-9.06,3.6200000000000004e-07
1459600200780,-9.06,0.0
1459600200790,-9.06,0.0
1459600200800,-9.06,1.0859999999999999e-06
1459600200810,-9.06,0.0
1459600200820,-9.06,3.6200000000000004e-07
1459600200830,-9.06,3.6200000000000004e-07
1459600200840,-9.06,7.240000000000001e-07
1459600200850,-9.06,0.0
1459600200860,-9.06,3.6200000000000004e-07
1459600200870,-9.06,0.0
1459600200880,-9.06,1.0859999999999999e-06
1459600200890,-9.06,3.6200000000000004e-07
1459600200900,-9.06,3.6200000000000004e-07
1459600200910,-9.06,0.0
1459600200920,-9.06,1.0859999999999999e-06
1459600200930,-9.06,3.6200000000000004e-07
1459600200940,-9.06,0.0
1459600200950,-9.06,0.0
1459600200960,-9.06,7.240000000000001e-07
1459600200970,-9.06,3.6200000000000004e-07
1459600200980,-9.06,3.6200000000000004e-07
1459600200990,-9.06,0.0
1459600201000,-9.06,7.240000000000001e-07
1459600201010,-9.06,7.240000000000001e-07
1459600201020,-9.06,3.6200000000000004e-07
1459600201030,-9.06,3.6200000000000004e-07
1459600201040,-9.06,0.0
1459600201050,-9.06,0.0
1459600201060,-9.06,7.240000000000001e-07
1459600201070,-9.06,0.0
1459600201080,-9.06,3.6200000000000004e-07
1459600201090,-9.06,0.0
1459600201100,-9.06,7.240000000000001e-07
1459600201110,-9.06,1.0859999999999999e-06
1459600201120,-9.06,0.0
1459600201130,-9.06,0.0
1459600201140,-9.06,0.0
1459600201150,-9.06,1.0859999999999999e-06
1459600201160,-9.06,0.0
1459600201170,-9.06,0.0
1459600201180,-9.06,0.0
1459600201190,-9.06,3.6200000000000004e-07
1459600201200,-9.06,1.0859999999999999e-06
1459600201210,-9.06,0.0
1459600201220,-9.06,7.240000000000001e-07
1459600201230,-9.06,0.0
1459600201240,-9.06,3.6200000000000004e-07
1459600201250,-9.06,3.6200000000000004e-07
1459600201260,-9.06,0.0
1459600201270,-9.06,0.0
1459600201280,-9.06,7.240000000000001e-07
1459600201290,-9.06,3.6200000000000004e-07
1459600201300,-9.06,0.0
1459600201310,-9.06,0.0
1459600201320,-9.06,7.240000000000001e-07
1459600201330,-9.06,0.0
1459600201340,-9.06,3.6200000000000004e-07
1459600201350,-9.06,0.0
1459600201360,-9.06,0.0
1459600201370,-9.06,3.6200000000000004e-07
1459600201380,-9.06,1.4480000000000002e-06
1459600201390,-9.06,7.240000000000001e-07
1459600201400,-9.06,0.0
1459600201410,-9.06,0.0
1459600201420,-9.06,0.0
1459600201430,-9.06,3.6200000000000004e-07
1459600201440,-9.06,3.6200000000000004e-07
1459600201450,-9.06,0.0
1459600201460,-9.06,1.0859999999999999e-06
1459600201470,-9.06,0.0
1459600201480,-9.06,3.6200000000000004e-07
1459600201490,-9.06,3.6200000000000004e-07
1459600201500,-9.06,3.6200000000000004e-07
1459600201510,-9.06,0.0
1459600201520,-9.06,7.240000000000001e-07
1459600201530,-9.06,3.6200000000000004e-07
1459600201540,-9.06,0.0
1459600201550,-9.06,0.0
1459600201560,-9.06,1.4480000000000002e-06
1459600201570,-9.06,0.0
1459600201580,-9.06,0.0
1459600201590,-9.06,0.0
1459600201600,-9.06,3.6200000000000004e-07
1459600201610,-9.06,3.6200000000000004e-07
1459600201620,-9.06,7.240000000000001e-07
1459600201630,-9.06,0.0
1459600201640,-9.06,1.0859999999999999e-06
1459600201650,-9.06,0.0
1459600201660,-9.06,3.6200000000000004e-07
1459600201670,-9.06,0.0
1459600201680,-9.06,3.6200000000000004e-07
1459600201690,-9.06,0.0
1459600201700,-9.06,7.240000000000001e-07
1459600201710,-9.06,0.0
1459600201720,-9.06,3.6200000000000004e-07
1459600201730,-9.06,0.0
1459600201740,-9.06,3.6200000000000004e-07
