Timestamp,position,BLMTI.04R5.B2I10_TCTPH.4R5.B2
1494173868300,-9.985,1.0859999999999999e-06
1494173868310,-9.985,0.0
1494173868320,-9.985,7.240000000000001e-07
1494173868330,-9.985,0.0
1494173868340,-9.985,3.6200000000000004e-07
1494173868350,-9.985,0.0
1494173868360,-9.985,1.0859999999999999e-06
1494173868370,-9.985,0.0
1494173868380,-9.985,3.6200000000000004e-07
1494173868390,-9.985,3.6200000000000004e-07
1494173868400,-9.985,1.0859999999999999e-06
1494173868410,-9.985,0.0
1494173868420,-9.985,1.0859999999999999e-06
1494173868430,-9.985,0.0
1494173868440,-9.985,1.0859999999999999e-06
1494173868450,-9.985,0.0
1494173868460,-9.985,1.0859999999999999e-06
1494173868470,-9.985,0.0
1494173868480,-9.985,7.240000000000001e-07
1494173868490,-9.985,0.0
1494173868500,-9.985,1.0859999999999999e-06
1494173868510,-9.985,0.0
1494173868520,-9.985,7.240000000000001e-07
1494173868530,-9.985,0.0
1494173868540,-9.985,7.240000000000001e-07
1494173868550,-9.985,0.0
1494173868560,-9.985,3.6200000000000004e-07
1494173868570,-9.985,0.0
1494173868580,-9.985,1.0859999999999999e-06
1494173868590,-9.985,7.240000000000001e-07
1494173868600,-9.985,1.0859999999999999e-06
1494173868610,-9.985,0.0
1494173868620,-9.985,1.0859999999999999e-06
1494173868630,-9.985,0.0
1494173868640,-9.985,7.240000000000001e-07
1494173868650,-9.985,3.6200000000000004e-07
1494173868660,-9.985,7.240000000000001e-07
1494173868670,-9.985,0.0
1494173868680,-9.985,7.240000000000001e-07
1494173868690,-9.985,0.0
1494173868700,-9.985,1.0859999999999999e-06
1494173868710,-9.985,0.0
1494173868720,-9.985,1.0859999999999999e-06
1494173868730,-9.985,0.0
1494173868740,-9.985,0.0
1494173868750,-9.985,0.0
1494173868760,-9.985,1.0859999999999999e-06
1494173868770,-9.985,0.0
1494173868780,-9.985,3.6200000000000004e-07
1494173868790,-9.985,0.0
1494173868800,-9.985,7.240000000000001e-07
1494173868810,-9.985,0.0
1494173868820,-9.985,3.6200000000000004e-07
1494173868830,-9.985,0.0
1494173868840,-9.985,1.0859999999999999e-06
1494173868850,-9.985,3.6200000000000004e-07
1494173868860,-9.985,3.6200000000000004e-07
1494173868870,-9.985,3.6200000000000004e-07
1494173868880,-9.985,7.240000000000001e-07
1494173868890,-9.985,0.0
1494173868900,-9.985,7.240000000000001e-07
1494173868910,-9.985,0.0
1494173868920,-9.985,7.240000000000001e-07
1494173868930,-9.985,3.6200000000000004e-07
1494173868940,-9.985,7.240000000000001e-07
1494173868950,-9.985,7.240000000000001e-07
1494173868960,-9.985,3.6200000000000004e-07
1494173868970,-9.985,3.6200000000000004e-07
1494173868980,-9.985,1.0859999999999999e-06
1494173868990,-9.985,0.0
1494173869000,-9.985,1.0859999999999999e-06
1494173869010,-9.985,0.0
1494173869020,-9.985,3.6200000000000004e-07
1494173869030,-9.985,0.0
1494173869040,-9.985,1.0859999999999999e-06
1494173869050,-9.985,0.0
1494173869060,-9.985,0.0
1494173869070,-9.985,3.6200000000000004e-07
1494173869080,-9.985,1.0859999999999999e-06
1494173869090,-9.985,0.0
1494173869100,-9.985,7.240000000000001e-07
1494173869110,-9.985,0.0
1494173869120,-9.985,7.240000000000001e-07
1494173869130,-9.985,0.0
1494173869140,-9.985,7.240000000000001e-07
1494173869150,-9.985,0.0
1494173869160,-9.985,1.0859999999999999e-06
1494173869170,-9.985,0.0
1494173869180,-9.985,0.0
1494173869190,-9.985,1.0859999999999999e-06
1494173869200,-9.985,3.6200000000000004e-07
1494173869210,-9.985,0.0
1494173869220,-9.985,1.4480000000000002e-06
1494173869230,-9.985,0.0
1494173869240,-9.985,3.6200000000000004e-07
1494173869250,-9.985,0.0
1494173869260,-9.985,7.240000000000001e-07
