,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,0,58.31147714285715,4.151967034389815,64.436,40.22242870490416,0.00758051795243181,8.727567904377613,1,TCP,PROTON,FT
1,0,38.78723529411765,4.396733736119618,41.268,24.785615434667847,0.05729304572997428,5.048462688688388,1,TCP,PROTON,FT
2,0,354.37302200000005,4.341242403822059,356.208,310.8749212789892,0.15901578255051568,4.4770976523897374,1,TCL,PROTON,FT
3,1,49.13385777777776,4.396733736119619,54.29999999999998,25.366585551941316,0.011419877142113379,10.174207914990209,1,TCP,PROTON,FT
4,1,36.54269333333333,4.487388039957136,41.268,20.734762429172005,0.013385457680113783,6.065038473943722,1,TCP,PROTON,FT
5,1,35.855441818181816,3.880004128207077,43.44,12.364338607016903,0.01850792973588955,17.04201771795038,1,TCP,PROTON,FT
6,1,106.22648666666666,5.8400172283650305,107.15199999999999,71.63635605190308,0.07633167027045717,3.128457005516665,1,TCL,PROTON,FT
7,0,65.10328666666666,11.261424320938387,78.916,61.6439605371022,0.7975729698110021,18.47267307619572,1,TCL,PROTON,FT
8,1,316.4772933333333,5.76001699236003,317.474,181.94599328023173,0.13851528610379832,4.440121643304507,1,TCL,PROTON,FT
9,1,223.73802281368822,8.69776638703724,236.386,106.7590793540515,0.11172585994436161,18.111566327668086,1,TCL,PROTON,FT
10,1,10.090408060453399,4.061312732328902,14.117999999999999,3.6919644341206843,0.00576296096848779,5.609631655705785,1,TCP,PROTON,FT
11,0,504.2008399999999,11.178847423992918,519.4699999999999,261.5477805437048,0.10981971213733173,21.603983270576222,1,TCL,PROTON,FT
12,0,27.727993333333337,8.57371948560723,29.322000000000003,25.53600091511606,0.672608234996353,1.9022110200947777,1,TCL,PROTON,FT
13,0,53.38269017632242,8.49321507729167,55.024,52.450974968486214,1.480308224622307,2.3471669530588617,1,TCL,PROTON,FT
14,0,40.229848678213315,8.427829645890613,43.078,10.579866176021214,0.02285210409655841,4.306932102492552,1,TCL,PROTON,FT
15,1,9.3463875,4.006920151092355,20.634,-12929.817869299039,-2.636026863728978e-07,12941.648148802502,1,TCP,PROTON,FT
16,0,25.455839999999995,7.969936423240522,26.787999999999997,26.573563979736278,0.7279183432721218,1.463626041954072,1,TCL,PROTON,FT
17,1,642.57172,8.783038606517998,648.342,664.3711097897387,0.27834269101026743,21.89270396539468,1,TCL,PROTON,FT
18,0,282.29658551068883,8.839886752838503,287.79,261.56441280108095,0.6971159274012168,8.865730061872844,1,TCL,PROTON,FT
19,0,97.76907630522088,4.206359615626363,99.55,47.38298136055857,0.011152602211267498,6.392081209084244,1,TCP,PROTON,FT
20,0,34.37327251184834,11.426578114829326,39.82,30.39904348542509,0.5725567922464128,8.407434066815004,1,TCL,PROTON,FT
21,1,204.39099200000004,11.15820319975655,224.44000000000003,204.76122652899394,0.7108388396356943,25.01614200230961,1,TCL,PROTON,FT
22,0,360.25123833333333,4.196708098542546,360.914,407.022792601065,0.29874347211123314,1.099352472561974,1,TCL,PROTON,FT
23,1,77.022016,4.578037444030535,78.192,17.54760931928545,0.027657243455770298,0.7372612549530109,1,TCL,PROTON,FT
24,0,2431.7598901763226,4.186229232409166,2454.0,1989.129909109278,0.15637795042770222,24.281665211142602,1,TCL,PROTON,FT
25,0,113.7431320754717,8.058490382838814,117.28800000000001,75.34079255229526,0.049818968421661725,10.383049226924342,1,TCL,PROTON,FT
26,1,43.84554887218045,4.559911483027151,47.784,25.964923493713435,0.011721229718538702,7.419883119083132,1,TCP,PROTON,FT
27,0,60.41672086720867,4.161032546142072,63.349999999999994,29.797302499291394,0.013837942746919907,5.577743306985908,1,TCP,PROTON,FT
28,0,35.827683,4.251686849979589,37.648,20.976189964394603,0.027399572165339926,5.431830405215504,1,TCP,PROTON,FT
29,1,463.0590931989924,4.696434964134774,464.44599999999997,340.7729290700821,0.17650995219644483,4.017166248582269,1,TCL,PROTON,FT
30,0,67.2321949733435,4.097574453153268,71.31400000000001,57.99443126210242,0.00983752931255813,8.161494081386316,1,TCP,PROTON,FT
31,0,26.317762,4.523649761492144,28.235999999999997,16.10278679680535,0.0303393743654842,4.005044891686589,1,TCP,PROTON,FT
32,0,35.22171593830334,4.2788830572750935,36.924,25.472833277949213,0.010492110852081444,4.073298806655255,1,TCP,PROTON,FT
33,0,32.15052562907735,9.03885526496027,33.303999999999995,30.850303406702633,2.574918376166939,2.43733668253615,1,TCL,PROTON,FT
34,1,19.213753333333333,4.420174083891552,19.548,19.031871254067614,0.3794285873301873,0.8684940630250905,1,TCL,PROTON,FT
